;united;states;trump;great;president;people;announce;american;white;new;house;world;america;party;major;usa;administration;hard;strongly;history;russia;city;post;americans;greatest;national;vote;news;job;deal;woman;real;bernie;article;take;fbi;sanders;donald;working;war;proud;lives;saturday;men;important;team;man;happy;health;david;department;love;obama;washington;millions;book;2017;found;excited;public;big;wish;council;former;away;retrieving;dollars;vegas;state;federal;believe;end;thank;rights;york;media;border;please;person;las;tremendous;democrat;investigation;election;flag;government;magazine;presidential;june;dodger;called;support;tax;press;hall;2016;republican;justice;security;committee
united;0;24;2;2;8;2;0;0;4;0;4;4;6;2;0;2;2;0;0;0;4;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;2;0;2;0
states;0;0;2;2;8;2;0;0;4;0;4;4;6;2;0;2;2;0;0;0;4;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;2;0;2;0
trump;0;0;0;2;10;6;0;6;2;0;0;2;2;0;2;0;4;0;0;2;2;0;2;4;0;0;0;2;0;4;0;2;0;2;2;0;0;8;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;4;2;0;0;0;0;2;0;0;0;0;0;6;0;0;0;2;0;0;2;0;0;2;0;2;0;0;2;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0
great;0;0;0;0;4;4;2;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
president;0;0;0;0;0;6;0;8;4;2;2;0;2;0;0;0;2;2;0;0;2;0;2;2;2;2;0;2;0;2;0;2;0;0;4;0;0;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0;4;2;2;0;0;0;0;0;2;0;0;2;2;0;2;0;0;0;2;2;0;0;2;0;2;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0
people;0;0;0;0;0;0;0;6;4;2;2;0;2;0;2;4;2;2;0;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0
announce;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;6;0;4;0;2;2;0;4;0;0;2;0;0;0;0;0;4;0;4;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;2;0;0;0;0;0
american;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;4;0;0;0;2;4;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;0;0;2;0;2;0;2;0;0;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0
white;0;0;0;0;0;0;0;0;0;0;12;0;4;0;0;0;0;0;0;2;2;0;2;2;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;2;0;0;4;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;6;0;0;0;0;2;2
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;2;0;0;0;2;2;0;0;2;0;0;4;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;6;0;2;0;0;2;4
world;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0
america;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;2;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
major;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
usa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
