;north;people;covid19;state;carolina;gov;work;health;virus;help;cooper;home;carolinians;testing;phase;restrictions;businesses;force;order;face;pandemic;continue;new;task;school;important;communities;live;stay;give;safe;still;economy;members;coopers;working;cases;update;coronavirus;spread;watch;may;care;lives;week;thank;local;2;safety;another;1;workers;across;fight;public;briefing;updates;tracing;families;together;critical;ease;social;hospitals;community;move;students;protect;hard;trends;schools;making;covering;distancing;country;data;weeks;justice;especially;capacity;business;forward;hospital;grateful;place;take;carolinas;wear;feet;plan;tested;increase;numbers;weekend;federal;law;black;equipment;6;everyone
north;0;50;72;56;180;50;46;40;34;54;46;32;112;34;22;30;18;18;24;22;38;18;22;18;8;14;32;12;16;10;14;22;16;8;4;20;20;12;8;16;10;14;18;16;12;20;16;14;14;18;16;12;18;12;6;0;2;8;16;20;14;14;8;12;16;14;8;8;14;16;4;14;8;6;14;6;14;8;6;8;8;6;18;6;6;16;34;10;8;8;4;8;12;4;12;8;2;10;8;10
people;0;0;40;30;24;12;28;30;40;28;12;30;22;16;26;28;30;4;26;28;16;28;26;0;6;24;14;0;22;6;24;26;28;0;0;14;30;0;0;10;2;6;8;20;6;8;4;8;14;8;10;8;4;4;10;0;0;12;20;8;8;16;10;6;4;10;0;10;4;4;2;6;20;10;8;8;6;6;12;6;4;10;24;4;12;12;4;20;26;8;12;6;8;8;2;10;16;4;20;6
covid19;0;0;0;46;42;66;14;32;22;30;26;6;28;16;14;10;14;4;8;16;18;10;16;4;4;6;28;8;2;6;8;16;6;2;40;8;24;8;2;22;8;2;12;8;8;10;12;12;4;12;10;8;8;26;12;38;38;12;14;8;12;6;10;8;14;6;2;10;4;6;6;12;4;8;8;6;2;4;4;4;4;2;12;2;2;6;8;2;2;4;12;2;6;2;8;2;6;4;2;2
state;0;0;0;0;46;10;36;20;26;34;10;8;6;24;14;18;12;8;4;4;26;16;12;8;8;6;14;0;0;0;8;12;12;0;2;16;6;0;6;12;0;2;10;6;14;20;20;6;14;10;14;8;40;18;14;2;0;14;8;0;12;10;0;4;8;2;6;6;6;4;12;4;0;0;16;4;10;4;2;0;6;8;2;6;8;6;6;0;2;6;6;4;2;8;20;10;2;14;2;4
carolina;0;0;0;0;0;32;22;22;18;28;28;16;8;20;18;20;16;14;10;4;22;12;18;14;2;14;14;10;4;8;4;18;12;8;4;10;12;10;8;12;8;12;8;10;4;12;10;12;10;6;14;6;14;10;6;0;0;8;12;6;12;8;2;6;14;10;4;4;4;6;4;10;0;0;12;4;10;8;2;6;4;4;8;0;4;6;2;2;2;10;0;8;2;2;10;6;0;8;2;6
gov;0;0;0;0;0;0;4;12;2;6;124;4;14;4;2;10;6;58;12;0;6;4;6;56;0;2;4;66;4;60;2;4;2;56;66;2;2;64;56;4;54;4;2;4;4;4;4;6;2;2;2;4;0;6;2;48;46;4;6;4;2;6;0;6;2;4;0;0;2;4;2;6;0;0;4;2;0;2;2;0;0;0;2;0;0;8;10;0;0;6;0;2;0;0;0;4;0;0;0;0
work;0;0;0;0;0;0;0;12;30;12;4;8;20;18;2;18;8;4;6;10;16;12;22;2;18;12;10;2;6;2;10;4;8;2;0;4;4;0;0;6;0;6;6;10;10;18;6;2;2;10;6;10;8;6;6;0;2;14;4;20;10;12;4;10;2;6;2;6;20;10;8;10;4;4;0;4;4;8;6;4;4;4;4;8;4;6;6;4;0;2;4;4;4;0;8;6;0;4;0;4
health;0;0;0;0;0;0;0;0;12;14;10;4;22;18;8;20;10;10;6;10;12;16;4;8;10;16;20;2;2;6;4;8;12;4;2;6;2;2;4;10;4;8;36;6;8;0;20;2;14;8;2;6;4;4;24;0;0;14;2;14;4;8;4;8;8;6;6;12;2;6;8;6;4;2;0;8;2;4;6;4;14;8;4;0;6;6;2;0;0;10;6;6;0;2;2;0;2;2;0;2
virus;0;0;0;0;0;0;0;0;0;10;2;12;14;8;16;12;8;0;6;24;2;12;12;0;4;14;4;0;8;0;8;14;18;2;0;4;14;0;0;34;2;4;10;8;2;4;4;10;6;12;2;6;8;10;8;0;0;8;10;12;6;8;8;8;4;0;2;16;8;6;6;4;14;8;4;2;6;0;10;6;6;0;8;0;4;2;4;14;10;0;2;10;6;6;6;2;2;2;10;8
help;0;0;0;0;0;0;0;0;0;0;4;14;22;18;6;6;12;4;18;6;18;8;10;4;6;12;14;0;4;4;8;2;18;2;0;14;4;0;2;6;0;0;4;4;8;8;18;0;4;4;2;12;14;6;2;0;0;10;6;6;8;4;4;6;10;2;6;2;6;0;4;10;2;4;6;2;0;2;2;0;4;2;4;4;2;0;4;2;4;2;4;2;2;2;16;2;0;14;6;2
