;new;#covid19;state;hampshire;nh;granite;health;provide;care;help;staters;#603pride;ensure;live;relief;across;guidance;million;may;services;press;emergency;order;work;businesses;conference;watch;thread;thanks;states;public;@wmur9;update;home;funding;holding;hampshires;click;testing;education;continue;support;fund;response;days;take;thank;3;june;business;facilities;week;crisis;steps;additional;individuals;test;access;great;able;forward;announced;funds;taking;system;child;families;remain;team;stay;year;together;communities;tune;program;taken;coming;community;available;working;questions;local;receive;people;officials;weeks;call;school;ppe;efforts;masks;visit;street;tonight;due;spread;application;hope;announcing;critical
new;0;130;124;332;70;66;54;26;28;58;32;58;32;24;28;44;36;40;32;20;16;34;24;22;24;18;18;26;18;28;24;14;6;10;26;8;88;6;16;24;22;20;18;26;30;10;28;4;22;12;12;16;22;18;8;16;8;18;34;10;20;14;8;20;26;8;24;12;8;10;20;10;16;10;6;18;16;10;10;18;6;16;8;14;16;12;8;10;16;20;14;8;10;8;6;12;0;8;12;10
#covid19;0;0;78;78;66;64;66;114;18;52;56;16;30;86;34;24;6;26;12;36;100;38;26;18;12;98;78;30;20;46;18;56;86;22;30;78;40;44;24;8;18;12;14;66;20;18;20;64;2;10;6;10;12;26;14;16;32;24;6;4;16;24;18;18;6;2;24;4;10;20;0;12;18;30;12;20;18;14;22;16;26;12;8;6;22;12;20;4;14;16;6;6;8;22;20;30;6;28;14;10
state;0;0;0;94;56;96;52;28;20;30;24;32;34;32;12;70;14;18;18;20;18;20;16;28;28;18;24;26;16;18;24;24;12;16;16;8;14;8;12;16;12;8;14;6;16;6;14;2;6;18;16;16;10;6;8;14;18;20;10;14;6;6;8;16;14;2;6;14;2;8;14;8;6;14;6;6;10;16;14;18;2;16;4;12;34;6;12;2;12;12;20;4;6;2;8;12;2;4;10;10
hampshire;0;0;0;0;38;52;30;14;16;44;24;46;18;14;24;36;0;32;6;10;4;20;14;18;16;6;4;24;14;18;14;6;0;6;10;0;4;0;6;14;16;12;14;6;14;4;20;2;4;10;6;6;12;12;4;10;4;6;28;6;8;6;4;16;16;4;22;6;8;6;12;8;6;4;2;12;8;8;2;14;6;14;6;14;8;8;8;4;16;20;12;8;10;4;2;10;0;6;4;10
nh;0;0;0;0;0;30;44;26;24;36;12;22;34;4;24;54;16;24;16;28;2;20;24;16;24;4;2;16;32;12;26;2;0;18;16;0;10;10;18;22;14;16;8;10;14;14;16;0;2;16;18;18;12;6;10;12;8;18;14;8;10;16;18;4;6;8;12;10;8;12;4;14;12;0;10;14;4;8;16;8;2;18;4;10;2;12;8;10;24;8;20;10;4;8;4;16;8;6;6;12
granite;0;0;0;0;0;0;24;28;8;30;142;30;34;24;22;24;4;20;2;12;12;8;14;22;8;10;12;18;8;14;14;10;6;10;2;6;8;2;12;10;8;10;10;6;6;10;20;0;0;2;2;10;14;18;6;12;8;16;10;8;4;4;6;12;10;0;12;6;4;6;6;16;12;6;6;16;2;8;8;14;4;10;8;2;16;10;10;0;4;12;2;6;4;2;0;6;0;0;8;4
health;0;0;0;0;0;0;0;20;50;18;16;14;24;8;10;18;14;12;8;42;8;22;14;8;4;10;8;8;8;10;68;6;6;6;14;6;8;4;10;2;10;12;14;6;2;2;16;0;0;0;16;0;30;8;14;14;4;16;6;6;6;10;6;8;14;4;4;12;8;8;0;6;10;0;2;6;0;6;12;4;0;8;2;4;26;2;4;2;0;4;6;2;2;0;2;4;0;2;10;6
provide;0;0;0;0;0;0;0;0;12;22;20;4;8;66;38;12;8;16;4;24;86;12;12;14;12;86;62;10;6;36;2;20;82;8;16;82;10;32;4;8;14;14;10;38;8;4;2;62;2;6;8;4;8;12;14;4;2;4;10;6;0;4;12;8;6;4;10;4;2;10;0;4;4;10;4;6;14;4;2;4;0;2;2;4;8;2;0;2;4;10;0;2;2;2;4;6;2;14;6;6
care;0;0;0;0;0;0;0;0;0;18;8;10;24;0;10;12;6;20;4;12;0;22;8;10;2;0;0;16;4;4;10;0;0;8;12;0;8;0;14;6;6;16;16;0;4;6;8;0;2;2;36;6;8;4;12;14;2;16;6;12;10;12;6;2;20;24;6;6;4;4;0;2;2;0;10;8;0;0;6;4;0;2;12;4;0;4;2;6;2;2;8;2;2;0;6;4;2;0;10;6
help;0;0;0;0;0;0;0;0;0;0;24;10;10;6;26;22;2;22;14;18;6;22;16;12;20;6;6;6;6;6;6;4;2;0;18;2;12;8;6;4;10;12;24;0;6;10;2;0;0;2;4;4;8;10;8;8;8;4;6;2;8;6;10;14;8;8;4;4;2;4;0;4;6;0;8;4;4;2;2;2;0;6;4;6;6;8;8;2;6;8;8;8;12;0;2;10;6;0;8;6
