;#familiesfirst;president;house;americans;american;act;health;trump;people;senate;families;workers;congress;democrats;crisis;coronavirus;lives;fight;testing;full;america;ensure;response;across;country;presidents;care;et;protect;tune;bipartisan;capitol;statement;#defendourdemocracy;action;legislation;vote;security;communities;reporters;public;work;#heroesact;take;americas;live;law;leader;together;women;put;passed;mcconnell;continue;justice;pass;stop;national;impeachment;trial;truth;admin;rights;speaking;#coronavirus;constitution;nation;@housedemocrats;clear;nationwide;emergency;thank;government;family;police;trumps;resources;democracy;community;covid19;fighting;protections;state;working;#justiceinpolicing;responsibility;support;honor;congressional;history;economic;mark;funding;without;package;efforts;commitment;@senschumer;republicans;committed
#familiesfirst;0;20;28;14;32;32;34;10;16;22;42;42;16;24;36;48;26;26;36;4;8;28;22;18;16;8;16;12;14;2;16;4;4;0;6;18;12;14;12;10;14;18;18;16;8;4;2;6;12;2;30;8;6;16;0;16;10;2;0;0;6;4;0;10;6;0;10;4;8;10;14;2;0;6;2;0;26;6;2;10;6;4;8;16;0;12;14;0;6;4;8;4;2;2;12;4;0;0;10;8
president;0;0;16;36;32;30;20;62;28;36;12;12;16;8;8;2;14;4;8;8;8;8;10;12;10;14;16;2;12;8;2;4;2;36;4;0;8;8;4;2;4;4;6;8;8;0;10;14;0;4;8;4;16;2;4;0;8;8;18;22;12;4;6;0;0;18;0;2;14;4;0;2;2;0;6;30;0;6;0;8;4;14;4;0;4;8;6;4;0;4;4;2;2;4;2;6;0;2;6;4
house;0;0;0;18;26;38;18;16;20;46;22;16;18;48;16;22;4;12;0;10;2;12;10;4;8;10;10;20;12;18;18;10;6;20;18;30;24;8;4;14;12;14;4;12;16;6;8;10;10;4;16;36;12;14;8;12;4;2;12;8;4;4;6;10;6;6;6;0;0;8;12;2;8;0;6;6;6;4;0;4;4;2;2;6;12;2;8;4;4;0;6;6;8;4;12;4;4;0;4;4
americans;0;0;0;0;8;32;44;34;18;12;10;4;10;12;10;10;16;16;4;6;4;24;10;16;16;14;26;0;14;10;8;4;2;2;16;4;10;6;6;6;8;6;10;8;4;4;6;8;6;4;4;4;8;2;14;4;8;8;0;2;2;14;4;2;14;2;10;12;4;10;10;4;8;2;18;0;8;2;6;2;4;18;2;4;16;4;0;8;0;0;4;4;8;2;8;2;2;2;8;4
american;0;0;0;0;0;16;22;16;64;26;26;18;14;10;12;6;28;4;2;2;2;8;10;6;10;10;4;2;24;8;4;0;2;6;6;6;8;6;18;4;10;12;16;2;0;4;2;6;4;2;8;2;6;10;2;12;4;2;4;10;10;6;2;4;10;4;6;0;8;4;4;6;2;2;0;12;2;12;6;4;0;0;2;2;2;4;8;4;2;10;6;0;2;0;6;10;6;6;4;0
act;0;0;0;0;0;0;10;16;10;32;18;14;16;26;8;18;14;12;4;4;8;8;12;12;8;10;18;10;10;14;16;6;6;0;26;18;18;4;6;6;8;2;6;20;12;4;10;12;12;2;6;18;10;10;14;10;10;14;0;0;2;2;6;2;4;2;0;16;6;4;6;2;4;2;16;8;0;6;0;10;6;6;2;0;26;10;10;2;0;2;2;6;2;4;2;0;6;4;10;2
health;0;0;0;0;0;0;0;22;14;16;36;24;6;14;38;14;2;10;2;0;10;16;12;10;4;6;42;6;10;8;4;0;2;0;4;4;6;16;10;6;38;4;10;8;10;4;4;2;2;8;6;0;2;4;0;8;0;0;0;0;2;8;0;4;12;2;6;6;8;4;6;4;2;8;2;0;8;4;2;6;2;10;10;4;0;6;4;0;2;0;12;4;12;2;8;4;2;4;6;8
trump;0;0;0;0;0;0;0;0;12;24;12;8;12;12;8;6;12;4;6;12;4;4;8;4;4;4;14;0;4;4;2;0;8;16;4;0;2;12;6;2;4;2;2;6;6;0;6;4;0;0;4;4;8;4;4;0;10;6;8;10;10;30;4;0;6;2;0;4;4;2;0;0;2;0;2;2;0;2;0;4;4;14;2;2;2;4;2;0;0;2;6;0;0;2;0;4;0;2;4;2
people;0;0;0;0;0;0;0;0;0;20;10;4;10;12;10;4;20;6;4;10;6;14;8;8;16;4;4;2;14;4;2;2;2;4;6;6;8;8;4;0;8;10;12;4;6;2;6;8;8;0;2;6;6;0;8;8;0;4;4;8;10;0;6;0;2;2;10;2;4;6;4;2;6;6;4;10;2;4;4;2;4;4;4;0;4;4;8;4;2;8;4;4;2;4;6;4;6;4;0;2
senate;0;0;0;0;0;0;0;0;0;0;12;8;12;22;4;4;8;2;10;4;8;6;4;6;6;10;2;10;8;6;12;0;0;30;18;20;18;2;0;0;6;4;20;18;4;0;2;22;6;6;10;20;20;2;2;30;10;0;18;18;2;2;0;0;0;14;2;4;6;6;2;0;0;0;0;0;2;0;0;8;2;2;2;2;6;4;6;2;4;6;4;0;0;2;2;2;4;2;18;2
