;trump;president;people;new;united;great;states;house;government;federal;administration;american;national;best;obama;state;news;york;republican;department;thank;senate;white;big;may;campaign;good;country;party;article;world;democrats;justice;man;former;fbi;trying;fake;working;donald;security;final;year;job;election;help;times;military;nothing;russia;media;presidential;proud;bill;love;2016;week;court;americans;tough;reserve;announce;fact;hillary;south;congress;economy;law;days;history;strong;report;vote;released;game;police;team;million;nfl;copy;season;rush;director;j;thursday;russian;clinton;committee;investigating;women;transcript;take;killed;wonderful;support;part;place;act;end;voted
trump;0;92;20;34;20;12;16;18;10;24;34;12;14;2;10;12;18;22;22;10;4;4;10;8;14;34;8;6;4;4;2;2;6;2;16;20;10;18;2;46;8;12;2;4;12;2;12;2;2;14;6;20;6;4;0;14;6;2;4;2;4;4;4;4;2;10;0;6;12;2;0;2;4;4;0;2;0;0;0;14;0;12;18;24;4;6;2;6;8;0;12;2;0;2;0;2;2;2;2;2
president;0;0;26;18;36;16;34;20;8;10;10;16;22;2;24;4;14;8;6;6;10;2;12;8;18;2;4;4;6;4;0;4;4;2;22;16;10;10;10;12;10;12;6;2;2;0;6;0;4;2;6;0;6;6;0;4;6;2;4;2;2;2;2;6;0;4;0;8;8;2;2;4;2;6;0;4;0;0;0;12;0;12;16;4;2;8;6;4;4;0;12;2;2;2;2;4;0;4;0;2
people;0;0;0;8;20;22;18;2;8;6;8;28;14;6;6;8;6;6;10;12;8;4;2;10;6;4;4;12;4;2;8;6;10;8;6;0;0;6;8;4;6;2;2;4;6;6;6;4;8;0;8;2;8;2;6;0;4;2;6;0;2;4;8;2;6;4;2;4;4;4;4;0;0;2;0;0;0;12;0;2;2;2;0;6;4;2;0;2;6;2;2;6;4;10;6;4;4;0;2;4
new;0;0;0;0;8;14;8;12;6;14;14;12;6;2;6;4;6;64;6;4;4;4;6;6;6;6;6;2;8;10;4;2;4;6;8;8;2;6;4;8;4;4;8;0;2;2;32;4;4;0;2;2;2;6;4;6;2;0;4;0;4;6;4;4;2;4;6;2;2;2;0;4;2;2;2;0;8;2;6;4;6;4;6;4;8;0;4;0;0;2;4;4;0;2;0;2;0;4;2;2
united;0;0;0;0;0;12;136;8;8;12;8;10;12;2;8;6;4;4;6;2;8;4;8;4;10;2;6;14;4;2;16;4;0;2;0;0;4;0;2;8;8;8;6;4;0;8;2;8;6;4;0;2;4;2;0;2;0;0;8;0;4;0;2;0;6;4;4;0;2;4;6;0;4;2;2;2;0;4;0;8;0;8;0;4;2;0;0;0;0;8;8;2;4;0;2;2;2;0;4;4
great;0;0;0;0;0;0;12;8;4;2;8;24;6;16;4;6;14;8;8;0;18;4;2;8;0;2;8;8;2;8;8;6;0;10;0;0;4;10;8;6;2;0;2;16;8;4;2;8;4;0;8;4;14;8;10;0;4;0;4;0;0;8;0;0;4;4;8;4;2;2;8;2;0;0;2;2;4;0;0;0;4;0;0;4;0;0;2;4;0;2;0;8;0;2;2;2;6;0;4;2
states;0;0;0;0;0;0;0;6;8;14;8;10;10;2;8;6;4;4;4;0;6;4;6;4;8;2;8;14;4;2;16;4;0;2;0;0;4;0;2;6;4;6;6;2;0;8;2;10;6;4;0;2;4;2;0;2;0;2;6;0;6;0;2;0;6;4;4;0;2;4;6;0;4;2;2;2;0;2;0;6;0;6;0;2;0;0;0;0;0;8;6;2;4;0;2;2;2;0;4;4
house;0;0;0;0;0;0;0;0;4;2;4;4;0;4;12;0;4;4;8;2;4;16;50;6;4;6;2;2;10;2;2;10;2;2;2;2;4;2;2;4;0;4;6;6;2;2;4;8;2;4;4;2;0;12;0;0;4;0;2;0;0;2;0;2;2;2;2;2;2;2;2;4;4;2;2;0;0;4;0;4;0;4;0;2;4;2;2;4;2;0;4;2;2;0;0;2;0;4;4;14
government;0;0;0;0;0;0;0;0;0;18;8;0;2;4;6;6;4;0;2;0;4;2;0;2;4;4;2;2;2;0;6;4;2;0;4;4;2;2;2;2;2;2;2;2;2;2;0;4;0;4;0;2;0;0;2;2;0;0;10;0;2;0;4;0;2;4;4;6;2;2;0;6;0;0;0;0;2;4;0;2;0;2;2;0;0;6;2;0;0;2;2;0;6;0;2;2;2;0;2;2
federal;0;0;0;0;0;0;0;0;0;0;8;2;0;4;0;16;0;6;2;8;2;4;4;2;4;8;4;2;0;2;0;0;6;2;4;4;2;0;10;4;4;2;4;4;2;0;4;2;0;2;0;4;0;4;0;2;2;4;4;0;26;0;2;0;2;4;8;8;0;2;0;2;2;0;0;0;0;2;0;2;0;2;2;0;0;2;0;2;4;0;2;0;0;0;4;0;0;4;0;0
