;arkansas;students;state;great;address;governors;career;anniversary;technical;ar;former;help;news;president;leadership;education;conference;states;discuss;honored;important;future;covid19;weeks;nursing;share;radio;skills;birth;ars;people;importance;capitol;good;work;strategy;pleasure;air;center;licensing;civil;@realdonaldtrumps;local;patrol;words;stem;spoke;opportunity;broadband;talented;celebration;learned;serving;changes;military;year;todays;grateful;election;learn;2020;science;federal;recognition;recognize;honor;continue;public;members;enforcement;ronald;sunday;attend;blessed;bright;safety;gifted;thank;youth;workforce;70th;#coronavirus;live;rural;critical;appreciate;story;law;mansion;meet;calls;@arkansastech;contributions;daily;dedication;tells;16th;support;february;academic
arkansas;0;4;2;2;4;4;2;4;2;0;4;2;4;2;2;2;4;4;2;2;2;0;2;2;0;4;2;2;2;0;4;2;2;2;4;2;2;0;0;0;0;0;4;0;0;2;0;2;2;0;2;0;2;0;2;0;4;0;2;0;2;2;2;0;0;2;0;0;2;2;2;0;0;0;2;0;0;4;0;2;2;2;0;2;0;2;2;2;2;2;0;0;0;2;0;0;2;2;2;2
students;0;0;4;2;0;0;6;2;6;4;0;4;0;0;0;6;0;2;0;0;2;6;0;0;4;0;0;6;2;4;2;2;6;0;4;0;2;0;2;0;0;0;0;0;0;2;2;2;0;2;0;2;0;0;0;2;2;0;0;2;2;4;0;0;2;2;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2
state;0;0;0;4;4;2;2;0;2;4;2;2;0;2;0;4;0;2;4;0;2;4;0;2;2;0;2;2;0;2;0;2;2;0;0;0;0;2;0;0;2;2;0;2;2;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;2;2;0;2;2;2;0;0;2;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
great;0;0;0;0;0;2;2;0;2;2;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;2;0;0;2;0;0;0;0;2;2;2;0;0;2;0;2;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
address;0;0;0;0;0;0;0;0;0;0;2;0;4;2;2;0;4;4;6;0;2;0;4;6;0;4;6;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0
governors;0;0;0;0;0;0;0;4;0;2;2;2;0;0;0;0;2;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;4;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
career;0;0;0;0;0;0;0;0;6;4;0;4;0;0;0;4;0;0;0;0;0;4;0;0;2;0;0;6;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
anniversary;0;0;0;0;0;0;0;0;0;0;4;0;0;4;4;0;2;0;0;2;0;0;0;0;2;0;0;0;6;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;2;0;0;4;0;2;0;0;0;0;0;4;2;0;0;0;0;0;0;2;0;0;0
technical;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;4;0;0;0;0;0;4;0;0;2;0;0;6;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
ar;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;2;2;4;2;0;2;0;0;4;0;0;0;2;2;0;2;0;0;2;2;0;2;0;0;2;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
