kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD,kw_q1,freq_q1,kw_q2,freq_q2,kw_q2YTD,freq_q2YTD
state,49,illinois,51,illinois,109,illinois,116,de,94,de,48,illinois,461,illinois,205,illinois,256,illinois,461
illinois,45,state,50,state,95,de,101,illinois,94,illinois,46,state,377,state,194,de,243,state,377
work,23,year,17,de,84,state,93,state,61,state,29,de,327,de,84,state,183,de,327
people,20,budget,17,en,60,#allinillinois,70,que,59,que,28,que,191,work,70,que,138,que,191
new,18,million,14,que,53,health,63,people,52,en,19,people,183,care,66,covid19,121,people,183
families,17,new,14,federal,48,care,63,la,47,justice,19,care,176,people,64,#allinillinois,120,care,176
year,17,students,11,care,47,covid19,61,covid19,47,million,19,health,172,health,61,people,119,health,172
@realdonaldtrump,16,health,11,health,43,en,56,#allinillinois,39,la,18,en,165,en,60,health,111,en,165
students,15,families,10,home,41,home,55,health,39,las,18,covid19,152,working,59,care,110,covid19,152
working,13,work,10,working,40,people,53,phase,34,black,18,home,134,federal,56,en,105,home,134
across,12,care,10,para,38,que,51,care,32,los,17,la,132,new,56,la,99,la,132
together,12,education,9,people,37,across,41,virus,31,care,15,work,129,que,53,home,85,work,129
nation,11,college,9,work,37,workers,37,@govpritzker,31,el,14,across,128,across,53,el,77,across,128
opportunity,10,access,9,across,35,el,36,en,30,families,14,#allinillinois,120,home,49,support,77,#allinillinois,120
proud,9,communities,8,la,33,million,36,daily,30,people,14,new,112,year,44,across,75,new,112
education,9,nation,8,help,33,support,35,public,29,across,14,help,105,take,40,communities,68,help,105
legislation,9,proud,8,covid19,31,la,34,residents,29,covid19,13,el,102,help,39,help,66,el,102
care,9,general,8,los,30,stay,32,support,29,help,13,working,100,families,39,los,62,working,100
thank,9,people,7,virus,28,communities,32,el,27,work,13,para,99,public,38,para,61,para,99
million,8,states,7,take,28,help,32,3,26,support,13,federal,99,para,38,million,59,federal,99
administration,8,government,7,stay,27,federal,30,communities,25,states,13,support,96,government,35,work,59,support,96
illinoisans,8,fiscal,7,public,27,new,29,home,25,un,12,families,94,la,33,testing,58,families,94
justice,8,public,7,workers,25,thank,29,restore,25,para,12,public,94,community,33,public,56,public,94
forward,7,illinoisans,6,new,24,para,28,@idph,24,pandemic,12,communities,94,virus,32,new,56,communities,94
schools,7,past,6,community,24,testing,28,testing,24,full,11,los,92,students,32,families,55,los,92
health,7,investment,6,el,24,together,27,work,23,program,11,take,91,administration,32,las,54,take,91
take,7,investments,6,las,23,los,27,briefing,23,communities,11,million,90,covid19,31,virus,54,million,90
continue,6,across,6,businesses,23,crisis,25,las,22,forward,11,virus,86,million,31,residents,53,virus,86
states,6,community,6,testing,23,take,25,families,21,#allinillinois,11,workers,83,nation,31,workers,52,workers,83
high,6,future,6,government,22,hospital,24,para,21,una,11,testing,82,workers,31,take,51,testing,82
serve,6,children,6,#covid19,21,#covid19,24,help,21,child,11,stay,80,los,30,stay,50,stay,80
government,6,funds,6,medical,20,capacity,23,face,20,continue,10,residents,78,states,30,together,49,residents,78
millions,6,administration,6,statewide,20,work,23,across,20,businesses,10,states,77,stay,30,daily,49,states,77
young,6,history,6,order,20,working,22,move,19,pritzker,10,las,77,businesses,28,una,47,las,77
future,6,opportunity,6,everyone,19,important,21,safe,19,mask,9,together,75,continue,27,states,47,together,75
law,6,believe,6,una,19,safe,21,plan,19,nation,9,community,70,together,26,safe,47,community,70
put,6,training,6,capacity,19,staying,21,new,18,4,9,thank,68,proud,26,thank,46,thank,68
bipartisan,6,working,6,additional,18,public,20,los,18,take,9,year,67,children,26,#covid19,45,year,67
past,6,forward,5,crisis,18,más,20,un,17,new,9,una,66,communities,26,un,43,una,66
children,6,pension,5,administration,18,families,20,take,17,health,9,#covid19,66,el,25,federal,43,#covid19,66
important,5,take,5,cases,18,order,20,por,17,residents,9,safe,62,residents,25,phase,43,safe,62
system,5,lgbtq,5,spread,18,week,19,una,17,governor,9,businesses,61,testing,24,face,42,businesses,61
equity,5,jobs,5,support,17,una,19,es,17,move,8,daily,61,opportunity,24,pandemic,42,daily,61
financial,5,economic,5,states,17,medical,19,businesses,16,business,8,government,59,las,23,working,41,government,59
home,5,dollars,5,response,17,states,18,con,16,emergency,8,continue,58,illinoisans,23,community,37,continue,58
rights,5,dedicated,5,continue,17,daily,18,pandemic,16,phase,8,nation,57,best,23,social,36,nation,57
funding,5,resources,5,residents,17,coming,17,states,16,tested,8,illinoisans,56,access,23,hospital,36,illinoisans,56
expanded,5,ensure,5,possible,17,proud,17,stay,16,public,7,un,55,thank,22,por,36,un,55
capital,5,rockford,5,able,17,days,17,community,16,family,7,lives,55,medical,22,lives,35,lives,55
best,5,funding,5,food,17,essential,17,safety,16,grants,7,students,54,clear,21,es,35,students,54
federal,5,higher,5,clear,16,virus,17,contact,16,#covid19,7,social,53,able,21,más,34,social,53
great,5,next,5,es,16,lives,17,reopen,15,lives,7,capacity,53,education,21,briefing,34,capacity,53
become,5,celebrate,5,por,16,may,17,social,15,provide,7,best,53,budget,21,illinoisans,33,best,53
progress,5,broadband,5,please,15,weeks,16,together,15,wear,7,order,52,crisis,21,may,33,order,52
tickets,5,rebuild,5,program,15,fight,16,working,15,safe,7,por,52,#covid19,21,businesses,33,por,52
investment,5,revenue,5,hospital,15,place,16,#covid19,14,illinoisans,7,program,51,capacity,21,staying,32,program,51
jobs,5,improve,5,business,15,everyone,16,family,14,together,7,everyone,51,schools,21,everyone,32,everyone,51
change,5,universities,5,best,15,government,16,fase,14,face,7,es,51,program,21,con,32,es,51
hard,4,ability,4,lo,14,response,16,best,14,access,7,hospital,51,statewide,21,capacity,32,hospital,51
senate,4,black,4,local,14,face,15,may,14,without,7,proud,51,possible,21,continue,31,proud,51
end,4,continue,4,still,14,protect,15,services,13,virus,6,crisis,51,order,21,order,31,crisis,51
investments,4,hundreds,4,emergency,14,chicago,15,workers,13,social,6,medical,50,cases,20,@govpritzker,31,medical,50
public,4,making,4,children,14,hard,15,thank,12,matter,6,local,49,lives,20,weeks,30,local,49
scholarships,4,pay,4,homes,14,students,15,everyone,12,providers,6,access,49,response,19,move,30,access,49
united,4,program,4,social,14,community,15,weeks,12,testing,6,administration,48,local,19,crisis,30,administration,48
pay,4,schools,4,lives,14,por,15,economy,12,community,6,may,48,support,19,visit,30,may,48
move,4,safety,4,communities,14,residents,15,facilities,12,hemos,6,face,47,college,19,local,30,face,47
life,4,invest,4,access,13,social,15,spread,12,children,6,forward,46,una,19,best,30,forward,46
signed,4,residents,4,call,13,las,14,safely,12,moving,6,family,46,school,19,@idph,30,family,46
members,4,announce,4,casa,13,un,14,illinoisans,12,local,6,phase,46,additional,19,family,30,phase,46
creating,4,together,4,hospitals,13,april,14,mirza,12,statement,6,spread,45,spread,19,program,30,spread,45
service,4,clear,4,safe,13,pandemic,14,tracing,12,relief,6,visit,44,everyone,19,se,29,visit,44
side,4,fund,4,del,13,se,14,business,11,theres,5,pandemic,44,justice,19,important,29,pandemic,44
thousands,4,street,4,protect,13,nearly,14,order,11,cannot,5,con,43,forward,18,3,29,con,43
school,4,help,4,case,13,visit,14,hospital,11,site,5,still,43,system,18,days,28,still,43
welcoming,4,project,4,un,12,kids,14,dr,11,peoria,5,possible,43,business,18,forward,28,possible,43
action,4,ive,4,nation,12,still,14,federal,11,opportunity,5,services,42,social,17,medical,28,services,42
residents,4,bridge,4,ppe,12,hospitals,14,visit,11,possible,5,business,42,fight,17,protect,28,business,42
licenses,4,rural,4,vulnerable,12,illinoisans,14,latino,11,visit,5,days,42,put,17,child,28,days,42
honor,4,took,4,thank,12,local,13,protect,11,safely,5,children,41,next,17,black,27,children,41
minimum,4,live,4,days,12,available,13,local,11,6,5,child,41,place,17,still,27,child,41
giving,4,president,4,families,12,es,13,lives,11,action,5,protect,41,officials,17,services,27,protect,41
path,4,hard,4,officials,12,centers,13,como,11,home,5,weeks,40,general,17,safety,26,weeks,40
raised,4,remains,4,estamos,12,ventilators,13,staff,11,es,5,place,39,food,17,nation,26,place,39
historic,4,promises,4,school,12,needs,13,#jbonfb,11,desde,5,justice,39,future,16,restore,26,justice,39
pension,4,staff,4,taking,12,best,13,lets,11,si,5,fight,39,dedicated,16,access,26,fight,39
problems,4,connectivity,4,week,11,fighting,13,moment,11,moment,5,@idph,39,please,16,essential,26,@idph,39
property,4,tax,4,place,11,ive,13,más,11,proud,5,important,39,@realdonaldtrump,16,coming,26,important,39
fight,4,months,4,national,11,team,13,se,11,another,5,más,39,past,16,spread,26,más,39
commitment,4,plan,4,con,11,year,13,still,10,announce,5,3,39,es,16,week,25,3,39
human,4,behind,4,healthcare,11,share,12,forward,10,masks,5,next,39,family,16,proud,25,next,39
build,4,agency,4,test,11,looking,12,region,10,offer,5,safety,38,still,16,find,24,safety,38
costs,4,matching,3,todos,11,possible,12,times,10,year,5,staying,38,ensure,16,government,24,staying,38
act,4,osf,3,patients,11,thousands,12,thousands,10,signed,5,move,38,taking,16,business,24,move,38
insulin,4,top,3,nuestros,11,program,12,ive,10,administration,5,please,37,por,16,ive,24,please,37
communities,4,100,3,unprecedented,11,con,12,find,10,programs,5,essential,37,serve,15,provide,24,essential,37
big,4,lincoln,3,services,11,census,12,al,10,thank,5,response,37,millions,15,available,23,response,37
increasing,4,priority,3,means,11,masks,12,1,10,fase,5,emergency,37,chicago,15,year,23,emergency,37
address,4,great,3,team,11,professionals,12,rate,10,find,5,food,37,office,15,plan,23,food,37
equal,4,services,3,family,11,continue,12,personas,10,wearing,5,budget,36,services,15,emergency,23,budget,36
