;president;new;great;trump;federal;people;republican;state;media;may;police;government;american;country;administration;party;states;america;beautiful;bill;easy;act;end;everyone;united;public;history;donald;obama;national;campaign;world;democrats;director;help;huge;fbi;washington;border;court;times;news;supreme;man;thank;months;taxes;senator;human;health;british;still;journal;fake;show;senate;reserve;turn;political;money;russia;southern;21;interest;fan;greatest;judge;area;moving;asked;post;real;florida;city;paying;thanking;attorney;2016;2017;coming;article;war;organization;isnt;research;vote;crime;richmond;wide;source;something;ohio;general;high;next;matter;house;former;exactly;forward
president;0;6;6;16;2;4;2;0;2;4;0;0;2;6;2;0;2;0;2;2;0;0;0;0;2;2;4;4;4;2;2;4;2;0;0;2;4;0;4;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;2;4;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;4;0;0;2;2;0;2;0;0;2;2;2;2;0
new;0;0;4;2;4;0;2;2;0;2;2;4;2;0;4;2;2;0;0;4;0;0;0;0;2;2;2;2;6;0;2;0;0;0;0;2;4;0;0;0;4;2;0;2;2;0;0;0;2;0;4;0;0;0;0;2;0;0;4;2;2;0;0;0;2;4;0;0;0;0;0;0;0;2;4;0;2;0;0;2;0;2;0;0;2;0;2;2;4;2;2;0;2;2;4;2;0;2;0;0
great;0;0;0;2;0;0;4;2;0;0;0;2;2;4;0;2;0;2;4;2;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;4;0;2;2;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0
trump;0;0;0;0;0;2;2;0;2;4;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;2;4;0;2;2;2;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0
federal;0;0;0;0;0;2;0;4;0;2;2;6;0;0;2;0;2;0;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;4;0;2;0;6;0;0;6;2;0;0;0;0;0;0;0;2;0;0;0;0;6;0;0;4;0;0;0;4;2;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;2;0
people;0;0;0;0;0;0;0;0;2;2;0;0;6;4;0;2;0;0;0;0;0;2;4;0;0;0;2;0;0;0;2;4;2;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2
republican;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;4;0;2;0;0;2;2;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
media;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;2;0;2;0;0;2;2;0;0;0;0;2;2;0;0;2;0;0;2;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0
may;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;4;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;2;0;0
police;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;4;0;0;2;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0
american;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;2;0;0;0;4;0;2;0;2;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;4;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;4;0;2
