;new;hampshire;state;nh;#603pride;granite;hampshires;year;great;education;families;staters;primary;2020;watch;students;live;across;system;family;along;address;listen;@wmur9;service;without;states;tax;nation;#fitn;approach;sports;election;@nhpr;success;february;thanks;follow;people;record;tune;honored;presidential;investments;meeting;unique;serve;proud;wishing;income;betting;economic;leave;whole;tomorrow;phaneuf;plan;firstinthenation;nashua;communities;remain;future;amazing;innovative;mason;paid;work;2;phaneufs;hampton;business;next;growth;deliver;vote;taking;support;100;responsibility;take;costs;committed;taken;captain;incredible;officials;honor;morning;keene;health;capt;american;student;grateful;@mutatnightweei;hero;@sonewhampshire;continue;bold;study
new;0;66;26;12;14;14;16;8;12;8;10;8;10;8;4;4;6;6;6;4;4;4;4;4;8;4;6;2;8;6;8;6;6;4;2;6;0;4;4;8;2;4;8;6;2;6;6;4;2;2;4;2;2;4;4;6;2;6;0;2;2;2;4;4;2;2;2;4;4;0;2;4;2;2;2;6;2;6;6;2;2;0;2;4;4;4;4;4;4;2;4;4;0;4;0;4;0;2;0;2
hampshire;0;0;22;10;12;6;0;6;8;4;10;2;6;8;2;4;4;4;2;4;4;4;4;4;8;4;4;2;4;6;6;6;4;4;2;6;0;4;4;8;2;4;4;2;0;6;4;4;2;2;4;2;2;2;4;6;2;4;0;0;2;0;2;4;2;2;2;4;4;0;0;4;2;2;2;4;2;4;4;0;2;0;0;4;4;2;4;2;2;2;4;4;0;4;0;4;0;2;0;2
state;0;0;0;4;2;12;4;2;2;2;2;0;4;8;8;2;12;2;4;0;10;10;8;8;2;0;2;2;4;2;2;2;4;8;6;4;0;4;2;2;6;0;4;2;4;4;0;0;0;0;2;2;0;0;6;2;0;2;0;2;2;2;0;2;0;0;0;6;2;2;2;2;2;2;0;0;2;2;0;0;2;0;0;0;0;4;2;2;2;4;2;2;0;2;2;2;0;0;0;2
nh;0;0;0;0;4;4;2;0;0;6;0;2;2;0;0;4;0;8;2;4;0;0;0;0;4;0;0;2;2;2;2;2;2;0;2;2;2;0;0;2;0;6;0;2;0;0;0;4;0;0;2;2;0;2;0;4;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;2;2;0;4;2;0;0;0;0;0;0;0;2;0;2;4;0;0;0;4;4;0;4;0;4;0;0;0;0
#603pride;0;0;0;0;0;4;2;0;4;4;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;6;0;0;0;0;4;0;0;4;0;2;2;4;0;2;0;0;0;0;0;0;0;2;2;0;0;4;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;0;0;0;0;0;4;2;0;2
granite;0;0;0;0;0;0;6;2;4;2;2;12;4;0;2;2;2;2;2;0;0;0;0;0;0;0;2;4;4;2;2;2;2;0;2;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;2;2;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;2
hampshires;0;0;0;0;0;0;0;2;4;4;0;4;4;0;2;0;2;2;4;0;0;0;0;0;0;0;2;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;4;4;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0
year;0;0;0;0;0;0;0;0;2;0;2;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;4;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;4;2;2;0;0;4;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0
great;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;2;0;2;0;0;0;0;0;2;2;4;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0
education;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;8;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;2;0;4;0;6;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;2;0;2;2;0;0;0;2;0;0;0;2;0;0;2;0;2;2;0;0;0;0;2;2;2;0;0;2;0;0;0;6;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0
staters;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0
