;de;illinois;state;que;people;la;covid19;#allinillinois;health;phase;care;virus;@govpritzker;en;daily;public;residents;support;el;3;communities;home;restore;@idph;testing;work;briefing;las;families;para;help;face;across;move;safe;plan;new;los;un;take;por;una;es;businesses;con;pandemic;states;stay;community;safety;contact;reopen;social;together;working;#covid19;family;fase;best;may;services;workers;thank;everyone;weeks;economy;facilities;spread;safely;illinoisans;mirza;tracing;business;order;hospital;dr;federal;visit;latino;protect;local;lives;como;staff;#jbonfb;lets;moment;más;se;still;forward;region;times;thousands;ive;find;al;1;rate;personas
de;0;24;0;54;0;48;8;8;0;0;0;8;0;42;0;0;0;0;36;12;0;0;12;8;0;0;0;30;0;34;0;0;0;0;0;8;0;26;26;0;20;28;30;0;20;2;0;0;2;0;0;0;0;0;0;0;0;22;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;16;0;0;0;0;20;16;0;0;0;0;0;0;0;16;6;0;12
illinois;0;0;34;18;16;20;12;28;18;26;10;6;2;12;4;16;18;10;8;26;14;10;46;6;14;14;0;8;14;14;16;10;14;12;6;22;10;8;12;8;6;16;16;6;8;16;12;8;12;4;8;10;4;8;4;8;2;10;12;6;6;6;6;4;10;12;2;4;16;2;0;8;4;6;0;0;6;4;10;0;8;8;4;2;12;2;4;6;6;4;2;6;4;4;6;12;8;2;4;2
state;0;0;0;0;20;0;4;12;14;10;12;2;6;0;2;18;6;12;0;8;14;14;18;12;14;8;0;0;10;0;8;6;24;8;8;14;4;0;0;2;0;0;0;12;0;6;6;2;4;6;8;14;0;6;2;4;6;0;2;4;6;0;2;0;6;6;12;2;12;8;2;6;4;2;0;4;2;8;4;6;2;4;0;4;2;4;2;0;0;0;2;10;4;6;4;4;0;0;2;0
que;0;0;0;0;0;38;8;2;0;0;0;6;0;34;0;0;0;0;30;8;0;0;8;2;0;0;0;24;0;30;0;0;0;0;0;6;0;26;22;0;18;20;22;0;14;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;14;0;0;0;0;20;18;0;0;0;0;0;0;0;12;4;0;12
people;0;0;0;0;0;0;12;6;8;8;12;10;14;0;0;10;4;4;0;6;4;8;2;4;0;8;0;0;0;0;4;14;4;4;2;4;2;0;0;8;0;0;0;6;0;2;0;4;4;8;0;8;8;4;4;0;2;0;2;4;2;2;4;0;2;4;4;4;2;0;4;0;2;2;4;4;0;0;0;2;6;4;0;0;2;2;2;0;0;8;2;2;6;4;4;2;0;0;0;0
la;0;0;0;0;0;0;4;6;0;0;0;6;0;30;0;0;0;0;24;10;0;0;10;8;0;0;0;20;0;28;0;0;0;0;0;4;0;18;16;0;12;22;24;0;18;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;14;0;0;0;0;10;12;0;0;0;0;0;0;0;10;4;0;4
covid19;0;0;0;0;0;0;0;2;2;0;2;10;10;2;46;0;6;4;0;0;4;8;4;2;2;6;46;4;2;6;6;4;0;0;4;0;4;4;4;4;4;6;2;2;4;0;2;6;2;2;0;0;4;0;2;0;2;0;2;0;0;0;4;0;0;0;0;4;0;0;4;0;0;0;4;2;2;2;2;0;2;2;0;2;0;0;0;2;2;2;0;0;2;0;0;0;0;0;2;2
#allinillinois;0;0;0;0;0;0;0;0;2;6;2;8;0;4;2;2;4;2;2;8;12;16;6;14;2;4;0;2;10;4;2;12;10;2;0;0;0;0;2;4;0;4;6;0;0;4;0;4;6;8;0;0;2;10;6;4;4;2;4;8;0;4;10;4;2;0;0;6;2;2;0;0;0;0;2;0;0;8;0;8;0;12;0;2;0;16;2;0;0;4;2;4;4;2;0;2;0;0;2;0
health;0;0;0;0;0;0;0;0;0;16;12;2;2;0;0;24;8;10;0;8;4;10;12;14;0;2;0;0;4;0;4;4;2;8;4;4;8;0;0;4;0;0;0;4;0;2;6;4;6;6;4;2;2;0;2;2;4;0;6;4;4;8;0;2;0;4;2;2;6;0;0;4;2;6;4;0;0;4;4;0;4;2;0;6;0;2;4;0;0;0;10;4;0;2;0;0;0;2;6;0
phase;0;0;0;0;0;0;0;0;0;0;4;2;4;0;2;10;2;0;0;32;0;4;18;8;0;6;0;0;0;0;0;8;0;14;4;4;6;0;0;6;0;0;0;2;0;2;0;6;2;8;0;8;6;2;2;0;0;0;2;4;4;0;0;6;4;6;2;2;4;2;0;0;2;4;6;0;0;2;0;0;4;0;0;0;0;0;2;0;0;0;6;10;0;0;0;0;0;4;6;0
