;states;president;trump;people;united;new;great;american;house;democrats;national;man;government;news;police;senate;help;nothing;thank;york;good;court;media;2016;country;federal;fbi;department;party;americans;justice;former;looking;presidential;white;donald;security;state;senator;says;campaign;big;best;fire;week;article;support;arrested;fake;working;totally;information;investigating;data;investigation;texas;place;obama;official;care;night;committee;calling;china;lot;love;supreme;amazing;released;game;republican;usa;times;report;young;called;end;left;year;bernie;announce;group;korea;administration;latest;history;election;north;world;economy;university;russian;strong;bill;record;hit;order;pleased;trying;thing
states;0;10;4;16;62;4;6;8;6;4;0;2;8;8;2;8;6;6;2;2;4;4;0;2;6;4;0;8;2;0;4;0;2;2;4;0;0;4;2;2;0;0;0;2;2;4;0;0;0;0;2;2;0;0;0;2;2;2;2;4;6;0;2;4;2;0;4;0;2;0;0;0;2;2;0;0;2;0;0;0;4;2;6;4;0;4;2;4;6;4;0;0;2;6;0;0;0;2;0;2
president;0;0;28;6;12;6;4;6;6;6;8;2;4;4;0;0;4;2;2;2;2;2;8;0;4;4;10;2;2;4;2;6;0;2;4;6;6;0;2;2;0;6;2;0;4;2;6;2;2;0;2;0;4;0;6;0;0;2;8;0;4;0;2;8;0;0;2;0;2;0;0;2;2;2;0;4;2;2;0;0;2;0;6;2;2;4;2;4;4;4;2;4;2;0;4;0;2;2;0;2
trump;0;0;0;6;4;12;4;6;10;4;10;8;0;4;2;0;0;2;0;4;0;0;10;0;4;0;4;2;2;2;2;6;2;2;8;18;6;0;4;2;6;2;2;0;0;0;4;2;2;2;6;2;4;0;6;0;0;2;6;0;2;0;0;0;2;2;0;2;2;2;4;0;4;4;2;0;4;0;0;4;2;2;2;4;2;0;0;2;2;2;0;0;4;0;4;2;2;2;0;4
people;0;0;0;0;14;12;6;12;2;0;0;2;2;2;2;0;4;4;4;10;4;4;2;4;2;2;4;2;2;2;0;2;0;2;0;2;2;6;2;4;2;0;0;2;2;6;2;2;0;0;2;0;0;2;0;4;4;4;0;0;0;2;0;2;2;2;4;2;2;2;2;0;4;0;4;0;2;0;0;2;2;0;2;2;0;0;0;0;2;0;2;0;2;0;0;0;2;0;2;0
united;0;0;0;0;0;4;4;6;6;4;0;0;6;6;2;10;4;6;2;2;2;4;0;0;6;0;0;6;2;2;2;0;2;2;4;2;0;4;2;2;0;0;0;0;2;4;0;0;0;0;2;2;0;0;0;0;2;2;2;2;6;0;2;4;2;0;4;0;2;0;0;0;2;2;0;0;2;0;0;0;4;2;6;2;0;4;2;4;6;4;0;0;2;2;0;0;2;2;0;2
new;0;0;0;0;0;0;10;4;2;2;2;2;4;4;0;2;6;4;0;24;4;2;6;4;0;2;0;0;2;0;2;2;0;2;0;2;2;2;0;0;6;4;2;0;2;2;0;0;4;2;0;0;2;2;2;0;2;0;4;2;4;4;2;0;4;2;2;0;6;2;2;0;12;2;0;2;2;2;0;0;2;0;0;0;4;0;2;0;2;0;2;0;0;2;2;0;0;2;2;2
great;0;0;0;0;0;0;0;4;2;2;4;0;4;6;0;6;2;4;6;6;4;0;2;2;0;0;0;2;0;0;0;0;2;0;2;0;0;4;4;0;0;6;0;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;2;0;0;2;2;0;2;0;2;0;0;0;0;2;0;0;4;0;0;2;4;0;0;2;0;0;0;0;2;0;0;2;0;0;0
american;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;4;0;2;4;2;2;0;2;2;0;2;2;0;2;2;0;0;0;0;0;4;2;0;2;0;0;2;0;4;0;4;0;0;0;0;2;2;0;2;0;0;0;2;0;4;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;2;0;0;4;0;2;6;2;4;0;0;2;0;2;8;0;0;0;0;2;0
house;0;0;0;0;0;0;0;0;0;6;4;4;0;2;0;6;4;4;4;0;2;0;4;2;2;0;2;2;0;0;0;2;2;4;16;2;2;2;0;0;0;2;0;0;2;0;0;0;0;2;0;2;2;0;4;0;0;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0
democrats;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;8;2;10;0;2;0;4;0;2;0;0;0;4;4;0;4;2;0;2;2;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;2;0;0;4;0;6;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;2;2
