;care;workers;people;government;work;help;safe;sick;longterm;canada;public;#covid19;thank;paid;seniors;funding;health;governments;women;canadian;indigenous;lets;canadians;lives;stay;love;leave;parents;paying;home;crisis;build;new;run;essential;frontlines;term;lot;deserve;celebrate;girls;businesses;building;family;support;away;federal;action;normal;life;weeks;money;access;million;healthy;across;families;continue;job;needs;place;still;speak;give;says;lost;rely;clear;fight;fought;justice;take;ceos;increase;taking;child;fair;profit;avoid;without;tax;together;workthe;remember;racism;democrats;share;keeping;world;rights;responsibility;minister;asian;liberals;healthcare;join;living;homes;national;choice
public;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;4;2;2;0;0;0;0;2;0;6;0;0;0;2;0;0;0;0;2;2;2;0;4;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;2;6;0;2;4;4;0;2;0;0;0;6;0;0;2;0;0;0;2;0;0;0;0;0;0
#covid19;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;6;0;4;0;2;0;0;0;0;0;2;0;0;0;6;0;2;2;0;2;2;0;0;0;2;0;2;0;0;0;2;2;2;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;2;0;0;0;4;0;0;4;0;0;0;0;2;0;0;4;0;0;0;2;0;2;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;4;0;2;0;0;0;0;0;0;2;6;4;8;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;4;4;2;2;2;0;0;0;0;0;0;0;2;2;4;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;0;0;0;2;4;0;0;0;0
paid;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;6;0;6;2;4;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;6;0;2;0;0;2;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6
seniors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;4;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;4;0;0
funding;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;4;0;0;0;0;0;2;6;0;0;0;4;2;0;0;0;0;0;4;0;4;0;2;0;2;0;2;2;2;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;2;0;2;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;2;0;0;4;0;2;0;0;0;0;0;0;4;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;4;2;2;0;0;0
governments;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;4;0;2;2;4;0;0;0;0;0;0;4;0;0;2;0;0;2;0;4;2;0;0;2;2;2;2;0;0;0;0;4;0;0;0;0;0;2;0;2;0;0;0;0;0;2;4;0;0;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0
women;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;2;0;0;0;2;0;2;2;0;2;0;0;0;0;6;0;2;0;2;2;0;4;2;0;0;0;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0
canadian;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;4;2;0;0;0;0;0;0;0;2;0;2;0;2;2;2;0;0;0;0;0;4;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;2;2;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0
