;great;trump;united;president;states;new;american;news;court;house;obama;white;state;people;man;working;big;media;best;job;world;bill;government;administration;russia;department;donald;republican;supreme;thank;senate;presidential;campaign;country;federal;national;care;washington;justice;good;act;america;fake;another;hard;win;called;citizens;fbi;law;history;following;china;senator;part;left;vote;nation;party;announce;university;intelligence;season;tuesday;democrats;nfl;men;military;says;massive;police;thing;iran;conference;david;watch;love;friend;women;proud;political;hillary;nothing;former;americans;think;team;democrat;john;second;person;quality;power;looking;shooting;2016;seen;released;deal;powerful
great;0;4;4;12;4;10;8;0;2;4;4;4;10;0;0;6;2;0;6;12;0;0;0;4;2;0;0;0;2;6;0;0;2;8;0;0;4;4;0;6;2;4;0;4;2;4;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;6;2;0;0;6;0;2;2;6;4;4;0;0;0;2;0;0;2;2;0;0;0;2;0;4;0;2;0;0;2;0;0;0
trump;0;0;10;34;10;8;6;14;2;12;10;8;4;6;2;6;2;6;2;4;2;2;0;12;16;4;24;4;0;0;4;8;14;4;2;2;2;6;2;2;0;2;8;0;4;6;2;0;4;6;8;2;2;0;2;2;2;2;4;0;2;6;0;4;10;0;2;0;2;0;2;2;0;0;2;2;0;6;0;0;2;2;2;6;2;2;0;2;2;0;2;0;0;0;0;8;0;4;0;8
united;0;0;0;14;64;10;4;2;4;2;2;2;8;4;0;2;2;0;0;2;4;2;4;6;2;0;4;0;2;0;0;0;0;4;2;0;2;0;2;4;2;4;0;0;2;0;0;2;0;0;4;2;6;2;0;2;0;4;0;0;2;0;2;4;0;0;2;2;2;6;0;0;4;2;0;0;2;0;0;0;0;0;0;2;4;0;0;0;2;0;2;0;0;0;2;0;6;0;0;0
president;0;0;0;0;14;6;8;6;6;8;10;4;2;8;4;2;8;2;6;10;4;4;6;2;10;0;10;0;4;0;6;2;4;2;2;4;2;2;2;4;2;4;2;0;4;0;2;4;2;6;2;0;4;2;2;0;0;4;0;0;4;4;0;4;2;0;2;2;4;0;2;2;2;0;2;0;4;2;2;0;4;0;0;6;4;0;0;0;4;0;0;0;2;0;0;4;2;0;4;6
states;0;0;0;0;0;12;4;2;4;4;2;2;8;2;0;2;2;0;0;2;4;4;2;6;2;0;4;0;2;0;0;0;0;4;2;0;2;0;2;4;2;4;0;0;2;2;0;2;0;0;4;2;4;2;0;2;0;4;0;0;2;0;2;6;0;0;2;2;2;4;0;0;4;2;0;0;2;0;0;0;2;2;0;2;4;0;0;2;2;0;2;0;0;0;2;0;6;0;0;0
new;0;0;0;0;0;0;0;4;6;0;6;0;6;4;2;8;2;4;2;2;4;2;0;4;2;2;4;6;4;2;0;4;6;2;2;0;0;2;2;0;0;2;4;2;0;4;4;0;0;0;0;2;0;0;2;2;2;2;4;0;2;0;2;4;0;4;0;2;0;0;0;4;0;0;2;0;2;0;0;2;0;4;0;2;8;0;4;4;2;2;0;0;0;2;0;4;2;4;0;0
american;0;0;0;0;0;0;0;0;0;4;4;6;0;10;2;4;2;2;2;2;0;0;0;2;2;6;2;0;0;4;0;4;0;0;0;0;0;0;6;2;0;2;0;2;0;4;2;4;2;0;4;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;2;0;2;2;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;2;0
news;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;4;8;14;0;0;2;4;0;2;2;4;4;4;0;0;0;2;2;0;0;2;0;0;4;4;0;0;18;0;0;0;0;0;2;2;8;0;2;2;0;4;2;2;4;0;0;0;0;2;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;6;0;0;0;0;0;4
court;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;2;0;20;0;0;0;0;0;8;2;0;0;2;0;2;0;0;0;0;0;0;0;0;4;0;2;0;2;4;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0
house;0;0;0;0;0;0;0;0;0;0;0;22;0;0;2;4;2;2;2;2;0;2;6;0;2;0;2;2;0;4;2;0;0;2;2;0;0;2;0;0;0;0;0;2;2;2;2;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;0;0;4;0;0;2;2;0;0;4;0;6;2;0;2;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0
