;new;mexico;state;health;mexicans;#nmgov;covid19;#nmleg;stay;public;home;#stateofthestatenm;care;across;legislation;families;information;education;#alltogethernm;@nmdoh;positive;year;spread;continue;#coronavirus;children;together;support;announced;fund;committee;community;services;cases;childhood;please;early;senate;costs;sb;officials;hb;states;protect;economic;statewide;making;best;mexicos;work;law;additional;ensure;order;approved;businesses;essential;creating;school;house;funding;bipartisan;federal;jobs;working;scholarship;ensuring;opportunity;critical;tests;passed;safety;child;important;government;proud;communities;workers;tomorrow;energy;people;take;insulin;thank;higher;investments;economy;currently;solar;students;great;prescription;#sb5;join;mexican;million;access;tool;glad;credit
new;0;444;194;142;208;140;146;128;74;54;66;72;50;90;68;60;56;52;54;62;52;46;48;42;52;40;46;40;52;30;38;40;24;46;30;38;32;38;38;38;48;38;40;38;36;40;32;26;46;36;24;42;46;26;36;30;26;32;22;34;34;24;36;26;26;30;36;36;28;38;26;24;18;18;22;30;32;24;26;14;28;24;18;24;24;28;26;30;16;28;24;26;14;26;32;22;26;22;18;22
mexico;0;0;140;100;54;112;102;86;44;34;40;44;28;72;36;50;42;32;36;44;48;28;28;30;34;32;30;26;48;24;20;26;16;40;20;28;22;22;16;26;42;24;32;22;26;30;20;18;16;22;20;34;30;16;24;18;18;24;20;24;24;10;26;16;18;28;22;28;16;34;14;18;16;12;10;18;20;18;14;8;16;8;4;14;20;18;12;30;6;22;14;8;12;22;10;14;20;14;16;8
state;0;0;0;68;44;52;78;36;20;30;26;26;14;60;14;14;40;16;22;28;40;20;6;18;20;14;8;16;42;14;12;8;12;30;10;16;12;10;4;12;50;14;10;8;12;26;12;12;14;8;6;28;10;6;12;10;8;10;10;6;8;12;8;12;8;10;10;6;8;38;6;6;8;4;22;10;12;8;0;8;14;4;0;12;8;8;8;28;2;10;10;2;2;14;6;8;6;2;4;2
health;0;0;0;0;48;14;76;24;30;62;36;8;46;16;12;18;36;16;30;32;44;10;24;16;26;8;12;4;42;6;8;14;22;28;2;6;4;2;10;6;42;8;20;22;6;20;12;4;4;6;6;26;14;22;2;4;22;2;10;6;10;2;14;2;12;0;6;4;10;36;2;16;8;6;6;2;6;16;6;0;12;10;4;6;0;6;10;28;0;2;2;6;2;6;6;8;10;4;2;2
mexicans;0;0;0;0;0;32;42;40;36;18;36;20;26;26;24;14;12;18;20;16;4;12;20;10;16;8;18;12;6;6;16;16;6;6;6;14;8;8;24;16;4;14;6;18;14;16;16;10;6;16;6;12;14;8;12;12;18;10;2;14;6;10;8;10;12;10;10;16;8;6;10;14;4;6;12;16;10;6;12;8;14;12;16;10;6;8;6;2;14;6;8;18;2;4;10;4;10;10;2;16
#nmgov;0;0;0;0;0;0;4;88;12;18;6;0;8;38;28;20;4;14;0;6;2;12;2;18;12;14;6;18;6;12;28;6;16;6;14;16;14;22;12;26;2;28;10;8;18;4;12;12;8;8;14;4;14;4;18;6;2;14;6;10;10;12;6;8;12;2;10;2;8;2;20;6;4;8;6;12;6;0;10;12;6;0;12;8;2;8;8;2;8;2;12;6;4;8;2;2;6;4;8;8
covid19;0;0;0;0;0;0;0;0;38;28;38;0;10;2;0;2;56;2;42;52;44;2;50;14;36;4;10;4;42;4;0;24;2;42;0;12;0;0;0;0;48;0;18;20;0;28;2;8;2;4;0;24;6;14;0;10;14;0;6;0;2;0;8;0;4;0;6;0;8;36;0;2;4;2;6;0;4;6;2;0;8;8;0;2;0;0;2;28;0;2;4;0;0;6;8;2;2;4;6;0
#nmleg;0;0;0;0;0;0;0;0;2;18;0;0;14;24;52;16;2;20;0;2;4;6;0;6;0;22;0;24;2;18;48;2;4;0;18;10;18;36;28;44;0;36;10;4;12;2;12;4;6;4;22;6;12;10;42;6;2;12;10;36;6;28;6;2;4;10;14;16;8;0;30;10;8;8;0;8;8;0;2;4;0;4;18;6;12;6;6;0;4;6;6;18;14;8;2;2;16;14;4;6
stay;0;0;0;0;0;0;0;0;0;8;54;4;4;0;0;0;20;4;28;10;10;2;24;4;12;2;10;0;12;0;0;20;2;14;0;16;0;0;0;0;12;0;0;12;2;6;0;2;4;8;0;12;0;6;0;2;14;0;2;0;0;0;2;0;0;0;4;2;4;10;0;4;2;6;6;0;0;2;6;0;4;6;0;4;2;0;0;10;0;2;2;0;0;0;8;0;0;2;0;0
public;0;0;0;0;0;0;0;0;0;0;14;4;6;10;16;12;6;14;16;12;2;4;16;10;14;0;10;4;2;2;6;8;6;4;0;4;0;8;6;4;6;8;10;12;4;8;4;8;4;2;12;4;2;22;8;4;4;4;2;6;2;2;2;0;4;0;4;2;8;0;6;30;0;6;4;0;4;2;6;0;2;6;4;2;0;6;8;4;0;2;2;6;6;2;2;4;2;6;0;0
