kw_q1,freq_q1,kw_q2,freq_q2,kw_all,freq_all
#americanidol,279,#americanidol,33,#americanidol,312
love,28,#daisies,18,love,35
@lukebryanonline,28,live,16,@lukebryanonline,30
@lionelrichie,20,tonight,12,tonight,25
think,19,tune,10,performance,24
performance,16,et,10,new,24
new,15,10,10,think,23
@americanidol,14,@kpcollections,9,@lionelrichie,22
tonight,13,efforts,9,live,19
@vogueindia,12,forget,9,#shoesdaytuesday,19
#hollywoodweek,12,new,9,#daisies,18
season,12,#shoesdaytuesday,9,@kpcollections,18
show,11,u,9,@abcnetwork,17
good,11,hope,8,@americanidol,17
next,11,pt,8,tune,17
jan,11,covid19,8,u,16
@abcnetwork,11,performance,8,cant,16
cant,11,vote,7,hope,16
believe,11,love,7,next,15
voice,10,@,7,@,15
best,10,top,7,season,14
3,10,items,7,believe,14
someone,10,essential,7,people,14
#shoesdaytuesday,10,watch,6,best,13
makes,9,providing,6,good,13
incredible,9,@baby2baby,6,forget,13
song,9,@abcnetwork,6,#hollywoodweek,12
thank,9,impacted,6,show,12
yes,9,may,6,@vogueindia,12
ready,9,assist,6,song,11
@kpcollections,9,shoe,5,voice,11
hollywood,9,people,5,jan,11
people,9,donated,5,3,11
seen,9,cant,5,pt,11
anyone,9,families,5,ive,11
put,8,facebook,5,87c,11
eyes,8,purchase,5,week,11
ok,8,2,5,thank,11
year,8,week,5,10,11
hope,8,children,5,someone,11
talent,8,finale,5,proud,10
@,8,favorite,5,coming,10
episode,8,daisies,4,incredible,10
heart,8,home,4,anyone,10
ive,8,video,4,music,10
tune,7,students,4,night,10
proud,7,lgbtq,4,seen,10
coming,7,summer,4,et,10
@ryanseacrest,7,able,4,top,10
looks,7,world,4,yes,10
night,7,#cantcancelpride,4,favorite,10
87c,7,music,4,may,10
n,7,dance,4,coast,9
grandma,7,join,4,covid19,9
wait,7,think,4,efforts,9
u,7,87c,4,sometimes,9
link,7,next,4,makes,9
bio,7,living,3,put,9
still,7,friday,3,hollywood,9
real,6,could,3,ready,9
music,6,room,3,happy,9
omg,6,feel,3,episode,9
mean,6,definitely,3,ok,9
big,6,human,3,year,9
2020story,6,continue,3,took,9
everyone,6,night,3,heart,9
leave,6,check,3,still,8
@cojustsam,6,shes,3,talent,8
else,6,house,3,light,8
theres,6,reveal,3,video,8
sometimes,6,ive,3,eyes,8
week,6,coming,3,looks,8
happy,6,take,3,talk,8
give,6,zoom,3,world,8
something,6,whole,3,link,8
took,6,lot,3,home,8
coast,6,7,3,vote,8
great,5,#spacelaunchlive,3,big,8
might,5,end,3,real,7
actually,5,handbag,3,n,7
aint,5,moment,3,seeing,7
light,5,tv,3,give,7
contestants,5,dreams,3,wait,7
watching,5,light,3,little,7
saw,5,hair,3,@cojustsam,7
sorry,5,wanna,3,contestants,7
lets,5,icymi,3,take,7
yall,5,set,3,mean,7
talk,5,@directrelief,3,watching,7
isnt,5,happy,3,grandma,7
seeing,5,coast,3,gonna,7
favorite,5,leaving,3,items,7
story,5,transported,3,2,7
sing,5,aka,3,continue,7
gonna,5,launch,3,essential,7
@ohjonnywest,5,talk,3,check,7
wrong,5,days,3,@ryanseacrest,7
2020,5,believe,3,dance,7
@margiemaysmusic,5,hours,3,wanna,7
aka,4,journey,3,2020,7
