;trump;president;united;people;states;great;new;american;working;house;world;state;thank;administration;white;government;news;national;federal;democrats;obama;country;man;york;court;republican;help;party;election;media;article;big;love;china;job;best;history;former;vote;supreme;fbi;hard;americans;nothing;night;campaign;fact;senate;proud;department;congress;donald;fake;real;year;washington;security;city;texas;money;monday;released;million;killed;good;youthank;police;number;work;saying;source;america;2016;post;report;announce;massive;terrorist;official;military;law;think;place;hey;economic;case;win;group;huge;lot;take;days;times;use;team;making;week;stop;iran;show
trump;0;82;18;18;8;12;30;6;14;26;2;6;4;32;20;4;10;10;12;16;8;10;4;12;6;20;8;8;12;8;8;6;2;2;8;0;0;10;4;4;8;6;4;8;6;20;2;8;2;6;6;30;6;10;2;8;2;0;2;2;4;4;10;0;4;0;4;4;2;6;2;0;6;10;8;2;6;0;6;8;2;2;0;0;4;2;6;4;0;2;2;6;8;2;4;8;4;0;0;2
president;0;0;30;20;28;12;22;14;6;16;6;4;4;10;16;2;14;8;2;4;18;16;4;10;2;8;10;2;8;8;4;2;2;2;10;6;8;12;2;2;8;2;8;4;6;6;0;4;6;2;4;10;6;6;6;4;4;0;0;2;8;6;0;4;2;0;2;2;0;6;2;4;2;4;8;2;4;0;2;8;2;2;0;0;2;0;0;2;4;2;2;4;8;2;4;4;2;2;6;2
united;0;0;0;16;130;14;14;12;12;6;16;10;8;6;6;4;2;8;2;6;2;10;4;6;4;2;8;6;2;2;2;4;2;12;8;4;6;2;0;4;0;2;8;2;0;4;6;6;2;2;4;8;0;6;0;2;12;0;0;2;4;4;6;2;0;0;2;4;4;4;6;6;2;0;2;2;6;6;6;4;2;0;4;0;4;2;2;6;4;0;4;2;6;0;2;2;4;0;8;0
people;0;0;0;0;12;22;12;26;2;6;6;8;14;10;6;12;4;2;4;4;12;6;0;6;2;10;4;4;6;4;0;2;8;2;6;4;2;2;2;2;4;4;0;4;2;8;4;0;8;0;4;4;6;8;4;2;2;8;2;4;2;2;8;8;4;2;2;4;6;2;0;2;4;8;0;0;0;4;2;8;0;4;0;0;2;0;6;4;4;2;4;2;2;4;0;0;0;2;2;2
states;0;0;0;0;0;12;12;16;10;2;14;12;8;4;4;2;2;6;2;4;4;12;4;2;4;0;8;6;4;2;0;4;2;12;10;4;6;2;2;4;0;2;6;2;0;4;8;6;2;2;4;4;0;2;0;2;8;0;0;4;2;4;4;2;0;0;2;4;4;4;6;6;2;0;2;2;4;6;4;4;2;0;4;0;4;2;2;8;4;0;4;2;2;0;2;2;4;0;8;0
great;0;0;0;0;0;0;16;14;10;2;10;10;8;2;2;2;8;6;0;10;4;14;8;6;2;10;6;6;2;0;0;4;22;2;16;0;0;2;2;2;0;6;6;2;4;4;2;0;4;0;4;2;2;2;0;0;6;6;2;4;0;0;2;0;6;0;2;2;0;2;2;10;0;2;4;2;2;0;2;2;2;2;4;0;6;2;2;2;6;4;2;0;0;2;2;4;0;2;2;2
new;0;0;0;0;0;0;0;6;4;4;8;12;4;6;6;2;4;10;2;4;4;8;4;56;4;2;10;4;2;4;16;8;8;4;6;2;2;4;4;4;4;2;2;0;6;0;2;0;4;4;2;4;4;6;4;2;4;4;0;2;4;8;4;2;4;0;2;0;0;0;0;4;2;2;0;4;0;0;0;2;0;0;2;0;2;2;2;2;2;2;2;6;18;2;2;2;6;0;2;0
american;0;0;0;0;0;0;0;0;4;4;4;0;10;6;4;4;4;4;4;4;8;4;2;2;2;0;4;0;6;2;2;0;4;6;2;4;14;0;2;2;2;4;2;2;0;0;2;0;6;2;4;0;4;4;2;2;2;0;2;4;0;2;2;2;0;0;2;0;2;2;0;0;0;0;0;8;4;0;0;2;0;2;2;0;2;0;2;2;2;0;0;4;0;0;0;0;2;2;2;0
working;0;0;0;0;0;0;0;0;0;2;0;4;2;10;4;6;0;6;2;10;0;2;2;0;2;6;2;4;2;0;0;2;2;0;2;4;0;0;6;2;0;20;6;0;0;6;0;0;2;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;2;2;2;4;2;0;0;2;4;2;0;0;6;0;2;0;2;0;2;4;0;0;0;0;2;4;4;0;4;2;0;0
house;0;0;0;0;0;0;0;0;0;0;0;2;4;8;46;6;2;0;2;8;4;2;0;4;2;6;0;14;4;0;2;0;0;0;2;0;0;2;6;0;0;0;0;6;0;0;4;10;2;0;2;2;0;0;0;2;2;0;0;0;0;4;0;2;2;2;0;0;2;2;0;2;2;4;2;2;2;0;0;2;2;0;2;0;0;0;2;2;0;0;0;4;2;0;6;4;2;0;0;4
