;nevada;thank;state;nevadans;health;help;covid19;nv;work;continue;public;great;phase;support;#covid19;businesses;reopening;social;nevadas;face;local;community;new;may;safe;medical;working;response;together;testing;emergency;distancing;protect;stay;take;plan;care;home;2;states;1;week;people;services;please;pandemic;service;ty;proud;forward;good;federal;#stayhomefornevada;hard;provide;staff;helping;guidance;office;vegas;call;press;claims;lives;leaders;communities;students;#maskupnv;morning;directive;information;honor;business;system;data;families;spread;unemployment;board;tune;still;year;family;next;safety;critical;able;important;gaming;reopen;part;covering;ensure;positive;across;conference;efforts;online;thanks;director
nevada;0;128;142;92;70;56;80;14;54;32;56;52;24;20;50;32;38;20;16;28;36;26;24;26;30;22;28;46;24;32;12;20;26;18;26;44;18;38;22;44;14;30;16;8;26;24;20;10;42;22;30;30;22;30;14;10;30;10;20;20;10;20;10;16;18;20;14;2;26;8;14;18;20;4;22;16;12;8;24;24;16;8;8;14;10;20;18;14;20;16;20;12;18;10;16;20;24;22;14;22
thank;0;0;64;88;28;58;22;22;64;18;16;36;8;72;32;10;18;16;24;18;18;26;8;8;28;12;24;4;26;18;6;16;22;8;4;8;16;24;2;10;10;16;10;0;22;34;54;0;12;18;12;10;30;46;14;16;50;12;14;16;16;8;2;8;12;22;24;70;18;2;8;14;6;8;2;16;4;4;12;6;8;14;8;6;6;18;6;22;4;2;18;6;4;4;12;6;6;12;4;12
state;0;0;0;88;76;36;46;46;50;40;68;52;20;28;28;16;24;12;24;10;44;16;30;24;22;20;28;38;28;24;48;8;26;10;18;14;10;12;16;20;16;20;8;14;8;24;20;10;38;16;14;24;22;26;18;18;2;22;12;8;10;4;6;6;20;16;6;2;14;12;16;16;14;10;6;12;6;8;20;8;10;10;12;12;26;14;8;14;10;12;16;6;6;0;38;4;20;8;6;16
nevadans;0;0;0;0;76;46;50;14;60;46;32;34;30;14;30;16;36;20;20;28;20;16;26;14;44;24;22;22;30;14;24;20;42;34;28;26;24;36;16;22;18;22;12;12;26;14;6;12;24;18;22;16;16;26;30;10;14;8;4;10;14;22;22;8;10;12;10;2;6;16;28;4;10;10;8;4;20;28;8;8;14;6;8;12;28;14;12;14;10;12;10;10;10;6;6;16;16;18;12;8
health;0;0;0;0;0;40;38;24;30;28;74;16;12;20;34;6;14;12;18;4;26;10;14;10;18;22;18;42;6;12;24;6;44;12;22;14;64;10;6;18;8;6;8;18;10;12;4;8;12;6;6;10;14;12;16;6;2;6;0;0;6;8;2;24;12;2;4;0;4;8;32;0;6;22;10;0;20;4;14;2;4;4;4;4;46;6;4;4;12;10;12;0;10;10;2;8;12;8;8;14
help;0;0;0;0;0;0;24;26;24;10;12;16;2;6;20;6;4;6;20;18;10;16;16;6;16;10;24;18;10;6;8;4;30;10;6;10;18;8;2;16;2;8;6;6;6;18;6;12;16;8;8;12;6;14;10;12;6;4;6;4;8;2;16;12;4;8;6;2;6;8;10;4;2;6;4;8;12;14;12;0;6;6;0;2;8;12;4;6;6;4;10;8;8;4;8;0;14;12;2;4
covid19;0;0;0;0;0;0;0;2;20;16;32;12;8;6;2;2;4;12;34;12;12;8;14;8;6;14;8;36;10;34;26;10;4;6;12;16;12;8;8;12;6;14;8;10;12;28;4;4;2;6;10;10;0;4;8;0;4;2;6;4;12;14;0;0;8;0;2;0;18;4;8;0;2;10;10;6;22;0;8;18;10;0;6;4;4;4;10;6;2;2;4;8;12;12;8;14;14;0;2;10
nv;0;0;0;0;0;0;0;0;16;28;10;16;6;22;28;14;0;12;4;2;8;6;22;8;2;8;10;16;6;10;20;8;8;4;4;0;4;6;4;12;8;4;4;2;2;6;10;22;14;10;6;12;8;4;4;4;10;8;16;2;2;0;2;4;6;12;4;0;0;2;4;6;4;4;2;2;8;4;16;0;0;14;8;10;4;8;2;2;6;2;12;2;0;4;16;0;4;2;4;6
work;0;0;0;0;0;0;0;0;0;28;12;34;6;10;16;12;8;6;10;2;22;20;6;4;10;10;8;6;20;12;2;4;12;12;8;10;10;10;4;12;8;8;6;4;0;18;8;18;12;18;10;10;2;56;2;16;20;6;10;2;16;0;4;2;14;10;10;0;8;4;8;6;4;8;4;8;0;8;4;2;10;4;2;4;6;6;2;8;6;8;2;0;8;6;12;0;8;6;4;6
continue;0;0;0;0;0;0;0;0;0;0;16;6;28;8;14;14;12;26;18;8;14;6;20;10;12;10;18;12;18;12;6;20;10;16;6;4;8;12;10;4;16;14;10;8;8;8;8;8;16;18;6;8;8;6;12;12;2;4;10;4;6;4;6;2;8;2;10;0;2;4;10;4;6;10;10;8;10;10;0;0;4;2;6;8;0;4;8;4;2;8;4;4;8;4;8;4;12;8;2;4
