;idaho;work;covid19;bonuses;public;economic;federal;rebound;return;safely;unemployment;benefits;#maskupidaho;economy;june;returning;idahoans;support;people;thank;businesses;relief;conference;enhanced;protect;citizens;future;safety;pledge;coronavirus;great;property;press;visiting;telephone;help;research;continue;join;aarp;idahos;strong;good;mt;take;justice;tax;11;advance;actions;schools;looking;host;healthcare;conservative;across;capitol;america;country;weeks;proclamation;unprecedented;provide;personnel;television;ensures;stage;new;show;million;president;george;emergency;past;trump;spread;ensure;streamed;safe;townhall;room;access;making;protocols;funds;counteract;order;challenges;taxpayer;rebounds;may;job;water;resources;care;answer;disincentivize;move;questions;run
idaho;0;6;4;8;8;6;8;6;6;4;6;2;2;4;4;2;2;6;2;2;2;4;4;0;0;2;2;2;2;4;2;4;4;0;2;4;2;6;0;2;2;2;0;4;0;2;4;4;0;4;2;4;4;0;2;4;4;0;0;2;0;0;2;2;4;2;4;0;2;2;2;2;2;2;4;2;2;4;2;2;4;2;0;0;4;2;0;0;4;4;4;0;2;4;0;2;2;4;2;4
work;0;0;2;12;0;6;10;6;12;4;6;8;2;4;0;8;4;2;4;0;4;2;0;4;0;2;0;0;0;4;2;2;0;2;0;2;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;2;0;0;2;0;0;0;4;0;2;4;0;0;2;0;0;4;0;0;2;0;4;0;0;2
covid19;0;0;0;0;0;0;2;2;0;2;2;2;2;4;2;0;2;0;2;0;0;0;0;2;4;2;0;0;2;0;0;0;0;0;2;0;0;4;2;2;2;0;0;0;2;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;2;2;0;0;0;4;2;2;2;0;0;0;4;0;0;2;0;0;0;2;0;4;2;2;0;0;4;0;0;2;0;0;0;0;2;2;0;0;2;0
bonuses;0;0;0;0;0;8;10;8;12;2;4;6;0;0;0;6;2;2;2;0;2;2;0;2;0;2;0;0;0;2;0;2;0;0;0;2;0;2;0;0;2;4;0;0;0;0;2;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;4;0;0;0;0;0;0;0;2;0;2;4;0;0;4;0;0;4;0;2;0;0;4;2;0;4
public;0;0;0;0;0;0;2;0;0;0;2;0;0;2;4;0;0;4;0;0;0;2;4;0;0;0;2;4;0;2;2;2;4;0;0;2;2;0;0;0;2;0;0;4;0;0;2;4;0;0;0;0;4;0;0;0;4;0;0;0;0;2;2;4;4;0;2;0;0;2;0;0;0;0;0;0;4;4;0;0;4;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0
economic;0;0;0;0;0;0;4;10;6;2;2;2;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;6;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;2;4;0;0;2;0;2;0;0;2;2;0;4
federal;0;0;0;0;0;0;0;4;10;2;2;4;0;0;0;6;2;2;0;0;2;4;0;2;0;2;0;2;0;4;0;4;0;0;0;0;0;4;0;0;2;2;0;0;0;0;4;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;2;2;0;2;0;2;0;2;2;0;2;0;2;0;0;0;0;0;0;2;2;0;4;4;0;0;0;0;0;4;0;0;0;0;4;2;0;0
rebound;0;0;0;0;0;0;0;0;6;2;2;2;0;2;0;4;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;6;2;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;0;2;0;4;0;0;0;0;0;0;0;0;0;0;4;2;0;4;0;0;2;0;2;0;0;2;2;0;4
return;0;0;0;0;0;0;0;0;0;2;4;6;0;0;0;6;2;2;2;0;2;2;0;2;0;2;0;0;0;2;0;2;0;0;0;2;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;4;0;0;2;0;0;4;0;0;0;0;4;0;0;2
safely;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;2;2;0;0;0;0;0
unemployment;0;0;0;0;0;0;0;0;0;0;0;6;0;2;2;0;4;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;4;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;2;2
benefits;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2
#maskupidaho;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
economy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;2;0;2;2;0;0;0;2;0;0;2;2;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;2;0;0;2;2;0;0;2;0;0;2;2;0;0;0;2;2;2;0;0;0;0;0;2;2;0;4;0;2;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0
june;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;2;2;2;0;0;4;0;0;0;4;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;4;0;2;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0
returning;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;4;0;0;0
idahoans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;2;2;2;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
relief;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
conference;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;4;0;0;0;4;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
enhanced;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
citizens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
future;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
safety;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;4;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0
pledge;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
