;trump;president;united;states;people;new;great;man;house;donald;national;world;american;government;white;media;administration;obama;federal;state;news;country;democrats;department;campaign;fbi;police;texas;working;russia;party;york;bill;court;america;history;republican;thank;security;help;times;war;big;left;best;congress;story;fake;may;good;thing;senate;military;radical;night;released;justice;announced;washington;americans;university;job;political;former;committee;says;think;j;senator;hillary;city;strong;law;use;important;health;bernie;presidential;following;economy;information;year;supreme;deal;2016;nothing;republicans;work;hard;another;week;committed;sanders;vote;trying;china;support;tuesday;investigation;love
trump;0;76;20;20;24;18;16;6;24;54;12;6;6;4;14;16;20;10;4;6;20;8;10;4;24;18;0;4;10;20;6;2;6;6;6;2;8;2;8;6;6;2;0;4;2;10;6;12;4;6;2;8;4;2;12;10;4;8;4;2;2;2;10;6;6;8;4;18;4;2;2;0;4;0;0;0;2;10;6;4;4;2;4;2;10;8;6;2;6;2;4;0;2;8;4;2;2;4;6;6
president;0;0;46;46;18;20;18;6;22;26;16;6;16;10;12;20;10;26;6;2;18;8;6;4;8;8;2;6;10;12;4;2;4;0;10;8;4;2;10;0;10;4;4;2;4;6;6;14;6;8;4;14;8;2;4;8;4;8;10;6;2;6;8;14;8;8;4;8;4;2;4;4;8;2;2;0;2;6;6;2;2;6;0;4;4;6;2;0;0;4;4;6;0;4;2;8;2;0;6;2
united;0;0;0;150;14;0;14;0;2;14;4;8;10;6;0;4;4;4;0;12;2;10;0;4;4;2;0;0;2;14;2;0;2;2;12;6;2;6;6;6;4;10;6;2;2;6;6;2;2;4;2;6;10;4;0;0;2;4;6;4;2;4;4;2;2;0;4;8;4;2;2;2;4;2;4;0;0;2;6;2;0;6;2;8;4;0;2;6;0;4;0;2;0;2;6;10;8;6;2;2
states;0;0;0;0;10;2;14;0;2;14;4;6;10;4;0;2;6;6;2;10;0;10;0;4;2;4;0;2;2;14;0;0;2;2;12;6;0;6;6;6;4;10;4;2;2;6;6;0;2;4;4;6;8;4;0;0;2;4;6;4;2;6;2;2;2;0;4;6;4;0;2;2;2;2;4;0;0;2;4;2;0;6;2;6;4;0;2;6;0;2;0;2;0;2;6;10;8;6;2;2
people;0;0;0;0;0;16;28;12;12;6;12;12;24;8;14;14;8;10;8;0;10;12;4;4;4;2;2;8;10;2;6;8;4;2;4;4;4;4;8;4;6;0;2;6;10;4;4;10;0;0;2;4;4;4;4;4;0;2;8;0;2;6;2;4;4;0;6;2;0;0;4;6;2;4;0;2;2;0;2;2;0;4;2;0;0;2;0;4;6;2;0;6;0;8;6;2;6;2;0;4
new;0;0;0;0;0;0;14;4;6;4;6;4;8;10;6;6;4;6;6;6;10;2;4;8;0;0;4;4;2;0;10;40;8;2;4;4;6;4;2;6;14;8;6;10;6;4;4;6;0;4;0;0;4;6;4;8;4;2;6;6;8;4;0;2;4;2;0;0;4;0;10;2;2;0;0;0;4;2;4;2;2;6;2;4;4;4;2;0;2;0;4;2;4;2;2;0;4;2;0;2
great;0;0;0;0;0;0;0;6;4;8;0;14;24;0;4;2;2;0;4;10;6;6;2;2;2;0;0;4;2;0;0;4;4;2;12;6;0;8;2;2;4;6;4;0;8;2;0;6;2;8;6;2;8;0;4;2;0;0;6;2;2;10;0;0;0;0;2;6;8;0;4;8;4;2;2;2;2;6;2;4;0;4;2;0;2;0;0;2;2;2;2;0;0;2;4;2;10;0;0;6
man;0;0;0;0;0;0;0;0;2;4;2;10;4;0;6;2;0;4;4;0;0;2;2;4;2;4;12;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;4;0;0;2;0;4;2;0;0;0;2;2;4;0;0;0;2;0;2;2;0;0;0;2;0;4;2;0;0;0;0;2;2;0;2;0;2;0;2;2;0;0;2;2;0
house;0;0;0;0;0;0;0;0;0;2;2;0;2;6;44;10;4;0;2;2;6;4;8;2;2;6;2;0;6;2;2;2;10;0;2;0;4;6;0;0;2;0;0;2;2;4;0;6;0;0;2;6;0;2;2;2;2;2;4;0;2;0;2;0;6;4;0;0;4;0;2;2;2;2;0;2;0;0;0;0;2;2;0;0;2;0;0;2;4;0;0;0;0;0;0;0;0;2;0;0
donald;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;4;4;4;2;4;8;8;4;6;6;0;2;0;6;10;0;4;0;0;0;6;0;0;2;6;0;0;0;0;2;0;2;0;6;4;0;2;0;4;4;4;0;4;2;0;0;4;2;0;4;2;30;2;0;2;2;0;0;0;0;2;8;6;6;4;0;0;0;8;2;2;0;0;2;2;0;2;2;0;0;0;2;6;0
