;great;trump;president;people;united;states;new;american;former;federal;may;government;media;senate;nation;police;election;campaign;party;fbi;love;department;number;state;situation;intelligence;2016;thank;york;special;los;director;highly;committee;forward;big;man;winning;take;called;statement;support;killing;china;bill;house;angeles;history;days;friday;investigating;republican;try;administration;senator;nations;chance;supposed;running;still;times;copy;latest;closely;force;seven;article;bridge;confirmed;following;announce;elite;released;role;hard;clinton;exactly;show;night;order;presidential;russia;working;men;hillary;currently;sent;america;job;phone;iv;army;win;using;london;war;americans;year;finish;donald
great;0;4;4;8;6;6;2;4;0;0;0;2;4;2;2;0;2;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;0;0;2;0;0;2;0;0;0;4;0;0;4;2;0;2;0;2;0;2;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;2;2;0;0;2;2;0;2;0;4;2;0
trump;0;0;14;2;2;2;4;2;2;0;4;0;0;0;2;0;6;4;0;0;0;0;0;0;0;4;6;2;2;0;0;2;0;4;0;0;2;4;2;2;4;0;0;0;0;6;0;0;2;0;4;0;0;2;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;4;2;0;0;0;4;2;2;0;4;0;0;2;0;2;0;0;0;0;0;0;2;0;2;6
president;0;0;0;2;6;6;0;6;2;2;4;0;2;0;2;0;8;0;0;0;0;0;0;0;0;4;6;0;0;0;0;0;0;4;0;0;2;2;0;2;2;0;2;0;2;4;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;0;0;2;6;2;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0
people;0;0;0;0;0;0;0;4;0;0;0;0;2;0;2;2;0;0;0;0;4;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;2;2;2;2;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;0;2;0;0
united;0;0;0;0;0;20;0;4;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;2;0;0;0;2;0;0
states;0;0;0;0;0;0;0;4;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;2;0;0;0;2;0;0
new;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;8;0;0;2;0;0;2;4;0;2;2;2;0;2;0;0;4;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2
american;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
former;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;2;2;2;0;2;0;4;0;2;0;2;4;0;2;2;2;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;4;0;0;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;2;0;2;0;2;0;4;2;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;2;0;2;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;2;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;0;4;0;0;0;4;0;4;0;4;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
nation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;6;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;2;0;0;0;6;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
