;#covid19;phase;counties;yellow;reopening;pennsylvanians;red;vote;continue;help;health;move;2;thank;june;people;businesses;safety;election;pennsylvania;commonwealth;may;reopen;work;pa;green;mail;primary;guidance;county;safe;food;social;assistance;restrictions;sign;register;plan;pandemic;virus;ballot;risk;wear;home;distancing;available;resources;signed;everyone;masks;together;registration;week;working;mask;public;business;place;details;contact;still;spread;lives;heres;voters;workers;proud;provide;good;update;progress;medical;stay;unemployment;pennsylvanian;communities;allow;hospitals;protect;program;take;moving;making;support;efforts;emergency;paians;prevent;farmers;possible;contagious;capacity;new;sacrifice;means;please;violence;housing;pas;friends
#covid19;0;22;30;22;16;24;16;2;14;20;16;8;4;16;2;14;12;14;0;8;6;10;14;10;14;10;0;2;14;6;6;10;12;6;18;2;0;8;10;14;0;6;6;10;8;6;10;2;6;12;4;0;2;8;4;8;4;8;6;6;10;8;6;6;2;2;4;6;6;2;8;6;8;4;8;0;4;2;6;2;4;4;8;8;4;4;8;10;4;8;10;6;2;4;6;2;0;4;8;2
phase;0;0;52;60;40;4;40;0;10;0;4;32;0;0;6;4;16;16;0;8;2;18;4;0;6;18;0;0;24;8;4;0;6;0;18;0;0;4;0;4;0;0;4;6;4;4;0;0;2;6;0;0;6;0;4;4;2;8;10;2;4;2;2;2;0;2;0;0;4;0;0;0;6;0;2;2;8;0;0;0;4;8;4;0;0;0;2;2;0;2;2;4;8;0;6;4;0;0;2;0
counties;0;0;0;54;36;6;38;0;8;2;8;32;0;0;4;2;16;10;0;10;2;20;10;0;6;12;0;0;20;2;4;2;12;2;14;0;0;6;0;6;0;4;4;10;10;4;0;0;4;8;2;0;4;4;2;6;6;6;8;0;6;4;2;2;0;2;0;0;6;0;0;2;10;0;0;2;6;0;0;0;2;10;4;0;4;0;4;4;0;2;4;0;10;0;6;2;0;0;2;0
yellow;0;0;0;0;36;4;44;0;10;2;4;30;0;0;4;4;18;16;0;6;2;20;6;0;6;16;0;0;24;4;4;2;10;0;18;0;0;4;0;4;0;0;6;6;8;4;0;0;2;8;0;0;4;0;4;4;2;10;8;2;4;4;2;2;0;2;0;0;4;0;0;0;6;0;2;2;8;0;0;0;0;10;4;0;2;0;4;4;0;2;2;2;10;0;6;4;0;0;2;0
reopening;0;0;0;0;0;4;28;0;6;2;6;24;0;2;2;4;10;16;0;10;2;10;8;0;4;12;0;0;14;6;2;2;2;2;12;0;0;12;4;2;0;4;2;8;2;2;2;0;2;4;2;0;0;2;4;6;2;6;8;2;2;0;0;2;0;0;0;0;2;0;0;0;8;0;0;0;8;0;0;0;2;0;2;0;2;0;2;2;0;0;2;0;2;0;4;2;0;0;4;0
pennsylvanians;0;0;0;0;0;0;2;0;10;4;8;4;0;16;0;6;0;2;0;2;10;0;10;2;4;2;0;0;0;2;8;2;6;0;0;2;0;4;6;10;0;4;2;2;4;4;6;0;2;2;6;0;2;4;4;0;2;0;4;4;4;2;4;0;0;2;6;0;6;0;4;2;0;0;0;0;0;0;0;0;4;2;4;2;2;0;0;2;0;6;2;2;2;2;0;0;2;0;2;6
red;0;0;0;0;0;0;0;0;4;2;4;24;0;0;2;0;12;10;0;6;2;14;2;0;2;8;0;0;16;2;4;2;4;0;10;0;0;4;0;4;0;0;6;6;2;0;0;0;2;6;0;0;2;0;4;2;0;8;6;2;2;0;0;2;0;2;0;0;2;0;0;0;6;0;2;2;6;0;0;0;0;4;4;0;0;0;4;2;0;2;2;0;2;0;4;2;0;0;2;0
vote;0;0;0;0;0;0;0;0;0;0;0;0;26;0;26;0;0;2;24;2;0;6;0;0;2;0;14;26;0;0;0;0;0;0;0;14;14;0;0;0;8;0;0;4;0;0;0;6;0;0;0;14;4;0;0;0;0;2;0;0;0;0;0;0;12;0;0;2;0;16;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
continue;0;0;0;0;0;0;0;0;0;2;6;4;0;6;0;2;6;12;0;0;6;2;2;8;0;2;0;0;4;6;2;0;14;0;4;0;0;2;0;8;0;4;8;2;12;0;0;0;6;6;2;0;2;0;8;6;0;4;0;4;4;6;2;0;0;0;2;0;6;0;0;0;0;2;2;2;2;2;2;0;10;0;0;4;2;0;2;4;0;2;2;6;4;0;2;6;0;0;0;2
help;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;12;6;2;0;4;4;0;2;0;4;2;0;0;2;2;2;4;0;6;0;0;0;4;6;0;0;2;4;4;0;6;4;2;0;4;0;0;2;0;4;2;4;2;0;4;0;4;2;2;0;2;4;4;0;0;0;2;4;0;4;0;2;2;0;4;2;0;0;4;0;2;6;2;0;2;0;0;0;0;2;0;2;2;2;0
