kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_all,freq_all
spoke,19,canada,38,covid19,93,help,62,help,52,work,41,covid19,227
canadians,18,canadians,30,help,62,covid19,50,covid19,50,covid19,33,help,226
call,18,across,29,home,45,support,42,support,39,country,31,canada,199
new,17,work,28,canada,43,canada,42,country,36,people,31,support,161
canada,16,country,27,safe,42,safe,31,canada,30,canada,30,country,160
help,15,people,23,support,42,country,30,together,29,help,28,work,155
work,13,spoke,22,canadians,32,together,29,across,29,business,26,people,145
people,13,meeting,15,health,32,working,28,working,25,safe,22,together,134
together,13,new,13,people,31,workers,28,work,23,support,22,canadians,131
iran,12,together,13,country,30,people,27,spoke,23,spoke,21,across,130
investigation,11,canadian,12,together,29,emergency,25,business,22,update,21,safe,129
working,10,climate,12,working,28,work,23,safe,22,together,21,spoke,124
ottawa,10,service,12,across,28,business,22,canadians,21,subsidy,20,working,120
earlier,9,blockades,12,work,27,across,21,food,20,wage,19,new,103
world,9,working,11,spread,25,new,21,new,20,call,19,business,94
family,9,morning,11,stay,23,watch,20,people,20,pandemic,18,call,82
life,8,opportunities,11,spoke,22,canadians,20,pandemic,19,working,18,workers,76
nafta,8,thanks,10,business,21,update,19,update,19,economy,18,update,76
across,8,women,10,details,20,live,19,world,18,morning,16,home,76
national,8,focused,10,family,19,click,18,thank,16,restart,15,details,75
conversation,8,change,10,taking,19,spoke,17,details,15,across,15,live,71
morning,8,economic,10,response,18,giving,17,making,15,new,15,watch,70
talk,8,call,10,impacts,18,health,17,countries,15,emergency,14,health,70
year,8,rail,9,workers,18,details,17,live,14,making,14,businesses,66
safe,7,group,9,care,17,businesses,17,workers,14,world,13,emergency,66
president,7,support,9,virus,17,taking,16,watch,14,watch,13,world,65
climate,7,supporting,9,businesses,17,stay,16,emergency,14,countries,12,taking,61
meeting,7,trade,9,watch,17,care,15,taking,13,businesses,12,making,58
forward,7,future,9,new,17,pandemic,15,businesses,12,live,12,family,58
friends,7,create,8,protect,16,thanks,15,health,12,click,11,thank,56
support,7,talk,8,continue,16,month,14,tune,12,talked,11,everyone,56
details,7,leaders,8,live,16,response,14,steps,12,fight,11,stay,54
afternoon,7,earlier,8,measures,16,year,14,family,11,giving,11,pandemic,53
change,7,building,8,canadian,15,thank,14,global,11,reopen,11,response,52
everyone,7,world,8,economy,15,benefit,13,call,11,workers,11,thanks,51
families,7,premier,8,call,15,announcing,13,jobs,11,canadians,10,morning,50
loved,6,everyone,8,benefit,14,ones,12,seniors,11,safely,10,giving,49
celebrating,6,home,8,situation,13,tune,12,talked,10,everyone,9,economy,48
situation,6,president,8,helping,13,front,12,provinces,10,president,9,click,47
victims,6,resolution,8,thank,13,everyone,12,prime_minister,10,employees,9,talked,47
thorough,6,good,7,world,13,family,11,giving,10,details,9,countries,46
hope,6,security,7,everyone,13,apply,11,keeping,10,rehire,8,canadian,45
tragic,6,poverty,7,making,13,loved,11,able,10,celebrate,8,continue,45
flight,6,countries,7,communities,12,line,11,fight,9,health,8,protect,44
congratulations,6,ethiopia,7,emergency,12,difficult,11,difficult,9,steps,8,focused,44
talked,6,help,7,friends,11,million,10,owners,9,million,8,fight,44
continue,6,lifted,7,food,11,food,10,info,9,used,8,benefit,43
focused,6,friends,7,outbreak,11,able,10,#canadahomeworkhelp,9,community,8,tune,43
phone,6,peaceful,7,tune,11,steps,10,click,9,indigenous,8,food,42
condolences,6,response,7,announced,11,subsidy,9,territories,9,happy,8,subsidy,41
thoughts,6,details,7,international,11,call,9,announcing,9,provinces,8,steps,41
growing,6,incident,7,abroad,11,wage,9,protect,9,focused,8,care,41
country,6,continue,7,thanks,11,organizations,9,apply,9,vulnerable,8,wage,41
tragedy,6,thoughts,6,strong,10,cant,9,home,9,quebec,8,year,40
full,6,restore,6,important,10,equipment,9,economic,8,territories,8,communities,39
crash,6,prime_minister,6,hard,10,times,9,virus,8,latest,8,friends,39
plane,5,discussed,6,speaking,10,thoughts,9,wage,8,keeping,8,impacts,38
answers,5,address,6,focused,10,tough,9,benefit,8,impacts,8,important,37
lost,5,million,6,travel,10,possible,9,morning,8,apply,8,measures,36
next,5,ongoing,6,coming,10,week,9,phone,8,important,8,earlier,36
jobs,5,2015,6,slow,10,investing,9,focused,8,taking,8,helping,36
update,5,strong,6,update,10,home,9,crisis,8,global,8,situation,36
fight,5,build,6,impact,9,weekend,8,government,7,tune,7,president,36
affordable,5,week,6,rideau,9,community,8,lives,7,equipment,7,spread,35
making,5,housing,6,global,9,fight,8,times,7,take,7,families,35
great,5,next,6,difficult,9,protect,8,helping,7,build,7,virus,34
live,5,families,6,cottage,9,info,8,week,7,protect,7,keeping,34
developments,5,businesses,5,steps,9,measures,8,think,7,personal,7,apply,34
community,5,thank,5,celebrate,9,jobs,8,international,7,supporting,7,announcing,34
