kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD,kw_q1,freq_q1,kw_q2,freq_q2,kw_q2YTD,freq_q2YTD
national,2,wishing,1,recovery,4,safety,3,childcare,2,insurance,3,interisland,11,local,5,help,7,interisland,11
land,2,#solar,1,social,4,relations,3,video,2,requirement,3,essential,11,10,5,14day,7,essential,11
goals,2,general,1,extreme,4,days,3,marine,2,@dothawaii,3,form,11,plans,5,scott,7,form,11
gas,2,lowincome,1,emergency,4,residents,3,questions,2,saiki,3,supplementary,11,decade,5,cases,7,supplementary,11
build,2,share,1,efforts,4,sign,2,8th,2,covering,3,county,10,director,5,process,7,county,10
#hi4publiced,2,follow,1,crisis,4,details,2,public,2,info,3,flown,10,screening,5,ask,7,flown,10
ultimate,2,hos,1,effective,4,protect,2,support,2,safely,3,via,10,latest,5,services,7,via,10
patients,2,extensive,1,live,4,deepest,2,lt,2,pretravel,3,president,10,edition,5,program,6,president,10
benefit,2,session,1,info,4,university,2,safely,2,@staradvertiser,3,governor,10,full,5,across,6,governor,10
lives,2,provide,1,difficult,4,lt,2,ensure,2,free,3,needs,10,climate,5,1,6,needs,10
economy,2,higher,1,quicker,4,owners,2,across,2,@ltgovjoshgreen,3,unemployment,10,joint,5,#live,6,unemployment,10
collaboration,2,witnesses,1,best,3,plan,2,mediumrisk,2,joining,3,facebook,10,tim,5,family,6,facebook,10
help,2,winter,1,virus,3,dawn,2,division,2,unemployment,3,update,10,flown,5,facebook,6,update,10
ordered,2,housing,1,pio,3,gov,2,safety,2,scott,3,operations,10,via,5,benefits,6,operations,10
efforts,2,agencies,1,edition,3,@staradvertiser,2,home,2,face,3,contact,10,officer,5,safe,6,contact,10
private,2,visitors,1,effect,3,due,2,johns,2,supplementary,3,plan,10,available,5,resiliency,6,plan,10
leaders,2,organizations,1,aggressive,3,lost,2,practices,2,kirk,3,latest,10,change,5,approved,6,latest,10
shall,2,yields,1,tsunami,3,island,2,joining,2,conference,3,meet,10,best,5,efforts,6,meet,10
historic,2,restrictions,1,following,3,1015am,2,ige,2,transpacific,3,protect,10,governors,5,protect,6,protect,10
entertainment,2,marketplace,1,jade,3,kouchi,2,applications,2,wear,3,starting,10,guidance,5,david,6,starting,10
conference,2,novel,1,airports,3,food,2,friends,2,county,3,stay,10,honolulu,5,work,6,stay,10
propose,2,changes,1,action,3,response,2,continue,2,issues,3,taking,9,sakahara,5,islands,6,taking,9
@hihousedems,2,#energyefficiency,1,#capitolconnection,3,@ryankaleitsuji,2,certification,2,loved,2,sakahara,9,release,5,joining,6,sakahara,9
goal,2,hdoappc@hawaiigov,1,industry,3,calling,2,respect,2,guest,2,tomorrow,9,issued,5,healthcare,5,tomorrow,9
residents,2,37,1,states,3,thank,2,data,2,ninth,2,visitors,9,emergency,5,resources,5,visitors,9
end,2,viruses,1,latest,3,condolences,2,june,2,diseases,2,ask,9,w,5,flown,5,ask,9
21,2,importance,1,signed,3,services,2,distancing,2,aloha,2,process,9,#capitolconnection,5,announcing,5,process,9
