;ca;cases;tune;new;home;physical;#covid19;positive;hospitals;continue;confirmed;take;stay;update;workers;flattening;health;curve;help;public;thank;#stayhomesavelives;distancing#stayhomesavelives;icu;science;practice;seriously;staying;reopening;impact;care;californians;guided;homepractice;healthy;working;healthcare;lives;meet;distancing;million;important;work;seriouslystay;states;frontlines;ability;people;rooms;live;12pm;school;practicing;risk;moment;across;power;repeat;icuwe;thing;meals;testing;safe;weeks;economy;allow;listen;patients;seriously#stayhomesavelives;drive;folks;stage;thoughtful;stores;communities;hours;provide;essential;data;disease;give;cant;different;equipment;times;tested;state;days;actions;4;icuthis;grocery;spirit;reopen;may;instagram;united;anyone;measures;protect
ca;0;46;0;50;28;30;8;40;42;38;44;34;20;0;10;20;14;18;6;10;8;12;20;22;12;14;14;6;4;12;4;8;8;12;10;10;8;12;2;8;6;4;4;12;8;6;0;4;4;0;0;2;4;0;2;6;4;0;8;2;4;2;0;6;2;4;0;8;8;4;0;0;4;2;2;4;6;2;6;8;0;2;2;4;2;6;4;2;6;2;6;0;0;2;4;0;4;6;0;2
cases;0;0;0;44;16;22;2;40;40;28;44;34;14;0;0;14;4;12;0;2;0;10;20;22;6;10;14;2;0;12;2;0;0;12;0;2;2;6;0;2;0;0;0;12;0;0;0;2;0;0;0;0;0;0;0;2;0;0;8;0;0;0;0;0;0;0;0;8;8;4;0;0;0;0;0;2;0;0;6;6;0;0;0;0;0;6;2;0;6;0;6;0;0;0;0;0;0;6;0;0
tune;0;0;0;0;2;0;36;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0
new;0;0;0;0;16;22;4;40;42;28;44;34;14;0;2;14;6;12;8;2;2;10;20;22;4;10;14;2;0;12;6;4;0;12;0;2;2;6;2;2;2;0;8;12;0;0;0;2;2;0;0;0;0;0;0;2;0;0;8;0;2;0;2;0;0;2;0;8;8;4;0;0;2;0;0;4;4;2;4;6;0;0;0;0;0;6;2;4;6;0;6;0;0;0;0;0;0;6;0;0
home;0;0;0;0;0;30;0;16;16;20;16;16;30;0;4;16;8;14;2;8;2;10;10;10;12;20;14;14;8;6;0;0;8;0;4;6;2;8;2;12;0;4;2;0;2;2;0;2;2;2;0;0;8;0;4;0;4;4;2;6;0;2;2;0;0;6;2;6;2;2;4;2;0;0;0;2;2;4;2;4;0;4;0;0;0;4;0;0;2;0;4;0;0;0;0;2;0;4;2;0
physical;0;0;0;0;0;0;2;22;22;28;22;20;22;0;2;20;8;20;0;4;2;4;22;14;8;20;10;10;6;4;2;0;4;14;0;2;0;8;2;12;0;6;0;12;0;2;2;2;0;0;0;2;8;0;2;0;4;4;8;8;0;0;0;0;0;6;0;2;0;2;2;0;0;0;0;0;0;2;2;0;0;4;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0
#covid19;0;0;0;0;0;0;0;0;2;0;0;0;0;36;2;2;6;2;0;2;0;0;0;0;4;0;0;0;2;2;2;0;2;0;0;6;0;0;2;0;0;2;6;0;0;0;0;0;0;0;10;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
positive;0;0;0;0;0;0;0;0;42;24;40;30;14;0;0;10;6;8;0;2;0;8;20;22;4;10;12;2;0;10;2;0;0;12;0;0;2;6;0;2;0;0;0;12;0;0;2;4;0;0;0;0;0;0;0;2;0;0;8;0;0;2;0;0;0;0;0;8;6;4;0;0;0;0;2;2;0;0;4;6;0;0;0;0;0;6;2;0;4;0;6;0;0;0;0;0;0;6;0;2
hospitals;0;0;0;0;0;0;0;0;0;24;40;30;14;0;2;10;8;8;0;2;4;8;20;22;4;10;12;2;0;10;4;0;0;12;0;0;2;6;0;2;0;0;2;12;0;0;2;6;0;0;0;0;0;0;2;2;0;0;8;0;0;2;2;0;0;0;0;8;6;4;0;0;2;4;2;2;0;0;4;6;0;0;0;2;0;6;2;0;4;0;6;2;0;0;0;0;0;6;0;2
continue;0;0;0;0;0;0;0;0;0;0;28;28;16;0;0;20;4;18;0;6;0;6;20;16;6;14;10;4;4;2;0;2;6;12;4;2;0;2;0;6;0;0;0;12;4;0;0;2;2;0;0;0;2;0;0;0;2;2;8;0;0;0;0;0;0;4;0;2;6;0;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2
