;great;people;united;states;president;new;trump;american;news;law;country;trade;department;obama;number;republican;state;full;series;government;arrested;party;committee;thank;military;proud;job;clinton;part;citizens;canada;good;nfl;hillary;support;care;history;announce;thing;presidential;largest;man;list;vice;race;deals;win;criminal;national;think;power;sunday;set;11th;impeachment;complete;days;career;shows;house;federal;members;released;work;nothing;britain;2;hard;terrorism;moving;york;best;quality;program;americans;islamic;media;used;families;left;senate;however;election;john;fake;big;please;security;donald;told;bankruptcy;case;working;show;administration;could;tennessee;team;name;failed
great;0;4;4;4;2;2;8;2;6;2;2;2;0;0;0;0;4;0;0;0;0;2;0;2;0;2;4;2;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;0;2;2;0;0;0;4;0;0;0;0;0;4;0;0;2;0;2;0;0;0;4;2;2;2;0;0;0;0;0;0;0;0;4;0;0;0;2;2;0;2;4;0;0;0;2;0;0;0;2;2;0;0;0;2;2;0
people;0;0;4;2;2;4;2;6;6;2;0;2;4;4;4;0;2;0;0;6;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;2;0;4;0;2;2;0;0;2;0;2;0;0;2;2;4;0;2;2;2;0;0;2;0;0;0;0;0;2;0;2;2;2;2;0;0;0;0;0;2;0;0;0;4;4;0;2;2;0;2;2;0;0;0;2
united;0;0;0;24;8;0;6;2;4;6;6;4;0;4;2;0;0;2;0;8;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;4;2;0;0;0;2;0;0;0;0;2;2;0;2;0;0;2;2;0;4;2;0;0;0;4;0;0;0;0;2;2;0;2;2;0;4;0;2;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0
states;0;0;0;0;6;0;4;2;2;6;6;4;0;2;0;0;0;2;0;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;4;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;2;2;0;0;2;0;4;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0
president;0;0;0;0;0;2;8;2;0;4;4;2;0;2;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;6;2;2;2;0;2;0;2;0;2;0;2;0;2;2;0;0;0;0;0;0;2;2;2;0;2;4;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
new;0;0;0;0;0;0;2;2;2;2;2;0;0;0;2;0;4;0;0;0;2;0;0;2;2;0;2;0;0;2;0;0;2;0;0;2;4;0;0;0;0;0;2;2;2;0;2;0;0;2;0;4;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
trump;0;0;0;0;0;0;0;0;2;2;2;2;0;0;4;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;4;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;4;0;2;4;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0
american;0;0;0;0;0;0;0;0;4;2;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;4;0;2;0;0;2;0;0;0;0;2
news;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;6;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0
law;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;4;2;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
trade;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
department;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;2;0;0;2;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;0
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0
number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;2;0;0;2;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0
full;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
series;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0
arrested;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0
committee;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0
