;ri;state;rhode;tonight;lets;year;system;school;prek;providence;#risots;new;ris;education;schools;working;work;job;justice;@realjobsri;students;islanders;build;100;increase;care;housing;address;help;businesses;training;energy;country;community;giving;kids;public;change;excited;children;child;leader;thanks;ensure;investing;harrison;classrooms;best;live;dedicated;past;across;action;conversation;promise;tv;thank;bond;island;teachers;economy;begun;violence;gun;proposing;proud;criminal;reforms;future;families;america;economic;together;renewable;goal;end;ive;superintendent;approach;without;equality;taking;programs;climate;meet;affordable;fafsa;crisis;people;propose;additional;leaders;everyone;means;committed;clean;powered;demands;take;roads
ri;0;2;0;2;2;4;0;4;4;2;0;0;2;0;0;0;2;0;0;0;2;0;4;2;4;4;2;0;4;2;0;2;0;4;4;4;4;2;2;2;2;4;0;0;2;0;2;2;2;4;2;0;2;0;2;0;2;4;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;4;2;2;2;0;0;2;0;4;2;2;0;0;2;2;0;2;0;0;2;0;2;2;2;0;2;0
state;0;0;8;4;2;2;2;0;0;2;6;0;4;2;2;2;4;0;0;0;2;6;0;4;0;2;0;6;0;0;0;2;2;0;4;2;0;2;0;0;2;2;2;0;0;0;0;2;4;0;0;4;4;4;0;4;0;0;2;2;0;2;0;0;0;0;0;0;2;2;6;0;0;4;0;4;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;4;0;2;0
rhode;0;0;0;2;2;4;0;0;0;0;2;2;4;2;0;2;0;2;0;0;0;10;0;2;0;2;0;4;0;0;2;2;2;0;0;0;0;2;2;0;0;0;0;2;2;0;0;2;0;0;0;2;0;2;0;2;0;0;6;0;0;0;2;2;0;0;0;0;0;2;4;2;0;2;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0
tonight;0;0;0;0;2;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;4;0;2;0;2;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;2;4;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;2;0;0;2;0;0;0;0
lets;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
year;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;2;0;0;0;0;4;2;0;2;2;2;0;2;0;0;0;4;2;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;2;0;0;0;0;0
system;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;4;0;4;0;4;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;2;0;0;2;0;4;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0
school;0;0;0;0;0;0;0;0;4;2;2;6;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;2;0;4;0;4;2;0;0;2;0;0;2;2;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0
prek;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;2;2;6;0;2;2;2;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
providence;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;4;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;4;2;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
#risots;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;2;0;0;0;0;0;6;0;0;2;0;0;0;4;0;2;0;0;2;0;0;2;0;0;0;2;0;4;0;0;0;0;4;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;4;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
ris;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;2;0;2;2;0;0;0;0;0;2;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
education;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;2;0;0;0;2;0
schools;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;0;0;4;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0
