;virginia;#covid19;virginians;health;commonwealth;public;#sotc;state;people;help;virginias;work;working;care;emergency;learn;important;watch;live;new;continue;support;response;visit;lets;spread;across;morning;together;updates;local;protect;businesses;safe;tune;additional;thank;year;safety;efforts;ensure;information;general;access;federal;economy;proud;update;making;assembly;gun;system;violence;medical;take;community;justice;laws;cases;priority;ive;home;lives;pass;latest;statewide;students;rights;taking;expand;steps;plans;critical;session;economic;government;women;great;measures;coronavirus;leaders;historic;budget;share;crisis;full;outbreak;voting;ongoing;positive;past;briefing;school;vote;place;30;grateful;order;families;communities
virginia;0;58;18;12;34;12;18;24;10;10;2;12;16;8;16;16;10;18;14;12;6;14;10;18;8;6;16;4;10;10;2;10;6;12;10;10;2;10;6;6;6;14;8;6;4;8;8;12;6;8;6;8;2;6;2;6;6;6;12;4;4;2;8;2;6;4;6;6;4;4;4;10;2;2;8;4;2;10;6;6;4;4;6;8;6;2;4;6;2;6;4;6;2;12;0;6;6;0;4;8
#covid19;0;0;42;28;20;18;0;12;18;14;10;4;22;12;14;8;8;20;18;4;10;14;20;12;0;20;8;12;14;20;8;12;6;12;16;14;4;0;4;18;6;10;2;4;6;0;0;10;4;2;0;0;0;8;2;4;2;0;16;12;4;2;4;2;14;6;0;0;8;0;4;6;10;0;4;4;0;0;4;12;0;0;2;4;4;2;14;0;14;14;0;12;2;2;4;4;2;2;4;4
virginians;0;0;0;26;22;16;4;8;20;12;2;2;10;6;4;12;4;2;2;0;18;4;6;2;8;12;6;4;4;4;6;10;2;12;0;6;6;2;8;6;2;2;2;10;4;2;2;4;6;2;4;0;6;4;6;2;2;2;4;10;2;4;2;6;4;6;0;0;2;4;4;6;6;2;4;2;0;0;4;6;0;2;0;0;4;6;8;4;6;8;2;2;0;2;4;0;2;4;4;2
health;0;0;0;0;2;36;8;8;10;10;2;4;12;14;8;6;6;0;2;6;12;6;2;2;0;2;0;2;4;2;8;10;6;6;2;4;8;2;4;4;0;0;0;10;6;4;0;6;0;0;0;0;0;6;6;6;0;4;2;8;2;6;2;2;2;6;0;2;6;2;2;4;0;0;4;4;0;2;0;4;0;0;4;2;12;2;2;0;4;4;2;0;2;0;2;2;2;2;0;4
commonwealth;0;0;0;0;0;2;8;16;12;2;2;10;10;2;2;4;14;2;4;4;6;4;2;4;4;6;14;8;2;2;6;4;4;6;2;4;0;6;2;0;0;6;8;0;2;0;12;8;4;8;2;2;0;2;4;0;0;2;2;2;2;2;4;0;2;2;2;2;4;2;2;8;0;6;2;6;2;4;2;4;6;6;0;6;0;2;2;0;0;4;10;2;2;8;2;0;0;0;2;4
public;0;0;0;0;0;0;8;12;14;10;8;6;4;2;8;0;8;2;0;2;4;8;2;2;0;6;0;0;4;0;4;8;4;8;0;2;6;0;0;2;0;2;0;4;6;4;0;2;2;0;0;0;2;4;4;0;2;0;0;2;2;2;4;2;0;6;6;2;6;0;4;2;2;0;4;2;0;4;2;4;0;0;0;0;12;2;0;0;2;2;0;0;2;0;0;2;2;2;0;6
#sotc;0;0;0;0;0;0;0;6;18;4;6;4;2;6;0;0;2;0;8;6;0;0;0;0;6;0;0;0;4;0;0;0;0;4;0;0;0;6;0;0;0;0;4;4;0;6;4;2;4;4;2;2;2;0;4;8;2;6;0;2;6;6;4;8;0;0;2;0;0;0;2;2;2;4;4;4;0;4;0;0;0;2;8;2;0;0;0;2;0;0;2;0;2;2;6;0;2;0;0;2
state;0;0;0;0;0;0;0;0;6;2;4;4;4;2;12;6;8;2;0;2;2;0;6;4;2;4;6;2;0;2;6;2;2;0;0;2;0;6;0;2;0;4;4;2;2;2;6;6;0;4;0;0;2;0;4;0;2;2;0;2;4;0;0;4;2;0;2;2;0;2;4;4;0;0;2;10;0;0;2;4;0;2;0;6;0;2;0;4;2;0;6;0;2;0;2;4;0;0;0;2
people;0;0;0;0;0;0;0;0;0;8;4;6;4;4;2;0;4;0;4;2;2;2;2;0;4;8;6;4;4;2;2;4;4;2;0;8;2;2;0;2;0;0;0;0;2;2;4;2;2;0;2;2;2;4;4;2;2;0;2;6;0;2;2;2;0;6;0;0;4;0;4;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;2;8;2;2;0;0;6;4;2;0;0;2
help;0;0;0;0;0;0;0;0;0;0;6;2;4;4;2;2;0;2;0;0;2;6;2;2;0;4;6;0;2;0;0;4;2;2;0;2;4;0;4;2;4;2;0;4;4;0;4;0;0;0;2;2;0;2;2;2;4;0;0;0;0;0;2;0;0;6;0;0;2;0;0;0;4;0;2;2;0;0;0;0;0;2;0;0;2;6;2;0;2;2;2;0;0;0;0;0;4;4;2;0
