;covid19;update;live;hutchinson;provide;governor;provides;may;130pm;news;conference;watch;arkansas;holding;health;work;great;response;arkansans;continue;media;announced;thank;covid;national;week;service;businesses;state;camps;guidelines;everyone;thankful;yesterday;lives;social;country;little;business;month;@adhpio;people;hard;local;dr;testing;industry;safety;ready;states;help;good;thanks;employees;phase;ar;effective;armed;night;honor;safe;sacrifice;care;workers;school;el;13;danville;grant;sunday;working;department;honored;guidance;next;meet;forces;world;capacity;able;jonesboro;goal;rock;ensure;leaders;support;god;morning;across;22;60000;dorado;leadership;community;distancing;law;protect;resume;case;tests
covid19;0;78;40;40;36;40;40;2;36;36;36;36;4;36;8;6;4;16;0;2;12;6;2;0;0;0;6;2;0;0;2;2;8;4;0;2;0;2;0;2;0;0;0;2;6;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;6;2;0;0;0;0;0;0;0;4;2;2;0;2;0;0;2;0;0;2;4;2;0;2;0;0;0;0;2
update;0;0;40;40;36;40;40;2;38;36;36;36;2;36;0;4;0;16;0;0;14;2;0;4;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;4;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;2;0;0;2;2;4;0;0;0;4;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0
live;0;0;0;42;0;42;40;0;0;0;0;0;2;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
hutchinson;0;0;0;0;0;42;40;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
provide;0;0;0;0;0;0;0;2;36;36;36;36;4;36;2;2;2;12;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;2;0;2;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;2;2;0;0;0;0;2;2;0;0
governor;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
provides;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
may;0;0;0;0;0;0;0;0;2;2;0;0;6;0;4;0;2;0;0;6;0;8;2;4;2;4;2;2;0;4;6;2;0;2;4;4;4;0;4;4;6;2;0;2;0;4;6;2;6;6;2;2;0;2;6;0;4;4;0;4;2;4;2;2;2;0;2;0;4;0;2;0;2;0;6;2;4;0;6;2;0;4;0;2;0;0;4;2;0;4;4;0;0;0;4;0;0;4;0;2
130pm;0;0;0;0;0;0;0;0;0;36;36;36;0;36;0;0;0;12;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0
news;0;0;0;0;0;0;0;0;0;0;36;36;0;36;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0
