;states;president;people;united;new;trump;democrats;federal;american;police;national;2016;man;news;former;official;thank;fire;house;state;article;young;university;presidential;help;security;arrested;republican;campaign;senator;best;tax;usa;night;party;win;record;economy;wake;nothing;government;left;white;debate;name;report;military;army;great;video;sunday;reserve;another;example;group;york;charges;executive;election;street;golf;called;looks;republicans;sanders;days;bill;series;history;orlando;taking;across;john;wall;court;important;weeks;site;movie;enough;protest;expand;fbi;dangerous;huge;ruling;game;big;women;used;home;latest;department;morning;congress;crime;investigation;place;fact;budget
states;0;2;2;20;2;0;0;2;0;2;0;2;0;4;0;2;2;0;4;2;2;0;0;0;6;0;0;0;0;0;0;0;0;4;2;0;0;2;0;4;0;0;4;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2;0;2;2;2;0;0;2;2;0;0;0;0;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0
president;0;0;0;2;4;12;4;2;4;0;4;0;2;4;4;4;2;0;2;0;0;0;2;0;0;4;2;0;0;2;2;2;0;0;0;0;2;4;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0
people;0;0;0;2;4;0;0;2;6;0;0;2;0;2;2;0;4;0;0;2;4;2;2;2;0;2;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;4;0;2;0;2;0;0;2;2;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0
united;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;2;0;4;2;2;0;0;0;4;0;0;0;0;0;0;0;0;4;2;0;0;2;0;4;0;0;4;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2;0;2;0;2;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0
new;0;0;0;0;0;4;0;2;4;0;2;4;0;4;0;4;0;0;2;0;2;0;0;2;4;0;0;2;4;0;2;2;0;2;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2;0;6;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;4;0
trump;0;0;0;0;0;0;0;0;2;2;4;0;0;4;2;4;0;0;2;0;0;0;0;0;0;4;2;2;2;2;2;2;0;0;0;0;2;2;0;0;0;0;2;0;0;4;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0
democrats;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;4;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;2;2;2;2;0;4;0;0;2;0;2;0;0;2;2;2;0;4;2;2;0;0;0;0;0;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;2;2;0;0;0;2;2;0
american;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;0;0;0;4;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;2;0;2;0;2;0;0;0;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;4;0;0;0;0
police;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;0;4;0;4;0;2;0;0;0;0;4;2;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;0;0;0;0;0
