;state;south;carolina;covid19;employees;carolinians;order;public;2;home;business;schools;@scdhec;students;executive;states;coronavirus;1;shall;law;continue;response;emergency;department;help;virus;allow;22;work;follow;remain;essential;directed;closed;new;information;12;lives;regulations;nonessential;working;3;local;necessary;spread;prevent;families;thank;school;sources;official;enforcement;agencies;ordered;immediately;workforce;leave;government;health;beaches;neighbors;clarification;suspended;additional;services;please;#teamsc;businesses;recommendations;stay;4;family;waive;healthcare;close;responsibly;june;crowds;protect;1st;call;cases;service;parents;making;situation;morning;remember;33;safety;take;save;doctor;plan;tax;prohibited;needs;tonight;ability;suspend
state;0;14;12;12;10;2;4;4;4;4;2;2;2;0;4;4;4;2;6;6;2;4;10;4;6;4;2;2;2;2;6;4;6;2;4;0;2;4;2;4;2;2;4;2;6;6;2;2;0;0;0;6;8;4;4;2;6;8;0;2;4;2;4;0;6;2;0;2;0;2;2;4;2;2;2;0;4;2;2;2;0;0;2;0;0;2;2;2;2;0;2;4;0;4;2;4;4;0;0;4
south;0;0;28;14;2;20;0;6;2;6;4;8;6;4;0;2;8;6;2;2;8;6;6;4;4;2;0;2;2;4;6;4;4;8;2;8;10;4;0;2;2;0;2;2;2;2;6;2;4;6;6;2;0;2;2;0;4;0;4;2;4;4;0;0;4;4;4;2;4;2;2;4;0;4;0;2;0;2;4;0;2;4;0;2;2;4;2;2;4;2;2;2;2;2;0;0;2;2;0;2
carolina;0;0;0;10;2;0;0;4;2;0;4;4;2;2;0;2;4;6;2;2;2;6;6;4;2;2;0;0;0;0;0;4;4;4;2;2;6;2;0;2;0;0;2;0;2;2;2;2;2;0;0;2;0;2;2;0;2;0;0;2;2;4;0;0;4;2;2;0;0;2;0;4;0;2;0;0;0;2;2;0;2;2;0;0;0;2;2;2;0;0;0;2;0;0;0;0;2;0;0;2
covid19;0;0;0;0;2;4;2;2;0;2;0;2;8;2;2;4;0;2;2;2;2;10;6;2;8;4;2;0;0;0;0;0;2;2;2;2;4;2;4;2;2;0;2;2;6;4;2;0;2;2;2;4;2;4;4;0;2;0;2;2;2;0;2;0;2;4;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;2;0;2
employees;0;0;0;0;0;0;2;4;4;6;0;0;0;2;0;0;0;0;0;2;2;0;0;2;6;0;4;0;4;0;0;2;2;0;2;0;2;0;2;4;2;0;0;0;2;2;2;2;0;0;0;0;0;0;0;2;6;2;0;0;0;0;0;2;0;0;0;2;0;0;0;4;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0
carolinians;0;0;0;0;0;0;0;2;0;4;0;2;2;0;0;0;2;0;0;0;6;0;0;0;2;0;0;2;2;4;4;0;0;2;0;6;2;2;0;0;2;0;0;2;0;0;2;0;0;6;6;0;0;0;0;0;2;0;4;0;2;0;0;0;0;2;0;2;4;0;2;0;0;2;0;2;0;0;2;0;0;2;0;0;0;2;0;0;4;2;2;0;2;0;0;0;0;2;0;0
order;0;0;0;0;0;0;0;2;2;0;2;0;0;0;12;0;0;0;0;2;2;0;0;0;2;4;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;4;2;0;0;4;0;0;4;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0
public;0;0;0;0;0;0;0;0;4;2;0;0;2;2;2;4;2;4;0;0;4;2;0;2;0;6;2;0;4;4;0;2;0;0;0;2;2;2;0;2;2;0;0;4;2;4;2;0;0;2;2;0;0;0;2;0;2;2;4;2;0;0;0;0;2;0;0;0;2;0;2;2;0;4;2;2;0;0;0;0;0;4;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
2;0;0;0;0;0;0;0;0;0;4;2;2;0;4;0;2;0;0;0;2;2;0;2;2;2;2;4;0;2;2;0;6;2;0;0;0;0;0;2;2;0;0;2;2;2;2;0;0;0;0;0;2;0;2;0;0;0;2;2;2;0;4;0;2;0;0;0;2;0;2;0;0;2;0;0;4;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;2;2;0;2;0
home;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;0;0;4;0;0;2;2;0;2;2;4;4;2;2;0;2;0;2;0;0;0;4;2;0;0;0;2;2;2;0;2;4;4;0;0;0;0;0;4;0;2;0;0;0;0;0;0;2;0;0;4;4;0;0;0;0;0;0;0;0;2;0;2;2;0;2;2;0;0;4;2;0;0;0;6;2;0;2;0;0;0;0
