;great;president;trump;people;united;states;new;news;american;justice;department;may;bring;federal;national;working;war;week;special;nfl;senate;house;obama;military;state;country;wwe;man;best;democrats;white;network;world;billion;officially;decision;former;sign;america;media;deal;football;local;calling;rangers;elder;hillary;usa;tax;hes;police;north;scrolls;administration;season;campaign;july;2016;investigation;money;times;complete;morning;senator;pro;terrorist;political;combat;announce;city;wednesday;food;call;attack;2;love;russian;2017;admitted;free;fake;radical;reserve;sunday;voted;dollars;seattle;called;told;good;democratic;thing;russia;entire;sharing;proud;rates;investigating;teams;named
great;0;6;4;10;8;6;2;2;10;2;0;0;2;2;0;2;0;2;0;2;0;0;2;2;2;6;0;6;0;0;0;0;0;2;2;0;2;2;2;0;2;0;0;0;0;0;2;4;4;0;0;2;0;2;0;4;0;2;0;0;0;4;0;4;0;0;0;0;0;2;0;2;4;0;2;0;2;0;0;0;0;0;2;0;2;0;0;2;2;2;0;0;2;2;0;2;2;0;0;0
president;0;0;16;4;4;2;2;6;4;2;0;2;2;0;2;0;2;4;0;2;0;0;2;0;0;4;0;4;2;2;0;0;2;0;2;2;4;2;2;0;2;2;0;4;0;0;4;0;0;2;2;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;0;2;0;0;4;0;2;0;0;0;2;0;2;0;0;2;0;2;2;0;2;2;0;4;0;0;2;0;0;0;0;0;0;4
trump;0;0;0;2;4;4;8;4;2;2;2;2;0;2;4;2;2;2;0;2;0;6;2;0;2;6;0;2;0;6;6;2;2;0;2;2;6;2;2;2;2;0;0;6;0;0;2;2;4;4;0;0;0;0;0;4;0;0;2;0;4;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;4;0;4;0;2;2;0;2;0;0;2;2;2;2;2;0;4;0;0;0;0;2;0;2
people;0;0;0;0;6;6;0;2;6;0;0;2;2;2;2;2;0;2;2;0;4;4;0;4;0;2;0;0;2;4;4;0;0;4;0;2;0;0;4;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;2;0;0;2;2;4;2;0;0;0;0;0;0;0;0;2;2;0;4;2;4;0;0;0;0;0;0;0;0;0;0
united;0;0;0;0;0;24;2;0;2;4;4;0;0;2;4;2;2;4;0;0;0;2;2;6;2;4;0;4;0;0;2;0;2;2;2;4;0;2;6;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;2;0;0;2;0;0;0
states;0;0;0;0;0;0;2;0;2;2;6;0;0;2;4;2;2;4;0;0;0;2;2;6;2;4;0;2;0;0;2;0;2;2;0;4;0;2;6;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;2;2;2;2;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;2;0;2;2;0;0;0
new;0;0;0;0;0;0;0;2;0;2;2;2;2;0;2;4;0;0;0;0;0;2;2;0;2;0;2;0;0;2;2;4;2;0;2;2;4;0;0;2;2;0;2;0;0;0;4;0;0;0;0;2;0;0;0;2;0;0;0;0;4;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;2;0;0;4;2;0;0;0;0;2;2;0;0
news;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;4;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;4;0;0;0;0;6;0;0;0;4;0;0;2;2;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;2;0;0;6;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
american;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;4;0;0;4;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;2;0;0;0;2;2;0;0;2;2;0;0;0;0;0;4;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0
justice;0;0;0;0;0;0;0;0;0;0;8;0;4;0;0;0;0;0;0;0;0;2;4;2;0;0;0;2;0;2;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;4;0;0
