;covid19;kansas;may;2;kansans;briefing;phase;press;live;plan;please;22;pandemic;facebook;watch;ks;cst;safe;state;12;updates;mask;public;dennis;new;lives;visit;reopening;@kdhe;2020;move;latest;page;forward;important;secretary;honor;workers;hold;reopen;recognize;memorial;great;health;community;tune;throughout;work;thanks;duty;school;family;ad;officers;continue;transportation;help;economic;regarding;astra;communities;degree;nation;spread;deserve;safely;thank;congratulations;appreciation;special;economy;stay;efforts;healthy;passed;mother;tell;safety;lee;week;necessary;away;offer;gratitude;still;though;hear;another;program;lost;men;discuss;brave;changed;address;forget;upon;note;broadcast;local
covid19;0;30;10;18;12;18;10;18;18;10;12;6;18;16;14;4;12;12;6;0;16;6;4;0;8;4;10;6;8;6;6;10;10;6;4;4;2;4;8;4;2;4;6;4;4;8;6;6;6;0;2;2;4;0;2;0;8;4;8;4;2;0;4;6;6;6;4;0;2;4;6;6;2;6;0;0;2;2;4;0;4;0;6;2;4;4;6;4;0;0;0;6;0;4;4;6;2;2;6;2
kansas;0;0;4;16;2;10;6;10;10;10;6;4;12;10;14;4;10;8;8;6;10;4;2;6;6;4;0;6;6;2;4;4;4;6;4;8;4;6;4;6;4;2;2;2;0;6;6;6;4;4;0;0;4;2;0;4;2;4;0;4;2;4;4;0;8;4;4;4;6;6;4;2;0;4;2;2;2;2;4;2;2;0;6;2;0;0;6;4;2;2;4;0;4;0;0;6;4;2;0;0
may;0;0;0;4;2;8;6;8;8;6;6;10;2;6;6;2;4;0;0;4;4;0;2;0;2;0;6;4;4;6;0;4;4;0;0;2;2;0;4;2;2;2;4;0;4;2;2;0;0;2;0;2;4;2;0;0;0;0;6;4;0;0;2;2;0;0;0;0;2;0;0;0;2;0;2;0;0;0;2;2;2;2;0;0;0;2;0;0;0;2;0;4;0;0;0;0;0;2;4;0
2;0;0;0;0;2;12;14;14;14;8;4;4;2;14;12;2;14;4;0;4;10;2;0;0;0;0;2;4;8;0;8;4;6;6;0;6;0;0;6;6;0;0;0;0;2;8;2;0;2;0;0;0;4;0;0;0;0;0;0;4;2;0;0;4;0;4;0;0;0;0;4;2;2;2;0;0;2;0;6;4;4;0;4;0;0;0;6;2;0;0;0;0;0;2;0;6;0;2;0;0
kansans;0;0;0;0;0;0;6;0;0;6;0;2;4;0;0;2;0;4;4;2;0;0;2;0;0;6;2;4;0;0;4;0;0;2;4;0;2;0;0;2;0;2;4;6;4;0;0;0;2;0;0;2;0;0;2;2;4;4;0;0;4;0;0;2;0;2;2;0;0;0;2;2;2;4;0;0;0;2;0;0;0;0;0;0;0;2;0;2;4;0;2;0;2;2;0;0;0;0;0;4
briefing;0;0;0;0;0;0;0;20;20;0;6;2;0;18;14;0;14;0;0;0;16;0;0;0;0;0;6;0;6;4;0;10;10;0;0;6;0;0;8;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;4;0;0;0;6;0;0;0;0;6;0;0;0;6;0;0;6;0
phase;0;0;0;0;0;0;0;0;0;14;2;6;2;0;0;2;0;4;2;6;0;2;2;0;2;0;4;8;0;0;8;0;0;6;0;0;0;0;0;8;0;0;0;2;4;0;2;0;2;0;0;0;6;0;0;0;0;0;0;6;2;0;0;6;0;4;0;0;0;0;4;2;4;2;0;0;2;0;0;0;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
press;0;0;0;0;0;0;0;0;22;0;8;2;0;20;14;0;16;0;0;0;16;0;0;0;0;0;6;0;8;4;0;10;12;0;0;6;0;0;8;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;4;0;0;0;6;0;0;0;0;6;0;2;0;6;0;2;6;0
live;0;0;0;0;0;0;0;0;0;0;8;2;0;20;14;0;16;0;0;0;16;0;0;0;0;0;6;0;8;4;0;10;12;0;0;6;0;0;8;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;4;0;0;0;6;0;0;0;0;6;0;2;0;6;0;2;6;0
plan;0;0;0;0;0;0;0;0;0;0;4;6;4;0;0;0;0;6;2;4;0;2;2;0;2;2;4;10;0;0;4;0;0;4;0;0;0;2;0;8;0;0;0;2;2;0;4;0;0;0;0;0;8;0;0;0;0;0;0;8;2;0;0;2;0;2;0;0;0;0;4;0;2;2;0;0;2;2;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0
