;#alpolitics;state;alabama;#covid19;al;thank;new;work;proud;year;#yes4amendment1;great;@alpublichealth;#aledchat;alabamians;help;#coronavirus;@potus;members;education;march;alabamas;important;governor;als;3;take;students;full;health;continue;citizens;2020;best;vote;states;news;efforts;lets;support;#sboe;people;economic;visit;workforce;#strongstartstrongfinish;encourage;job;working;board;together;team;honor;family;ive;service;pandemic;@alabamaachieves;everyone;public;dr;amendment;learn;#alsboe;please;leadership;information;call;#togetheral;resources;development;tune;program;career;forward;future;stay;economy;local;join;#2020census;school;part;needed;spread;strong;opportunities;home;funding;group;provide;@cdcgov;challenges;@alabamacounts;serve;website;office;folks;hard;address
#alpolitics;0;92;70;66;50;30;34;28;24;22;36;24;34;34;24;28;30;22;24;24;28;24;24;20;20;26;22;12;22;18;12;10;16;14;26;22;20;18;16;18;24;22;18;16;18;10;6;10;20;16;18;8;6;10;6;8;12;10;14;12;14;18;16;20;16;12;20;6;14;16;12;16;12;8;14;10;14;14;12;10;10;8;8;10;8;8;12;6;16;14;14;16;12;10;2;10;14;6;10;10
state;0;0;32;8;12;10;12;12;14;8;6;18;8;8;8;14;8;10;4;6;6;6;12;10;6;6;2;6;8;6;4;4;8;10;4;8;8;6;0;2;6;8;8;4;4;0;6;8;8;6;4;4;6;0;4;2;6;6;2;2;4;4;8;2;2;6;2;0;2;4;6;4;2;2;6;10;2;4;6;4;4;6;2;6;2;6;0;0;6;2;6;2;6;4;0;0;2;0;6;6
alabama;0;0;0;10;2;12;4;10;12;6;6;6;4;4;6;6;8;8;12;8;8;2;2;4;2;4;4;4;4;2;2;2;4;6;6;8;8;4;0;2;4;10;6;2;10;2;0;4;4;2;6;4;10;2;6;6;4;2;4;2;2;4;8;2;2;12;2;4;0;0;4;2;4;0;0;6;0;4;2;2;2;2;4;2;0;2;2;2;4;6;0;4;0;2;0;0;0;2;4;0
#covid19;0;0;0;0;8;10;0;8;0;2;0;4;24;0;14;8;14;8;2;0;2;4;8;2;2;2;6;2;2;8;6;4;2;4;0;2;6;10;4;2;0;2;0;6;2;0;2;0;2;0;8;4;0;4;2;0;10;4;4;4;6;0;4;0;14;2;14;8;10;12;0;4;0;0;2;0;10;0;4;0;0;0;2;4;6;2;0;4;0;0;4;12;2;0;0;6;4;4;2;2
al;0;0;0;0;0;14;2;4;12;10;4;2;2;4;8;4;4;4;6;6;4;0;4;2;6;8;4;2;2;2;6;8;4;4;2;10;0;4;4;6;0;6;8;6;4;4;8;2;2;4;4;0;2;2;10;4;0;2;2;2;0;0;0;0;0;2;0;2;0;2;6;0;0;2;8;2;0;2;2;2;2;2;2;8;2;2;2;2;2;4;2;0;2;2;0;0;6;0;0;2
thank;0;0;0;0;0;0;2;2;0;4;2;6;0;2;6;6;4;14;6;4;0;0;2;6;2;0;2;2;0;0;6;4;0;4;0;2;4;8;2;8;0;4;4;2;2;2;2;2;2;2;2;4;0;0;2;2;2;0;2;4;0;0;0;0;0;8;2;0;2;0;2;0;2;0;4;2;0;0;0;0;0;4;2;8;0;2;0;0;2;0;0;0;0;0;2;0;0;0;2;0
new;0;0;0;0;0;0;0;6;0;6;8;4;0;10;2;2;0;2;4;6;4;0;0;2;4;6;4;4;2;2;4;4;6;4;4;0;2;4;2;0;6;4;0;6;2;0;2;0;2;4;2;4;2;0;0;2;2;0;2;4;0;4;0;6;0;0;0;0;2;2;2;2;0;0;0;0;2;4;0;2;0;0;0;0;2;4;2;0;2;0;2;0;6;0;2;6;2;0;2;2
work;0;0;0;0;0;0;0;0;6;4;0;6;2;2;0;2;2;2;0;2;2;0;4;6;0;2;2;0;0;2;6;2;6;2;0;0;0;0;2;2;2;4;4;0;4;0;0;2;0;2;6;4;4;2;2;0;2;0;0;0;4;0;0;0;4;4;2;2;0;2;4;0;2;4;2;2;0;2;2;0;2;0;4;0;2;2;0;0;0;2;0;0;0;2;0;0;4;2;8;2
proud;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;2;0;2;2;6;2;0;0;2;4;0;0;2;0;0;0;0;6;2;0;4;0;2;0;6;0;0;8;0;4;2;4;2;0;0;2;0;4;4;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;6;0;4;2;2;4;0;2;2;4;0;2;0;0;2;2;2;2;2;4;0;0;2;0;4;0;0;2;0;0
year;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;4;0;4;2;2;2;2;0;4;0;6;4;4;0;0;0;0;0;2;2;0;2;4;0;0;0;4;0;0;0;2;0;2;0;4;2;2;2;0;2;2;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;4;0;4;0;0;0;2;0;2;2;2;4;0;2;2;2;0;6;0;2;2
