;president;states;united;new;trump;people;great;house;white;man;donald;world;government;national;state;department;media;federal;washington;fbi;democrats;investigation;thank;good;american;released;justice;show;group;york;hillary;senator;russia;campaign;obama;work;administration;country;party;important;big;best;texas;fake;political;clinton;news;help;deal;terrorist;security;job;former;economy;report;city;money;americans;police;war;says;night;free;court;announce;america;bernie;morning;friday;may;book;announced;tuesday;wrong;think;stop;congress;real;crime;north;using;young;j;thing;week;story;killed;health;could;times;lot;university;working;strong;release;shot;committee;election;cant;another
president;0;18;16;10;32;6;8;12;6;2;12;4;2;4;0;2;6;0;6;2;4;2;2;0;4;6;2;0;0;0;0;4;2;2;8;0;2;4;0;2;0;0;4;4;4;0;6;0;0;2;0;2;2;0;2;0;2;0;2;4;2;4;2;0;0;6;2;2;8;0;4;2;0;0;2;0;2;2;4;0;0;2;4;0;4;2;0;0;0;4;0;0;2;0;2;0;0;0;6;2
states;0;0;60;2;6;4;4;2;0;0;8;4;0;0;8;2;2;2;6;0;0;0;4;0;6;0;2;0;4;0;0;4;8;0;4;4;2;4;0;2;2;0;2;0;2;0;0;2;4;6;2;0;2;0;2;0;4;4;0;6;0;0;6;0;4;2;0;0;6;2;2;2;2;0;2;4;4;2;0;0;0;2;4;2;0;0;4;0;2;2;2;0;0;0;0;0;0;0;0;0
united;0;0;0;0;6;6;4;2;0;0;6;6;2;0;8;2;2;0;6;0;0;0;4;0;6;0;2;0;4;0;0;4;8;0;2;4;0;4;0;2;4;0;0;0;4;0;0;2;6;6;2;0;2;0;0;0;2;4;0;6;0;0;4;0;4;2;0;0;4;2;2;2;2;0;2;2;4;2;0;0;0;2;4;0;0;0;4;0;2;2;2;0;0;0;0;0;0;0;0;2
new;0;0;0;0;8;10;10;4;4;2;4;2;6;4;4;6;4;6;2;0;4;0;2;2;4;8;4;6;0;18;0;2;0;0;2;0;2;0;6;0;6;2;4;2;0;0;4;4;4;0;0;2;0;0;2;6;2;2;2;4;2;2;4;2;0;4;0;2;2;0;4;0;2;0;0;0;4;2;4;0;0;2;0;0;4;0;0;0;0;6;0;2;0;2;2;0;2;2;0;0
trump;0;0;0;0;0;8;8;12;10;2;22;4;2;6;2;0;6;0;2;8;8;6;2;0;2;6;2;0;2;0;2;2;4;6;6;2;10;4;2;0;0;0;2;4;6;0;8;0;0;2;2;2;2;0;0;0;0;0;0;2;4;8;0;4;0;0;0;6;4;0;2;4;2;2;0;0;2;2;2;0;0;2;6;2;4;2;0;0;0;2;0;0;2;0;4;0;2;0;2;0
people;0;0;0;0;0;0;12;10;12;8;2;6;4;2;0;0;4;2;6;2;2;0;0;0;6;2;0;0;2;4;0;0;0;2;2;4;0;2;2;0;2;4;2;4;0;0;4;2;0;2;4;4;2;2;0;4;4;0;0;0;0;4;0;0;2;0;2;2;0;0;0;0;2;0;2;0;0;0;4;2;0;4;0;0;0;2;6;0;2;2;2;0;4;6;2;2;0;0;4;2
great;0;0;0;0;0;0;0;0;0;6;6;10;0;0;4;2;2;2;6;0;2;0;4;6;8;2;0;0;2;2;0;6;0;0;0;2;2;0;0;2;4;4;0;2;0;2;0;2;0;0;0;8;0;2;0;0;4;0;0;2;0;4;4;0;2;6;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;4;4;2;0;0;0;0;2;2;2;2;2;4;0;0;0;4;2;2
house;0;0;0;0;0;0;0;0;28;2;2;0;4;2;2;2;0;2;2;4;6;0;4;0;2;2;2;0;0;2;0;2;0;0;0;2;4;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;4;2;0;0;2;0
white;0;0;0;0;0;0;0;0;0;6;0;2;2;2;2;2;0;2;2;4;4;0;2;0;0;2;2;0;0;2;0;2;0;0;0;4;2;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;6;2;0;0;2;0
man;0;0;0;0;0;0;0;0;0;0;2;6;0;2;0;2;2;2;2;2;0;2;0;0;0;2;0;4;0;2;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;4;2;0;2;0;0;0;2;0;2;0;0;2;0;2;2;8;0;0;0;2
