;president;house;news;states;great;people;united;white;new;trump;media;government;federal;dnc;democrats;love;article;source;national;fake;american;court;official;released;obama;china;trying;church;still;executive;congress;ufc;world;york;administration;end;year;law;billion;history;job;story;complete;black;left;investigating;fbi;honored;good;journal;kill;economy;review;away;tear;jobs;republican;police;statement;means;watch;supreme;russian;think;local;independent;russia;bad;security;pay;using;nation;john;comments;free;watching;military;play;shooting;rate;fact;texas;amazing;senate;election;scrolls;deadly;elder;businesses;immediately;cruz;political;voted;senator;simple;numbers;uespwiki;iran;state;#1
president;0;6;4;8;6;4;10;8;0;12;4;0;2;0;0;2;0;0;0;4;0;0;0;2;2;0;0;0;0;4;2;2;4;0;0;2;2;2;0;2;0;0;0;0;4;0;2;4;0;2;0;2;0;2;0;4;0;0;2;0;0;0;2;2;0;0;4;2;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;2;0;0;0;2;4;0;0;0;0;2;2;0;2;0;0
house;0;0;4;2;2;4;4;18;4;2;2;0;2;0;6;2;0;0;0;2;0;0;2;2;4;0;2;2;2;2;0;0;0;0;2;2;0;0;0;2;0;2;0;2;2;2;2;2;0;0;2;0;2;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;2;0;4;0;0;0;2;0;0;0;0;0;0;2
news;0;0;0;2;4;4;2;4;4;4;8;0;2;0;0;4;2;0;4;8;2;0;0;0;0;0;2;0;2;2;2;0;0;2;2;2;0;0;0;2;4;0;2;2;4;0;0;0;0;0;0;0;0;2;2;0;2;2;2;2;2;0;0;0;0;2;0;2;2;0;0;4;0;0;2;2;0;2;2;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0
states;0;0;0;0;2;2;22;2;0;0;0;2;2;0;0;2;2;0;2;0;0;2;0;0;2;4;2;0;0;0;2;0;2;0;4;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;2;2;0;2;2;2;2;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;2
great;0;0;0;0;0;4;2;2;0;2;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0
people;0;0;0;0;0;0;4;4;4;0;2;4;2;0;0;0;2;0;0;2;4;2;0;0;2;0;2;2;0;0;0;0;2;2;0;0;2;2;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
united;0;0;0;0;0;0;0;4;0;0;0;2;2;0;0;2;2;0;2;0;0;0;0;0;4;4;2;0;0;0;2;0;2;0;4;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;2;2;0;2;2;2;2;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;2
white;0;0;0;0;0;0;0;0;4;2;2;0;0;0;4;2;0;0;0;2;0;0;0;4;4;0;2;2;2;2;0;2;0;0;2;0;0;0;0;2;0;2;0;4;2;4;2;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;4;0;0;0;2;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;2
new;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;2;0;2;0;2;2;0;0;0;0;0;2;0;0;0;8;0;0;0;0;4;0;2;4;2;2;0;0;0;0;2;2;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0
trump;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;2;0;2;0;0;0;2;2;0;2;2;0;0;2;0;0;0;0;2;0;0;4;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0
