;#covid19;live;provide;may;fight;indiana;et;state;virtual;press;hold;updates;livestream;130;watch;conference;ct;230;hoosiers;tune;order;health;executive;website;twitter;hour;minutes;15;facebook;business;businesses;resources;@statehealthin;information;available;found;support;states;help;across;hoosier;social;@cdcgov;continue;people;#inthistogether;million;work;economic;capacity;funding;critical;school;care;announced;remain;distancing;face;public;education;recovery;new;county;stage;medical;indianas;pandemic;services;plan;additional;testing;signed;manufacturing;positive;program;workforce;50;workers;days;ppe;monday;assistance;reopen;community;emergency;communities;contact;economy;federal;click;home;spread;shields;number;next;grant;local;#backontrack;providers;counties
watch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170;172;166;0;164;0;0;0;0;90;84;84;76;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
conference;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170;164;0;164;0;0;0;0;90;84;84;76;80;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
ct;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;166;0;164;0;0;0;0;90;84;84;76;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164;0;0;0;0;84;82;82;74;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
hoosiers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;36;0;4;0;0;0;0;0;10;12;18;8;8;6;4;18;8;22;24;4;4;2;10;8;14;12;6;4;2;12;4;4;10;14;12;4;6;8;2;8;14;0;10;2;6;12;2;4;2;12;0;0;14;6;6;6;12;4;0;2;8;4;2;4;6;10;6;2;2;16;6;0;2;8;8;0;8;0;6
tune;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;82;82;74;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;86;0;0;0;0;2;0;6;6;0;2;0;2;8;0;2;2;0;2;0;2;4;8;0;0;4;2;2;0;0;12;10;2;2;0;0;18;8;0;4;4;4;2;2;0;4;0;12;0;30;2;4;2;2;0;2;6;2;4;2;0;0;12;0;0;0;8;14;8;2;2;0;0;0;6;4;8;4
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;0;0;0;0;0;6;0;10;6;4;4;2;2;8;4;10;4;2;0;14;0;2;2;6;0;2;0;4;2;30;10;24;2;4;18;6;2;4;0;20;6;4;6;6;12;8;6;8;2;16;0;2;2;12;8;2;0;4;6;2;14;0;8;8;2;6;6;4;0;2;4;2;8;8;12;2
executive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;4;0;0;0;0;4;0;2;2;0;0;0;2;4;4;0;0;4;2;0;0;0;10;10;2;2;0;0;18;8;0;0;2;4;2;2;0;4;2;10;0;30;0;2;2;2;0;2;6;2;4;2;0;0;12;0;0;0;8;14;0;2;0;0;0;0;2;4;8;2
website;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;50;48;0;50;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
twitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;42;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hour;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
minutes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;2;2;0;0;0;2;0;0;0;0;2;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
facebook;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;10;0;0;16;0;4;4;4;6;4;4;0;2;2;0;6;0;10;0;4;14;0;4;0;2;4;0;2;2;6;2;0;2;0;4;0;6;0;2;0;0;4;0;0;2;0;2;0;6;10;4;8;4;0;0;0;4;6;0;0;2;0;4;4;0;0;0;2;0
