;testing;#covid19;tennessee;covid19;state;tennesseans;visit;health;free;new;group;across;economic;businesses;tennessees;care;todays;guidance;recovery;briefing;information;live;efforts;work;bulletin;safely;local;order;95;test;guidelines;week;business;thanks;home;states;doubt;available;unifiedcommand;help;ct;near;site;pandemic;relief;facebook;counties;critical;capacity;@tndeptofhealth;support;access;89;county;update;weekend;reopening;executive;continue;may;find;#tennesseepledge;interpretation;learn;reopen;offer;expanded;tune;safety;economy;starts;program;contact;full;rural;tested;social;public;tennessean;continues;working;300;protect;community;ppe;days;stay;drivethrough;lives;close;workers;sites;400;sick;5;traditional;safe;remember;department;next
testing;0;128;50;66;42;44;54;58;104;44;36;58;14;6;22;20;26;8;12;24;36;14;40;18;30;10;30;18;14;38;2;10;0;24;4;6;40;36;38;0;12;46;42;2;2;14;0;8;14;14;10;2;2;36;22;36;14;16;10;22;28;2;12;6;2;32;34;8;0;0;10;0;14;0;14;18;0;2;10;26;6;12;2;8;2;26;4;26;4;12;6;28;10;10;26;28;2;18;20;12
#covid19;0;0;48;12;46;40;56;52;76;52;36;46;26;12;22;18;48;20;22;42;40;30;30;20;44;8;30;26;12;36;4;16;6;24;8;0;38;22;30;10;30;32;26;4;6;28;0;6;6;14;16;6;0;28;24;28;24;22;18;20;26;2;28;18;4;22;22;12;4;4;30;2;16;0;12;20;10;4;4;24;8;24;2;2;2;16;8;16;4;14;6;14;24;16;16;18;6;14;22;12
tennessee;0;0;0;52;34;12;26;28;26;28;28;36;28;32;6;12;12;10;16;10;10;4;14;8;14;12;12;16;14;4;14;14;32;10;14;10;0;6;10;14;0;12;10;12;26;0;8;4;4;8;18;8;10;14;6;4;14;14;6;8;2;4;2;14;16;20;4;4;4;14;0;20;4;6;12;4;4;6;0;6;10;2;14;6;2;12;10;0;16;4;2;4;0;2;12;2;6;2;8;8
covid19;0;0;0;0;32;44;28;38;38;40;26;32;22;18;18;32;26;4;10;20;18;14;18;10;26;12;10;24;4;12;0;0;10;2;20;12;8;20;18;14;12;18;24;16;14;10;0;16;12;14;6;4;0;16;12;14;2;18;6;8;10;0;2;4;4;16;14;10;6;8;0;10;8;2;14;8;0;12;12;8;8;2;6;4;16;10;8;10;8;8;14;12;2;6;10;10;0;4;4;10
state;0;0;0;0;0;54;14;32;30;18;12;56;14;14;10;6;10;4;8;4;4;2;12;28;4;12;18;10;10;16;4;12;8;10;12;0;18;4;10;16;0;16;16;6;6;0;0;4;8;4;8;2;2;14;4;12;6;4;10;2;12;6;0;12;4;16;6;0;14;6;0;4;6;2;6;6;14;8;12;6;8;0;4;10;2;14;4;12;8;4;4;10;0;8;14;10;6;10;8;6
tennesseans;0;0;0;0;0;0;18;32;36;18;20;34;16;12;2;20;10;12;12;8;6;6;20;28;6;22;10;8;6;12;12;6;6;12;14;26;10;16;10;14;4;12;16;12;4;6;4;14;16;6;0;14;6;2;2;14;8;6;14;6;12;6;4;2;12;2;6;4;2;10;0;6;8;2;0;6;14;2;0;2;4;4;4;4;2;2;6;14;8;6;8;16;0;6;2;6;10;10;0;4
visit;0;0;0;0;0;0;0;40;50;8;24;12;26;26;22;12;2;14;14;2;60;0;6;8;4;20;24;6;24;12;14;8;14;18;0;10;20;16;14;10;2;6;6;6;10;0;12;6;8;14;6;14;10;22;0;6;0;6;14;18;8;16;0;4;10;14;2;0;2;2;0;8;2;10;0;2;4;14;2;10;4;0;6;6;6;8;0;2;0;2;10;0;0;0;10;14;2;6;18;0
health;0;0;0;0;0;0;0;0;52;10;8;40;12;14;14;44;8;10;4;2;16;0;18;10;8;10;36;8;18;18;6;12;8;14;6;14;14;18;6;16;0;20;20;6;2;0;4;16;8;4;0;10;4;40;0;0;0;4;8;10;6;6;0;4;4;30;8;0;8;6;0;6;2;0;12;8;4;8;10;2;10;0;8;8;16;26;2;10;4;0;26;8;0;2;28;20;0;4;22;4
free;0;0;0;0;0;0;0;0;0;4;24;50;2;0;6;6;0;0;2;0;32;0;8;8;0;4;32;0;14;26;0;12;0;24;2;6;34;30;26;4;0;36;34;4;0;0;0;4;4;8;4;2;0;36;0;22;0;0;10;20;20;0;0;4;0;32;6;0;0;0;0;0;4;0;12;10;0;0;6;14;2;0;0;8;0;28;2;20;0;4;6;16;0;4;28;22;0;12;18;4
new;0;0;0;0;0;0;0;0;0;0;14;16;20;12;16;14;12;16;16;10;6;4;14;4;56;6;4;30;8;2;10;6;0;2;6;6;0;8;10;2;4;6;6;4;6;4;6;6;8;4;8;6;8;4;14;16;16;28;6;8;6;10;4;0;8;2;16;2;4;4;2;2;14;8;8;6;4;4;0;12;2;4;2;2;4;4;4;6;0;12;4;6;2;6;2;2;4;0;4;12
