;city;toronto;health;public;covid19;community;housing;new;work;distancing;working;social;response;care;torontos;medical;residents;officer;continue;park;safe;together;services;important;take;home;staff;emergency;critical;torontonians;spread;workers;stay;service;citys;support;next;provincial;essential;vulnerable;part;provide;people;protect;crisis;rail;coronavirus;information;update;prevent;ensure;measures;ontario;deck;safety;shelter;details;step;affordable;budget;homelessness;planning;building;plan;province;risk;government;everyone;prepare;physical;months;week;frontline;advice;strong;confirmed;free;future;year;music;necessary;act;works;sites;days;tomorrow;moment;child;good;west;big;homeless;build;mayor;remains;test;3;downtown;nonstop;supportive
ensure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;4;4;4;0;4;0;4;2;6;6;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;4;0
measures;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;2;2;2;0;2;0;0;0;4;0;0;2;2;0;2;2;2;4;10;0;0;0;2;0;6;0;2;0;2;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0
ontario;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;0;0;0;0;0;0;0;6;0;2;2;0;2;0;2;0;0;0;4;4;6;2;0;2;0;8;0;4;2;0;6;0;0;0;0;0;0;0;0;0;0;0;2
deck;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;2;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;10;0;0;4;0;0;0;0;0;2;0;2;0;6;0;10;2;0;0;8;8;0;0
safety;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;2;0;0;2;6;2;2;4;6;2;0;0;2;0;0;2;0;0;0;0;2;4;4;2;0;2;2;0;2;0;0;0;0;0;0;2;2;0;6;0
shelter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;8;0;0;4;0;0;0;2;2;0;2;0;4;0;0;4;0;0;0;0;0;2;0;4;2;2;0;0;0;0;0;2;0;0;0;4;2;0;0;0
details;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;10;0;0;0;0;2;0;0;6;2;2;0;0;4;4;0;0;0;0;4;0;2;4;0;0;0;4;0;2;0;0;0;0;0;0;0;0
step;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;2;0;0;2;0;0;4;0;0;2;0;0;6;0;4;8;0;0;2;2;0;2;0;2;0;10;2;4;6;0;0;4;4;0;0
affordable;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;4;8;0;0;0;4;0;0;2
budget;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;2;0;0;0;0;2;0;0;0;2;2;0;6;0;2;0;0;0;2;4;0;0;0;0;0;2;0;0;0;0;2;6;0;2
homelessness;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;2;0;0;0;2;0;0;0;0;4;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;6;0;0;0;2;0;0;0;12
planning;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;6;0;2;0;6;4;0;0;0;0;2;4;2;0;0;0;0;0;0;2;0;2;2;6;2;0;2;0;0;2;0;2;6;0
