;great;president;states;trump;united;people;new;house;american;news;white;federal;government;republican;state;national;thank;world;campaign;country;2016;media;presidential;york;party;administration;big;department;man;obama;americans;democrats;police;story;free;help;investigation;senate;fbi;washington;history;fake;election;bill;killed;former;russia;donald;justice;year;clinton;russian;left;court;called;article;may;another;good;thing;hillary;security;working;attack;protect;bernie;trying;could;program;health;political;nfl;supreme;congress;war;post;bad;law;report;committee;love;china;best;major;work;times;military;thursday;sanders;lot;week;pay;senator;radical;director;trumps;least;america;complete;act
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;6;2;2;4;2;0;2;6;0;0;2;0;4;2;2;2;2;4;0;2;0;0;0;2;0;6;0;2;4;0;4;2;0;4;0;0;2;2;2;0;4;0;4;0;4;0;0;2;0;2;2;0;2;0;0;2;2;2;4;0;0;0;0;4;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;2
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;2;0;2;4;0;0;4;0;0;2;2;0;2;0;0;0;0;4;4;0;0;2;2;2;6;0;0;4;0;2;0;0;0;2;2;0;0;2;0;2;16;0;0;0;2;0;4;2;2;0;6;0;4;0;4;0;2;2;10;2;0;2;6;0;2;2;2;2;0;0;0;2;0;2;2;2;2;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;2;2;2;0;0;4;0;0;0;0;2;0;2;0;2;4;2;0;6;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;2;0;4;0;0;0;0;0;2;0;0;2;0;4;2;8;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;0;0;0;6;6;0;2;4;4;0;0;4;4;0;2;0;2;0;6;6;2;0;2;0;0;0;0;2;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;4;4;0;0;0;4;0;2;0;2;0;0;2;2;0;0;0;4;0;0;0;2;0;0;0;0;0;0;2;0;0
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;4;10;4;2;6;0;2;0;6;0;6;0;2;0;2;6;2;4;4;0;0;6;2;0;4;12;4;2;0;12;8;0;0;2;0;0;2;0;4;8;0;0;2;0;4;0;0;0;0;4;0;0;2;0;2;4;0;4;6;0;0;0;0;0;4;0;2;4;0;0;0;2;0;4;2;2;0;0;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;4;2;2;0;2;2;0;0;0;2;0;2;0;0;0;2;2;4;0;0;2;6;0;2;0;4;4;2;2;0;0;0;2;2;0;0;2;2;0;0;2;0;0;2;0;4;0;4;0;0;4;0;0;4;0;0;0;0;0;2;2;0;2;0;0;2;2;0;0;0;2;2;4
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;24;0;6;0;0;4;0;4;0;4;0;2;0;4;10;2;6;0;0;2;24;0;0;4;10;2;4;0;12;10;0;0;2;2;4;4;0;2;10;0;2;4;2;4;2;2;0;0;2;2;0;2;0;0;0;0;0;4;0;0;2;2;0;2;0;2;4;0;0;2;0;2;2;2;6;2;2;2
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;6;4;0;0;0;2;8;2;2;4;0;0;0;0;2;4;2;16;4;0;0;0;0;4;0;2;2;2;6;0;0;0;2;2;2;0;0;2;0;4;2;0;6;0;0;0;2;0;2;0;2;0;4;0;2;2;0;0;0;0;0;0;0;0;0;4;2;0;0;4;0;4;2;2;0;0
presidential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;6;0;6;0;2;6;0;4;2;2;2;14;2;0;4;10;4;4;0;6;12;2;0;0;4;0;0;0;0;6;0;0;4;0;2;2;0;0;0;2;0;0;2;0;2;0;0;4;2;0;0;0;0;0;2;0;0;0;0;4;0;0;2;2;4;2;2;2;2
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;0;0;0;8;0;0;4;0;2;6;2;2;0;2;0;4;2;2;2;2;0;0;0;0;2;6;0;0;4;0;2;0;2;6;0;2;2;2;0;0;2;0;0;0;0;4;0;2;2;0;2;0;0;0;2;20;2;0;2;0;0;0;0;0;0;0;4;0;2;0
