;people;trump;new;great;president;united;house;state;government;news;states;national;federal;media;department;american;york;law;obama;country;republican;administration;job;russia;world;democrats;2016;fake;election;white;thank;washington;police;support;nation;man;party;called;trying;good;security;watch;may;fbi;campaign;public;war;help;bill;strong;article;justice;big;fired;story;proud;complete;year;supreme;use;donald;military;thousands;congress;million;court;fact;another;working;men;released;weeks;announced;incredible;city;believe;illegal;history;trade;best;shot;group;become;team;debate;decision;corrupt;vote;investigating;think;announce;love;lost;investigation;transcript;conference;killed;service;wall;money
people;0;10;4;16;4;10;0;6;6;4;10;6;4;12;0;14;4;6;0;6;6;6;0;2;10;2;0;2;4;0;2;4;0;2;6;0;0;2;4;2;6;2;0;0;0;4;2;6;2;6;4;0;2;0;0;2;0;0;0;2;2;4;6;2;2;0;2;2;4;2;0;0;0;4;2;0;0;4;0;2;0;2;2;0;0;2;2;2;0;0;0;0;2;0;0;0;2;2;4;2
trump;0;0;4;6;26;4;10;6;8;12;4;2;6;10;2;6;2;6;4;6;0;10;2;6;0;6;4;6;8;8;0;2;0;2;2;0;0;6;6;0;2;4;2;4;10;4;2;4;0;0;0;2;0;6;0;0;2;2;0;2;14;0;4;2;2;0;2;0;0;0;2;0;4;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;4;0;0;0;2;2;0;2;0;0;6;2
new;0;0;0;8;6;2;2;10;2;6;2;10;6;4;6;0;24;2;0;0;4;0;2;2;4;2;2;4;0;0;2;0;0;0;6;0;0;6;2;2;2;0;0;4;0;4;2;0;2;4;0;2;0;0;2;2;0;0;0;0;0;2;2;0;0;0;2;2;0;0;2;0;2;0;8;2;2;0;0;0;0;0;2;4;0;0;0;2;0;2;6;0;2;2;2;0;0;2;0;2
great;0;0;0;0;10;2;2;8;6;6;2;4;2;2;2;6;2;0;0;2;6;0;14;2;2;0;0;0;4;2;8;4;0;6;2;0;2;0;2;2;0;2;2;0;0;2;0;2;0;6;2;0;2;0;0;4;2;0;0;0;2;8;0;0;4;0;0;4;2;0;0;0;2;4;0;0;0;2;0;4;0;0;0;2;0;0;2;0;0;0;4;0;0;0;4;2;0;2;0;0
president;0;0;0;0;0;6;8;6;0;10;6;6;2;8;2;4;2;2;8;2;0;4;4;6;0;4;2;6;4;6;0;6;0;2;4;0;2;2;2;0;0;0;2;4;4;0;0;0;0;0;0;4;0;4;0;0;0;0;2;0;2;0;4;0;0;2;0;0;0;2;2;0;4;2;0;2;4;2;2;0;0;2;2;0;0;4;0;0;2;0;0;0;0;0;0;2;0;0;2;0
united;0;0;0;0;0;0;4;2;6;0;38;2;2;4;0;0;2;2;0;6;0;2;0;4;8;2;4;0;4;2;0;2;0;4;0;0;0;2;2;0;0;2;0;0;0;0;6;6;2;2;4;0;0;0;0;2;0;4;4;0;0;2;4;2;2;4;2;2;0;2;2;2;4;2;2;0;2;0;6;0;0;0;2;2;0;2;2;0;0;2;2;2;0;0;0;2;2;0;4;0
house;0;0;0;0;0;0;0;0;2;4;2;4;2;2;0;0;0;4;4;2;2;2;2;2;2;6;2;2;2;22;0;2;0;2;2;0;2;0;2;2;2;0;0;0;2;0;0;0;4;0;0;2;0;0;0;4;0;2;2;0;0;0;0;2;0;2;2;0;0;2;2;0;2;0;2;0;0;0;0;2;0;2;0;0;0;2;0;2;2;0;0;0;2;0;2;0;0;0;2;2
state;0;0;0;0;0;0;0;0;4;2;2;8;4;2;8;2;10;4;4;0;0;4;2;2;0;0;2;0;0;0;2;4;0;0;2;0;0;2;0;0;2;0;0;0;0;2;2;2;0;4;0;0;2;0;0;2;0;0;0;4;2;0;2;2;4;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;4;0;0;0;0;0;2;4;0;0
government;0;0;0;0;0;0;0;0;0;2;6;2;14;2;0;4;0;4;2;2;0;2;2;2;4;8;6;0;4;2;0;4;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;4;4;0;0;0;6;2;0;0;2;4;4;2;2;2;0;2;8;2;2;2;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0
news;0;0;0;0;0;0;0;0;0;0;0;0;2;12;0;4;4;0;2;2;2;0;4;0;2;4;2;22;2;2;4;0;0;0;2;0;0;0;4;2;2;0;0;2;0;0;0;2;0;0;0;0;2;0;4;0;2;0;0;0;2;0;0;2;2;0;2;0;2;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;6;0;0;2;0
states;0;0;0;0;0;0;0;0;0;0;0;2;2;6;0;0;2;2;0;6;0;2;0;4;8;2;4;0;4;0;0;2;0;4;0;0;2;2;4;0;0;2;0;0;0;0;4;6;2;2;4;0;0;0;0;0;0;4;4;0;0;2;4;0;2;4;2;0;0;2;2;0;4;2;2;0;2;0;6;0;0;0;2;2;0;2;2;0;0;0;0;2;0;0;0;0;2;0;4;0
national;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;8;2;2;0;4;0;0;0;4;2;0;0;0;4;0;6;0;4;0;0;0;2;2;0;6;0;2;2;0;0;0;0;0;2;2;0;0;0;0;4;0;2;0;0;0;0;2;0;0;0;2;2;0;0;6;2;4;2;2;4;0;0;0;0;0;2;0;2;0;0;0;0;2;0;4;0;0;0;0;2;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;4;2;2;0;0;4;0;0;2;0;2;0;0;4;0;2;0;0;0;0;2;0;0;2;2;0;2;0;0;2;0;6;2;0;0;0;2;2;4;2;0;2;0;4;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;4;0;0;0;0;2;0
