;great;people;complete;big;endorsement;military;joe;police;fake;thank;law;left;vets;strong;country;news;amendment;job;radical;trump;second;biden;order;congressman;america;president;new;@foxnews;national;senator;democrats;anarchists;washington;@usdot;win;good;incredible;republican;state;media;border;hard;history;crime;jobs;book;seattle;american;dc;vote;guard;help;court;night;nothing;states;defund;life;important;tremendous;working;world;corrupt;supreme;sleepy;looters;election;governor;bad;democrat;jim;#maga;numbers;bolton;coming;federal;russia;west;oklahoma;black;taxes;highly;justice;new_york;congratulations;john;act;money;watch;november;badly;testing;dems;north;china;area;take;safe;mike;run
great;0;20;32;26;30;32;8;12;8;20;4;12;26;18;18;10;8;22;12;10;6;4;6;12;20;12;12;0;8;24;6;8;12;16;10;8;2;16;18;0;6;6;2;8;6;16;4;18;12;12;6;16;8;4;8;4;2;6;8;2;6;4;4;6;4;4;2;6;2;2;8;6;6;0;6;4;0;8;2;2;12;4;4;4;8;2;4;2;2;4;2;6;0;8;2;6;4;10;6;6
people;0;0;28;12;28;18;16;4;6;6;10;8;18;16;14;2;18;8;8;6;16;6;2;18;2;6;4;4;0;10;4;8;0;6;4;6;12;2;8;4;12;4;0;6;0;2;2;4;4;8;0;0;6;4;2;0;0;10;2;8;8;4;6;4;4;2;2;2;2;0;0;2;2;4;2;2;0;2;8;2;8;2;6;0;0;2;10;6;6;0;0;0;0;0;2;4;0;10;0;0
complete;0;0;0;12;94;42;4;4;0;4;6;2;46;36;10;0;40;16;4;0;40;2;0;44;4;2;4;0;0;16;2;0;16;6;4;2;22;2;10;0;24;22;0;12;2;0;0;0;6;12;0;8;0;2;2;0;4;12;0;16;12;0;0;0;2;0;0;2;2;0;4;12;0;0;2;0;0;6;10;2;14;4;0;8;4;0;0;2;0;8;8;0;0;8;2;2;0;4;6;0
big;0;0;0;0;12;6;8;2;4;4;4;6;6;6;6;6;0;4;6;6;0;2;0;2;6;8;6;0;0;6;0;4;8;6;20;0;0;8;2;4;0;0;2;6;8;4;0;4;2;10;0;4;6;4;4;0;0;2;2;2;4;2;0;2;4;2;4;2;0;4;4;8;0;4;4;2;0;4;4;4;4;2;2;0;14;2;2;4;2;12;6;2;2;0;0;2;0;4;0;2
endorsement;0;0;0;0;0;42;2;2;0;2;4;0;46;36;10;0;40;16;2;0;40;0;0;44;2;2;2;0;0;16;0;0;16;0;4;2;22;2;8;0;24;22;0;10;2;0;0;0;6;12;0;6;0;2;2;0;2;12;0;16;12;0;0;0;0;0;0;2;0;0;4;12;0;0;0;0;0;6;10;0;14;4;0;8;4;0;0;0;0;8;8;0;0;6;0;0;0;4;6;0
military;0;0;0;0;0;0;4;2;0;2;2;2;50;36;10;0;24;8;4;2;22;2;0;18;8;2;10;0;0;16;0;2;0;0;6;2;16;4;10;0;12;10;4;14;4;0;0;4;4;10;0;4;4;0;0;2;2;10;0;10;6;6;0;4;2;0;0;0;0;0;2;2;0;0;0;2;0;4;6;0;18;2;0;6;0;0;0;0;0;4;0;0;2;6;0;0;0;2;4;0
joe;0;0;0;0;0;0;0;8;6;4;10;16;2;2;4;2;2;2;16;4;0;30;8;2;0;4;4;0;0;0;10;6;0;0;4;0;0;0;0;0;2;0;4;6;2;0;4;0;0;0;0;0;2;0;4;0;6;2;2;0;4;0;16;2;26;2;4;2;0;0;0;0;2;0;0;0;6;0;0;4;0;0;2;0;0;0;0;4;0;0;4;0;4;0;2;0;0;0;0;0
police;0;0;0;0;0;0;0;0;0;4;12;16;2;0;4;0;0;8;16;2;0;10;8;2;0;2;2;0;8;0;14;2;0;0;0;4;0;4;0;2;0;4;4;4;0;0;0;0;6;2;6;0;0;2;0;0;24;0;0;0;0;0;0;0;8;2;2;0;0;2;0;0;2;0;0;0;0;0;0;4;0;0;0;2;0;0;0;4;2;0;0;0;4;0;0;2;2;4;0;0
fake;0;0;0;0;0;0;0;0;0;0;2;6;0;0;4;44;0;2;4;0;0;0;2;0;2;4;0;4;0;2;10;2;0;0;4;8;2;2;2;20;0;0;2;0;2;2;2;0;0;0;0;0;0;2;4;0;0;0;0;0;2;4;6;0;4;6;0;2;6;4;0;0;4;0;2;0;4;2;2;0;0;2;0;2;0;2;0;0;6;0;4;4;2;0;4;0;0;0;0;4
thank;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;6;2;6;0;2;0;0;0;4;2;2;2;0;2;2;0;0;2;0;2;12;0;0;0;2;0;0;2;2;0;2;4;0;2;2;0;4;2;2;0;0;0;0;4;0;4;0;0;2;2;0;2;0;0;6;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;2;0;2;0;0;0
