;canadians;trudeau;conservatives;justin;government;help;trudeaus;canadas;canada;liberals;covid19;country;crisis;work;support;canadian;live;workers;world;businesses;letting;spending;pandemic;parliament;liberal;economy;stand;health;behalf;thank;real;illegal;important;continue;celebrating;across;blockades;people;watch;weak;everyone;communities;times;plan;family;taxes;deserve;conservative;tax;farmers;put;ensure;month;best;leadership;wasteful;remember;lost;minister;struggling;families;community;national;democracy;new;fighting;take;house;end;shut;questions;project;working;response;jobs;happy;govt;heritage;life;celebrate;fight;law;hard;home;measures;party;lives;statement;marks;week;difficult;action;programs;focused;women;needs;forward;mps;opposition;legislation
canadians;0;150;132;122;74;78;50;36;28;50;52;38;46;38;54;14;32;22;18;26;52;28;40;34;26;12;10;26;34;14;22;12;28;26;26;16;12;16;14;20;18;16;28;14;10;16;32;14;14;0;12;20;26;22;20;12;12;20;16;30;18;14;8;18;16;16;14;18;18;24;22;6;14;18;14;10;14;18;14;16;18;8;12;8;22;4;14;18;16;10;16;10;20;18;10;10;10;10;12;18
trudeau;0;0;78;192;60;38;18;24;16;58;26;32;16;10;20;28;48;16;8;6;64;26;30;40;32;26;22;10;6;4;10;24;12;14;0;12;26;20;30;14;2;6;10;16;4;16;26;6;20;14;12;8;8;4;12;18;2;8;12;20;6;6;6;20;8;16;16;18;16;28;26;18;4;6;10;0;6;2;8;2;4;14;8;6;6;8;2;2;0;8;4;10;18;4;12;18;4;10;12;6
conservatives;0;0;0;56;52;60;24;90;38;44;28;20;20;28;44;24;16;34;22;32;12;26;20;14;20;22;40;8;42;8;22;8;20;36;24;16;4;10;8;4;18;22;12;16;14;22;6;10;8;12;12;12;16;16;4;16;10;6;4;6;14;10;4;10;12;26;12;14;8;4;8;4;14;8;8;10;6;20;6;10;20;8;12;12;18;4;4;8;14;0;6;18;6;20;2;6;12;6;2;10
justin;0;0;0;0;34;18;80;18;14;26;12;28;22;10;16;14;38;10;4;6;52;30;22;20;18;24;16;4;2;2;8;30;12;8;0;8;32;10;24;24;0;6;4;4;6;12;20;4;20;8;6;4;8;0;20;20;0;6;12;10;4;4;8;10;2;16;4;12;8;24;14;12;6;8;12;0;0;2;6;0;8;10;10;6;2;10;0;2;0;8;2;8;8;6;4;12;4;2;6;4
government;0;0;0;0;0;18;10;4;16;8;24;10;36;12;20;12;10;8;0;10;8;20;10;8;30;4;10;10;6;4;4;4;10;16;0;6;2;6;4;0;0;2;14;4;2;6;10;10;4;6;6;4;2;8;4;6;0;4;0;10;0;2;2;6;6;6;10;8;4;4;8;4;2;10;0;0;0;0;2;0;8;2;2;6;12;2;2;8;0;6;2;10;0;6;2;4;8;2;4;4
help;0;0;0;0;0;0;6;6;4;20;28;6;10;12;16;16;8;26;2;26;12;2;12;2;10;2;8;12;2;8;28;0;8;14;0;6;0;10;4;0;6;8;10;8;4;4;0;4;2;8;8;14;2;2;0;0;2;2;2;12;8;0;2;2;4;8;6;0;0;0;2;0;6;4;4;0;10;0;6;0;4;0;6;10;10;0;2;0;0;8;4;6;4;14;2;2;8;2;0;12
trudeaus;0;0;0;0;0;0;0;4;10;22;4;14;14;6;6;8;18;4;2;6;8;28;8;0;4;18;6;0;0;2;8;24;8;10;0;6;20;2;14;34;0;4;4;0;4;16;4;2;12;6;4;2;2;0;24;22;0;4;8;4;4;2;6;0;0;8;0;2;4;4;4;6;2;10;10;0;0;0;2;0;4;8;6;2;0;6;6;0;0;2;2;4;2;2;0;0;0;0;0;0
canadas;0;0;0;0;0;0;0;0;18;16;2;10;2;6;12;4;6;6;22;4;2;6;8;2;6;12;16;2;38;12;0;2;6;6;28;12;0;6;4;0;14;10;2;6;10;6;4;2;0;8;0;2;16;16;0;6;8;6;4;0;8;10;8;4;10;6;2;0;6;0;0;4;8;4;6;12;2;24;4;10;2;4;0;8;2;4;2;2;16;4;0;2;2;8;0;6;4;0;0;0
canada;0;0;0;0;0;0;0;0;0;0;16;16;10;8;4;10;8;4;26;4;6;6;16;2;12;6;8;8;10;10;4;2;8;0;8;22;2;8;10;6;10;8;12;8;4;4;2;2;0;2;4;6;2;10;2;6;8;4;4;0;8;8;0;2;2;6;2;2;2;0;0;4;10;2;8;8;0;0;4;8;6;8;2;8;8;2;4;4;2;4;4;4;0;4;4;10;8;0;2;0
liberals;0;0;0;0;0;0;0;0;0;0;10;4;14;8;8;8;14;10;0;12;4;16;12;10;2;16;10;2;0;2;6;6;6;8;0;0;4;6;8;6;0;2;2;12;2;16;12;2;2;2;6;0;4;0;6;6;2;2;2;6;2;2;8;6;8;8;4;10;6;12;4;2;2;2;0;0;6;0;4;0;0;2;0;2;4;2;0;2;0;2;0;4;8;8;0;2;0;2;2;6
