;delaware;covid19;public;delawareans;health;state;thank;delawares;community;watch;director;stay;de;face;protect;division;care;testing;help;wear;livestream;important;briefing;social;en;home;economy;sussex;working;work;workers;giving;view;businesses;difficult;school;together;continue;reopening;support;june;dr;covering;rattay;distancing;spread;still;new;karyl;emergency;communities;county;hands;may;visit;neighbors;phase;guidance;wash;safe;especially;take;steps;part;aj;schall;students;@delaware_dhss;country;live;front;1;across;food;secretary;forward;healthy;everyone;family;;crisis;educators;safely;distance;lines;beach;hosting;@foodbankofde;starting;situation;throughout;reopen;states;plan;real;mobile;services;subtítulos;drivethru;families
delaware;0;84;50;30;48;36;18;18;14;28;24;18;8;8;18;34;10;8;14;4;28;24;28;6;6;14;14;12;16;18;10;28;24;14;12;10;14;12;10;8;8;22;6;22;6;6;20;6;22;16;8;8;4;8;2;14;10;12;4;8;10;4;6;14;16;16;10;8;12;2;6;12;14;4;8;8;2;6;12;0;4;6;4;2;4;2;8;2;4;4;8;8;2;6;6;2;2;0;2;8
covid19;0;0;62;34;64;22;8;44;26;44;42;8;12;12;18;42;18;22;22;12;44;20;46;12;2;10;20;18;6;18;14;44;40;10;6;6;6;14;18;10;14;38;8;36;6;32;24;8;36;20;10;14;6;8;10;8;6;8;6;10;10;6;8;8;30;30;0;8;0;2;6;10;4;2;14;10;0;8;4;0;8;0;12;6;6;8;2;0;8;12;6;8;2;12;8;0;4;0;0;2
public;0;0;0;26;80;12;4;22;12;48;36;22;10;36;14;52;6;2;12;32;46;10;38;28;0;12;6;8;2;6;4;38;36;8;8;0;2;6;4;4;6;36;22;36;20;10;10;6;36;14;4;12;26;8;6;4;6;14;26;2;4;12;8;2;28;28;4;14;4;0;0;8;2;0;4;0;0;8;6;0;6;4;4;14;0;6;10;0;6;8;0;6;0;2;2;0;2;0;0;0
delawareans;0;0;0;0;26;28;28;14;20;0;0;22;4;24;22;2;14;10;12;22;0;16;0;16;0;16;8;6;6;14;12;0;0;8;14;4;4;4;6;6;8;0;14;0;10;8;12;6;0;6;4;4;18;0;6;12;4;6;16;8;10;12;4;8;0;0;2;8;2;0;6;4;6;6;6;4;4;4;4;0;0;0;2;10;4;6;2;6;4;8;8;10;2;2;8;6;6;0;6;8
health;0;0;0;0;0;6;24;16;14;40;36;4;8;6;12;48;32;4;14;4;38;12;38;18;0;4;4;6;8;8;20;38;36;12;4;4;4;8;4;10;6;36;0;36;12;8;8;4;36;18;4;4;2;6;0;8;6;10;2;2;8;12;4;2;28;28;0;14;0;0;18;8;0;2;8;0;0;8;4;0;6;0;4;2;16;6;2;4;6;2;2;4;0;2;4;2;10;0;2;2
state;0;0;0;0;0;0;22;16;14;2;0;4;6;0;2;0;8;10;6;0;0;14;0;0;0;4;2;0;6;12;14;0;0;0;12;12;6;8;4;8;8;0;0;0;0;6;2;2;0;10;4;2;0;10;8;2;2;2;0;4;2;0;2;4;0;0;8;4;2;0;4;2;16;2;4;6;4;0;2;0;6;8;0;2;4;2;4;0;2;0;16;0;4;0;0;0;2;0;0;4
thank;0;0;0;0;0;0;0;8;4;0;2;8;0;8;4;0;22;0;12;2;0;6;2;2;0;4;0;2;14;8;22;0;0;0;10;8;6;4;0;6;0;0;2;0;2;0;2;4;0;4;4;4;2;4;0;10;0;0;2;6;6;2;2;0;0;0;4;0;2;2;14;0;6;6;2;4;2;8;2;0;2;6;2;4;14;2;2;6;2;4;2;2;0;4;2;4;0;0;4;10
delawares;0;0;0;0;0;0;0;0;18;10;0;6;0;4;14;0;14;6;10;4;8;6;2;6;0;4;18;6;2;8;16;0;0;8;2;2;4;4;12;8;8;0;4;0;4;10;6;6;0;4;4;12;2;8;8;8;6;4;2;2;2;2;4;0;0;0;4;0;0;0;6;6;0;0;0;2;2;4;6;0;6;4;12;2;6;0;8;0;0;0;0;8;0;4;4;0;2;0;0;2
community;0;0;0;0;0;0;0;0;0;0;0;4;2;6;6;2;8;24;6;6;0;4;0;6;0;2;14;6;4;6;2;0;0;4;8;0;4;0;2;4;4;0;4;0;6;14;4;0;0;0;4;6;4;2;6;4;0;4;4;4;4;2;0;2;0;0;0;4;2;0;0;2;0;4;0;0;4;6;4;0;4;0;6;4;0;4;2;2;6;2;4;10;0;4;4;2;2;0;2;0
watch;0;0;0;0;0;0;0;0;0;0;40;0;2;0;0;38;0;0;0;0;52;0;48;0;2;0;0;2;0;0;0;44;40;0;0;0;0;0;0;0;0;38;0;36;0;0;0;4;36;14;0;8;0;0;0;0;0;0;0;0;0;0;0;0;30;30;0;4;0;14;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
director;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;40;0;42;0;0;0;0;0;0;0;0;40;36;0;0;0;0;0;0;0;0;38;0;36;0;0;0;0;36;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;30;0;2;0;2;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
stay;0;0;0;0;0;0;0;0;0;0;0;0;6;22;16;2;2;2;8;22;0;0;0;6;0;38;2;0;8;4;0;0;0;2;2;0;8;4;0;2;0;0;18;0;2;4;4;0;0;2;0;0;22;4;8;6;0;6;22;8;4;6;0;10;0;0;0;4;0;0;0;0;0;0;0;0;0;6;10;0;0;0;0;10;0;0;0;2;0;6;0;4;2;2;0;0;0;0;0;0
de;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;0;2;2;0;0;0;4;14;8;0;8;0;2;2;2;0;4;2;0;0;4;0;2;6;0;2;0;4;4;6;0;0;6;2;2;2;6;6;0;4;2;2;0;2;2;0;2;0;0;0;2;4;0;2;2;0;0;0;0;0;2;2;0;0;0;2;0;2;2;0;0;2;4;0;0;4;2;2;0;0;0;0;0
face;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;2;6;36;0;4;0;16;0;8;2;4;2;2;2;0;0;2;4;2;2;4;0;2;0;0;32;0;12;6;8;0;0;0;0;4;28;2;6;4;0;8;26;2;6;2;2;4;0;0;0;4;0;0;2;0;0;0;0;0;0;4;2;0;0;0;2;12;2;2;0;0;2;8;0;6;0;2;0;0;0;0;0;0
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;4;2;16;0;6;0;2;0;16;4;0;2;6;8;0;0;0;0;0;8;4;0;0;0;0;8;0;2;6;8;0;0;4;2;0;6;0;0;16;0;4;6;6;6;6;4;8;0;0;0;2;2;0;4;0;2;0;0;2;0;6;10;0;2;0;0;4;2;0;0;0;0;6;0;2;0;0;2;0;0;0;0;2
division;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;38;0;38;2;0;2;0;2;0;2;0;38;36;0;2;0;0;2;0;0;0;36;0;36;2;0;0;0;36;14;0;2;0;4;0;0;0;4;0;0;0;0;0;0;28;28;0;4;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;6;0;0;0;2;0;0;6;2;22;0;0;8;2;2;4;2;4;8;6;0;0;0;0;2;4;0;0;2;0;0;0;2;4;4;4;0;0;0;8;2;0;4;0;0;0;0;0;0;18;2;0;0;2;0;0;2;2;0;4;0;2;2;16;0;0;0;6;4;2;2;0;2;4;0;6;0;0;2
testing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;0;0;0;2;4;8;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;6;2;4;0;0;8;10;2;2;6;2;0;4;2;2;4;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;6;0;0;4;4;0;2;0;6;4;0;4;2;0;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;6;4;2;2;2;6;0;2;2;4;0;6;2;4;8;0;0;4;0;0;14;4;2;0;0;4;2;2;2;2;4;0;6;2;2;2;2;0;4;0;0;2;2;2;0;4;0;2;2;0;4;2;4;0;0;0;2;6;2;4;6;0;2;0;2;2;2;0;4;4;0;0;0;0;2
wear;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;14;0;8;4;0;2;2;0;0;0;2;4;0;2;4;0;0;0;0;28;0;8;4;4;0;0;0;0;0;28;2;4;6;0;4;26;2;4;2;4;2;0;0;0;4;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;16;0;2;0;0;2;2;0;4;0;2;0;0;0;0;0;0
livestream;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;2;0;0;0;44;40;0;0;0;0;0;0;0;0;38;0;36;0;0;0;4;36;14;0;8;0;0;0;0;0;0;0;0;0;0;0;0;30;30;0;4;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;6;0;4;12;2;0;2;2;2;4;2;6;2;4;2;0;2;0;4;2;12;0;0;0;4;0;4;2;4;4;2;0;4;0;2;4;4;0;0;0;4;2;0;0;0;4;2;2;4;2;2;2;4;0;2;4;2;2;0;0;0;0;0;4;2;4;4;0;0;0;0;0;0;4
briefing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;40;0;0;0;0;0;0;0;0;38;0;36;0;0;0;0;36;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;30;0;2;0;2;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;2;0;0;2;6;2;0;0;4;0;0;4;0;6;0;34;4;6;2;0;0;0;0;10;8;4;2;2;2;10;4;0;4;6;4;0;0;0;10;0;0;0;2;0;0;4;0;0;2;2;0;0;0;2;6;0;6;0;0;2;0;0;4;0;2;0;0;6;0;0;0
en;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;2;4;0;4;4;0;2;0;0;4;0;4;4;4;0;0;4;0;0;8;4;10;6;0;4;8;10;2;2;0;10;0;0;0;4;0;0;0;0;0;0;0;0;0;4;10;0;0;0;0;6;0;0;0;0;0;4;0;0;2;2;0;0;0;0;0;0
economy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;2;2;4;0;2;10;0;0;0;2;0;0;2;4;4;0;0;10;0;2;2;2;4;2;2;2;2;0;2;4;0;0;0;0;0;0;0;0;4;0;0;0;8;10;0;2;0;4;0;14;2;0;2;0;0;0;2;0;10;2;4;4;0;0;0;0;2
