;health;workers;people;pandemic;care;crisis;americans;million;country;trump;millions;america;jobs;congress;act;american;coronavirus;sick;provide;cannot;pay;lives;working;guarantee;families;human;government;economic;emergency;senate;paid;postal;lost;unemployment;benefits;federal;end;medical;world;medicare;legislation;support;president;billion;protect;enough;paychecks;2000;leave;system;states;paycheck;everyone;month;pass;stand;trumps;horrific;service;job;worker;police;richest;still;free;masks;stop;united;billionaires;corporations;protective;cover;1200;food;hell;wage;losing;family;income;help;essential;put;vaccine;profits;ensure;check;insurance;without;afford;gear;safe;outrageous;fighting;corporate;fossil;across;cut;person;allow;major
health;0;28;32;28;90;34;24;22;20;8;26;14;28;8;8;12;12;14;10;8;8;6;6;16;4;16;6;12;10;12;6;0;10;6;2;6;6;10;8;24;4;12;6;6;6;4;4;2;8;14;10;2;10;2;12;0;2;4;2;8;4;0;2;6;8;8;0;6;2;4;4;6;0;4;2;4;12;0;8;2;6;4;0;4;4;0;16;10;0;0;0;6;2;0;4;2;4;8;0;8
workers;0;0;30;26;26;16;4;14;16;18;12;10;16;8;14;8;4;30;10;8;18;18;10;18;4;8;6;6;6;4;28;10;4;8;18;2;2;16;4;6;8;6;8;6;10;10;24;4;22;6;6;8;0;4;4;6;2;6;6;12;6;0;14;4;4;10;6;4;4;8;16;0;0;0;4;6;6;4;2;2;14;6;0;2;8;0;2;6;10;12;14;6;6;6;4;0;2;4;0;4
people;0;0;0;26;32;6;14;20;18;12;22;26;16;12;8;24;14;8;14;10;8;14;16;12;8;10;6;14;2;8;6;2;12;8;6;4;10;4;10;12;10;6;6;8;8;4;8;10;2;6;12;4;2;10;6;10;2;4;0;12;2;6;4;8;6;2;4;6;10;4;2;4;6;8;8;2;8;2;4;8;2;4;2;2;6;8;10;4;6;2;2;2;2;4;2;4;2;4;2;8
pandemic;0;0;0;0;12;18;10;6;14;16;12;12;8;16;12;4;6;8;14;14;12;4;8;12;4;4;6;6;8;6;10;8;4;2;4;10;6;6;0;12;12;8;6;6;6;8;6;6;10;4;4;6;4;4;2;6;2;10;6;4;4;4;2;4;4;2;4;2;6;6;4;8;6;2;6;2;2;6;2;6;8;0;0;2;0;4;8;2;4;0;4;2;4;0;2;0;2;4;4;4
care;0;0;0;0;0;26;10;14;20;6;18;14;22;4;4;12;12;12;8;6;6;2;4;16;4;14;6;10;10;6;8;0;8;6;2;4;2;6;4;16;0;10;2;4;2;2;6;2;6;12;10;0;6;2;6;4;0;2;2;10;2;0;2;6;8;4;0;6;0;0;6;4;0;2;2;2;10;0;6;2;6;2;0;2;4;0;10;6;0;2;2;4;4;4;2;4;4;8;2;8
crisis;0;0;0;0;0;0;16;14;14;4;8;18;16;14;14;6;10;4;6;2;14;6;6;12;8;8;8;18;10;10;2;2;8;4;4;10;2;10;8;10;8;6;0;0;2;10;6;18;2;2;0;10;8;10;10;2;2;6;4;0;6;0;8;4;4;2;0;0;0;4;2;4;6;6;6;0;2;4;8;0;6;2;2;0;8;6;6;4;4;2;0;6;2;2;0;2;8;12;2;0
americans;0;0;0;0;0;0;0;16;2;12;24;4;18;6;6;2;8;2;4;12;6;4;8;4;6;2;0;6;6;2;2;6;10;12;6;2;6;2;2;4;4;0;6;6;6;4;4;2;0;2;0;2;4;2;6;2;4;6;6;0;0;0;2;4;2;0;2;0;4;0;0;2;2;4;2;0;6;2;8;4;2;0;2;4;4;0;4;4;0;0;0;2;2;0;6;4;0;2;4;0
million;0;0;0;0;0;0;0;0;10;10;10;6;22;4;4;2;10;0;8;6;8;6;8;2;4;4;6;2;4;2;2;0;22;8;6;0;2;4;2;6;4;2;6;6;2;6;8;4;0;4;2;0;6;8;6;2;4;4;0;0;2;0;0;6;2;2;4;0;6;2;0;2;2;0;2;2;2;0;10;2;0;2;2;0;4;2;2;4;2;0;0;2;0;0;2;2;2;0;2;4
country;0;0;0;0;0;0;0;0;0;4;6;10;6;4;2;2;12;4;8;2;2;6;10;2;6;4;4;6;2;2;2;0;4;0;6;4;4;4;8;2;4;8;0;4;2;4;0;2;2;2;2;4;4;0;2;6;2;6;2;2;4;0;14;4;2;6;0;0;6;2;4;0;2;6;0;0;4;0;2;0;2;2;0;0;4;2;2;0;4;4;4;2;0;2;0;8;2;0;2;14
trump;0;0;0;0;0;0;0;0;0;0;4;4;8;8;16;4;4;2;4;4;2;10;4;2;4;4;8;4;4;6;0;10;4;8;8;2;4;4;2;0;8;2;22;0;4;2;8;0;0;2;4;2;6;0;4;2;2;4;8;0;0;0;2;4;4;8;10;4;2;6;4;0;2;2;2;0;0;0;2;6;2;4;4;4;2;0;0;2;0;2;0;4;4;0;2;0;0;0;8;0
millions;0;0;0;0;0;0;0;0;0;0;0;6;32;8;6;6;6;0;4;8;4;0;10;4;8;4;4;4;4;2;0;2;6;12;12;8;10;2;8;0;10;4;2;4;6;0;2;4;0;2;2;4;2;4;4;2;2;4;0;6;4;0;0;2;4;0;4;2;2;4;0;2;2;8;0;0;18;2;8;10;0;2;2;4;6;2;8;2;2;0;0;6;0;0;4;2;2;2;2;4
america;0;0;0;0;0;0;0;0;0;0;0;0;2;4;8;4;4;4;2;0;8;4;2;8;6;4;4;10;4;6;4;2;2;4;14;6;2;2;4;4;0;4;0;2;2;2;2;6;4;2;2;12;6;4;2;4;0;2;2;4;14;4;4;4;0;0;2;2;2;0;4;2;0;2;2;2;2;6;2;4;4;0;2;0;4;0;0;2;0;4;0;4;2;2;0;6;0;6;0;4
jobs;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;6;6;0;4;6;4;2;6;4;6;2;6;4;6;4;0;8;20;8;8;2;4;2;4;4;2;0;2;8;8;4;2;2;0;2;2;2;4;4;6;0;0;4;6;4;4;0;0;2;2;0;0;2;4;4;0;0;0;0;0;0;20;0;10;2;4;2;0;4;6;0;8;0;2;0;0;4;0;0;4;0;4;0;4;4
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;8;2;4;12;4;4;2;2;6;6;2;2;2;6;2;2;8;0;8;4;6;2;4;4;2;2;6;4;2;2;2;6;8;2;2;0;4;0;4;2;2;2;4;8;0;6;2;4;2;0;2;4;0;0;0;0;4;8;4;4;0;0;2;8;4;2;0;0;4;4;8;2;2;0;0;2;4;0;0;0;0;2;2;2;0
act;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;6;2;4;6;2;12;0;0;2;8;4;6;0;6;0;4;6;0;4;8;2;2;6;2;2;2;2;0;6;4;0;2;0;8;4;2;8;2;4;2;6;4;4;8;2;2;2;10;2;0;0;0;0;2;2;2;6;2;0;0;2;2;4;2;0;0;2;2;2;2;0;0;0;4;2;0;2;0;0;2;4;2
american;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;6;8;4;4;4;6;2;4;4;8;4;8;2;0;2;4;4;2;2;4;2;4;4;10;2;4;0;4;12;6;2;0;0;2;0;10;4;0;2;2;0;4;4;2;0;0;4;0;2;2;0;2;0;4;4;2;0;2;4;0;0;0;0;2;2;0;0;6;2;2;4;0;2;0;2;0;0;0;2;0;0;0
coronavirus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;4;2;6;6;0;6;0;2;0;0;4;2;0;4;0;4;0;2;4;4;2;4;2;0;0;2;0;4;2;0;0;0;2;2;2;2;0;2;0;0;0;2;4;2;2;0;0;0;2;2;2;0;0;0;0;2;4;0;0;2;4;0;0;0;2;0;0;2;0;0;0;2;4;2;2;0;0;2
sick;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;10;2;0;4;2;4;0;0;2;0;30;0;0;0;0;0;4;2;4;2;0;2;2;4;4;4;2;4;28;2;2;2;0;2;0;4;0;2;0;2;4;2;8;0;4;2;2;0;0;2;12;0;0;0;0;4;0;2;0;0;4;4;0;2;0;0;0;4;2;10;4;0;6;2;0;2;2;2;0;0
provide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;2;2;4;0;2;4;4;6;8;2;2;2;0;4;8;2;2;2;2;8;6;4;6;6;4;12;8;0;0;0;4;10;2;4;4;0;0;2;0;2;4;2;2;0;0;0;0;4;4;6;10;2;4;0;2;2;2;2;0;2;0;0;2;10;2;0;0;4;2;0;0;2;0;4;4;0;0;6
cannot;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;4;2;4;4;4;0;2;0;4;6;2;4;2;0;4;2;0;6;4;2;6;4;2;4;0;0;4;2;0;2;2;4;2;0;6;4;2;2;0;0;0;2;0;2;2;4;2;0;2;0;4;0;0;2;0;0;4;0;0;2;2;4;0;0;2;6;0;2;2;2;2;2;2;0;0;6;0
