;texas;state;music;#txlege;human;trafficking;@txmusicoffice;honor;domestic;lone;star;jobs;year;violence;#tmo30th;survivors;business;workforce;new;@texasflca;american;30;communities;top;helped;guard;businesses;row;exports;sexual;statement;department;economic;part;clemency;force;school;worldwide;task;support;flags;army;program;application;longview;life;abuse;serve;grant;address;committed;nominations;home;awards;border;promises;owners;richard;military;growing;1;national;industry;large;capitol;fire;veterans;opportunity;2019;african;crime;proud;justice;live;2020;awareness;halfstaff;across;excellence;action;pardons;#coronavirus;tracy;created;anniversary;stifling;along;excited;#texasworks;1994;agencies;promoted;county;norris;applicants;network;bmi;adjutant;departments;brave
texas;0;14;10;12;4;4;10;8;2;6;6;8;4;2;8;4;6;0;4;4;4;6;6;6;4;2;2;2;2;2;0;2;2;2;0;2;4;4;2;2;2;4;2;0;0;0;2;2;2;0;4;4;2;2;0;2;2;2;4;4;2;2;4;4;4;0;4;2;4;2;2;0;4;4;4;4;2;2;2;2;0;2;2;2;0;0;0;0;2;2;2;2;0;2;0;2;2;2;0;2
state;0;0;4;8;0;0;4;4;0;8;8;6;4;0;2;0;4;2;4;0;2;4;2;4;2;2;2;2;2;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;2;4;2;2;0;2;0;0;2;2;2;2;0;0;0;2;0;0;0;2;0;0;0;0;2;2;0;2;0;2;2;2;0;0;0;2;0;0;2;2;0;0
music;0;0;0;0;0;0;10;0;0;4;4;4;0;0;8;0;4;0;2;0;0;6;4;0;4;0;2;0;0;0;0;0;2;0;0;0;2;4;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;4;4;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0
#txlege;0;0;0;0;0;0;0;6;0;2;2;2;2;0;0;0;2;2;0;2;2;0;2;6;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;2;2;2;0;0;2;2;4;0;2;2;0;0;0;0;4;2;2;2;0;0;0;2;2;0;0;2;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0
human;0;0;0;0;0;8;0;0;6;0;0;0;0;4;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;2;0;0;0;0;0;0;4;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
trafficking;0;0;0;0;0;0;0;0;6;0;0;0;0;4;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;2;0;0;0;0;0;0;4;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
@txmusicoffice;0;0;0;0;0;0;0;0;0;4;4;4;0;0;8;0;4;0;2;0;0;6;4;0;4;0;2;0;0;0;0;0;2;0;0;0;2;4;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;4;4;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0
honor;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;4;0;0;0;2;0;2;0;0;0;2;2;2;0;0;0;4;2;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;2;0;4;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2
domestic;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
lone;0;0;0;0;0;0;0;0;0;0;8;2;2;0;2;0;2;2;2;0;0;4;2;2;2;0;2;2;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;2;0;0;0
