;kansas;covid19;kansans;state;information;help;executive;website;@kdhe;order;kansan;please;stay;signed;health;visit;pandemic;work;spread;response;ks;communities;safe;home;coronavirus;schools;regarding;announced;guidance;encourage;school;updates;healthcare;important;social;essential;plan;discuss;may;children;virus;15;difficult;protect;businesses;distancing;working;times;learning;march;efforts;novel;benefits;people;women;families;morning;orders;receive;#2020census;contact;across;joined;emergency;issued;provides;federal;support;together;access;continuous;care;commitment;team;force;continue;leadership;monday;call;public;ways;urge;unemployment;ensure;general;take;local;hispanic;next;education;court;gatherings;part;states;current;uptodate;25;released;file;address
kansas;0;20;6;16;0;6;8;0;2;6;6;4;0;6;8;4;4;4;4;8;4;8;4;2;0;2;2;8;0;2;2;0;2;6;2;4;6;4;4;4;2;4;4;2;2;2;6;4;4;6;10;0;2;2;6;4;6;2;4;0;0;4;4;6;4;2;0;6;6;4;4;4;4;4;2;4;4;2;0;2;2;0;0;0;2;2;4;2;2;8;2;0;2;4;0;0;4;0;0;4
covid19;0;0;20;8;18;14;6;20;22;6;6;12;10;4;8;10;16;4;10;6;2;4;4;6;12;4;10;8;8;8;0;12;6;4;10;4;2;4;6;2;4;4;2;2;4;8;0;0;0;4;8;10;6;4;0;6;2;2;2;0;4;0;2;2;6;6;2;2;2;2;0;2;0;2;0;2;0;8;8;0;0;0;6;6;0;6;2;0;2;2;0;4;4;2;4;4;0;0;6;2
kansans;0;0;0;2;16;10;10;14;12;6;2;8;10;8;4;6;8;2;2;4;6;0;10;2;10;0;6;2;2;4;2;4;2;0;6;2;2;2;0;4;4;2;2;4;4;4;4;6;0;2;0;8;2;0;0;6;2;4;0;4;4;2;2;2;2;4;0;2;0;0;0;2;2;2;0;0;0;2;0;2;4;6;4;2;2;0;2;4;2;0;0;2;0;2;6;2;0;0;2;2
state;0;0;0;0;0;2;4;0;0;2;0;2;0;0;0;0;0;6;2;6;6;4;0;0;0;2;0;2;0;0;0;0;0;4;0;0;2;6;0;0;0;2;0;0;2;0;2;0;0;0;4;0;2;2;4;0;2;0;0;2;0;8;0;4;4;0;2;0;0;2;0;0;2;2;0;2;4;0;0;2;2;0;0;0;0;0;2;2;0;2;0;0;4;2;0;0;0;2;0;2
information;0;0;0;0;0;4;0;20;16;0;0;10;10;0;2;12;4;0;2;2;2;0;4;0;12;0;6;0;4;4;0;8;2;0;4;0;0;0;2;0;4;0;0;2;2;2;0;0;0;2;0;10;2;0;0;2;0;0;0;0;2;0;2;0;0;6;2;0;0;2;0;0;0;0;0;0;0;4;2;0;4;2;2;0;2;0;0;0;0;0;0;0;0;0;6;6;0;0;2;2
help;0;0;0;0;0;0;0;4;4;0;4;0;4;6;0;0;6;4;2;2;0;2;0;4;4;2;0;2;0;0;2;4;2;0;6;0;2;0;0;0;0;0;2;0;4;6;2;2;0;2;4;4;2;2;0;0;2;0;4;4;2;0;0;0;0;4;4;2;2;0;0;0;2;2;0;0;0;2;2;0;0;4;4;0;0;2;0;0;2;0;0;0;2;2;4;0;0;2;2;0
executive;0;0;0;0;0;0;0;0;0;10;0;0;0;8;2;0;4;2;2;0;2;0;4;0;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;0;2;0;0;2;0;0;0;2;4;2;6;0;0;0;0;0;0;4;0;0;0;2;2;0;2;0;2;0;0;2;0;0;2;0;0;0;2;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0
website;0;0;0;0;0;0;0;0;16;0;0;8;8;0;2;10;2;0;0;2;0;0;2;0;10;0;6;0;6;4;0;8;2;2;4;0;0;0;2;2;2;0;0;0;2;2;0;0;0;2;0;10;2;0;0;2;0;0;0;0;2;0;0;0;0;6;2;0;0;2;0;0;0;0;0;0;0;4;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;2;0
@kdhe;0;0;0;0;0;0;0;0;0;0;0;10;6;0;6;8;2;0;2;0;0;0;0;0;10;0;8;2;4;4;0;10;2;2;4;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;10;2;0;0;2;0;0;0;0;2;0;0;0;0;6;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;2;0
order;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;2;4;2;2;0;0;4;4;0;2;2;2;0;0;2;0;0;0;0;4;0;0;0;4;0;4;2;2;0;0;0;2;0;2;4;0;0;0;0;4;2;2;0;0;0;0;0;0;4;0;0;0;4;2;0;4;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
