;people;great;trump;president;new;states;united;american;federal;house;working;white;news;department;york;national;world;job;state;released;reserve;2015;democrats;administration;government;may;help;party;americans;election;times;china;amazing;republican;man;country;best;love;tax;big;media;washington;hard;justice;team;war;countries;history;million;beautiful;information;2016;year;article;good;dollars;finally;stop;obama;trade;senate;money;bill;season;looking;former;become;governor;source;press;nation;spent;security;set;week;part;deal;signed;fake;russia;terrorist;conference;coming;fbi;police;air;special;women;military;health;system;massive;trillion;incredible;san;guy;easy;night;act;close
people;0;16;10;8;12;16;14;22;4;2;8;2;4;8;2;2;4;6;8;4;2;0;10;4;6;4;2;0;2;10;0;4;2;6;2;6;2;4;4;6;2;4;4;8;4;0;4;4;4;2;2;8;2;2;0;0;0;0;2;0;2;4;4;0;4;4;0;0;0;4;2;2;2;0;2;4;0;0;2;2;0;4;4;6;0;0;6;0;6;4;4;4;0;2;0;0;0;0;6;2
great;0;0;12;6;8;2;2;8;2;2;10;2;0;2;0;4;6;12;0;0;2;0;4;2;4;0;2;0;4;2;0;0;4;4;0;4;2;12;2;6;4;6;4;2;8;4;0;2;0;2;0;0;2;0;6;2;0;2;2;2;2;0;4;0;0;2;2;4;0;0;2;0;2;2;0;0;0;4;2;0;0;0;0;2;0;0;4;2;0;2;0;0;0;0;0;2;2;2;0;0
trump;0;0;0;26;16;8;10;2;0;10;2;12;10;6;8;2;0;2;4;2;0;2;8;16;4;4;4;2;2;10;6;4;0;4;0;0;0;0;4;6;8;2;2;6;2;0;0;4;0;0;4;4;0;0;2;2;0;0;2;4;4;2;2;0;4;0;2;0;2;0;2;0;0;0;0;2;8;4;4;6;2;4;0;4;0;4;4;0;2;0;4;2;0;0;0;0;2;0;0;2
president;0;0;0;0;10;16;14;0;2;4;6;2;4;2;4;4;0;2;2;0;0;0;4;6;2;2;2;4;0;6;2;2;2;6;0;4;0;0;4;4;2;4;4;4;0;2;2;2;0;2;0;4;0;0;2;0;2;2;8;4;8;0;2;0;2;0;4;2;4;2;4;0;0;0;2;4;6;4;2;2;0;0;2;2;0;0;2;2;2;0;0;2;0;2;0;0;2;0;0;4
new;0;0;0;0;0;10;10;6;0;10;6;10;6;2;24;4;2;0;2;6;0;2;0;2;2;2;2;2;0;4;14;4;2;4;4;0;0;2;0;6;2;2;2;2;4;2;0;2;0;0;2;2;2;2;2;0;2;2;0;4;0;2;0;0;0;4;2;6;4;2;0;0;2;2;2;0;2;0;2;2;0;2;2;2;0;2;2;4;0;2;4;2;2;2;0;2;0;0;0;0
states;0;0;0;0;0;0;60;6;4;4;6;0;2;2;2;2;2;4;4;2;0;0;4;8;2;4;0;2;2;2;0;6;0;6;0;2;0;0;4;2;2;0;2;2;2;8;6;0;2;2;0;2;0;2;2;2;2;2;6;0;0;0;2;0;0;2;2;0;0;2;2;2;4;2;0;2;0;0;0;0;6;0;4;0;0;2;2;0;0;2;0;2;0;2;0;0;0;0;4;2
united;0;0;0;0;0;0;0;6;2;4;4;0;2;2;2;2;4;2;4;4;0;0;4;8;2;4;0;0;0;2;0;6;0;4;0;2;0;0;4;2;2;0;2;2;2;8;6;0;2;2;0;0;0;2;4;2;2;2;6;0;0;2;2;0;0;2;2;0;0;2;2;2;4;2;0;2;2;0;0;0;6;0;0;0;0;4;2;0;0;4;2;2;0;2;0;0;0;0;4;2
american;0;0;0;0;0;0;0;0;2;2;4;2;2;6;2;4;2;4;2;2;2;0;2;2;0;2;0;0;6;2;0;4;0;4;0;0;2;0;2;0;2;0;0;8;2;4;4;2;2;0;6;4;0;0;0;0;0;2;2;2;0;0;2;0;0;2;0;2;0;2;0;0;2;2;0;0;0;0;2;0;2;0;0;4;0;0;2;4;4;2;4;0;0;0;0;0;2;0;2;4
federal;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;6;2;0;16;0;0;0;4;2;0;0;2;0;2;0;0;0;2;2;0;0;2;2;2;0;0;0;0;2;0;0;4;0;0;0;6;0;2;4;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;2;2;4;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;0
house;0;0;0;0;0;0;0;0;0;0;2;24;4;0;10;0;0;0;2;4;0;0;4;4;2;2;2;0;0;2;6;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;2;4;2;2;0;0;0;2;0;0;0;2;2;10;2;0;0;0;0;0;0;0;2;2;0;6;2;2;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0
