;covid19;testing;missouri;recovery;state;continue;care;missourians;health;plan;#showmestrong;across;missouris;director;work;social;businesses;tests;working;may;people;positive;data;safe;@healthylivingmo;give;week;county;economy;phase;still;capacity;facilities;food;new;live;1;economic;reopening;ppe;important;safety;hospitals;update;public;community;distancing;increase;local;another;patients;good;measures;protect;forward;cases;order;help;take;providers;facebook;throughout;system;possible;st;federal;hospitalized;everyone;next;families;hard;medical;reopen;goal;response;move;@missouri_ng;citizens;2020;support;dr;yesterday;thank;weekend;monday;per;critical;distance;employees;business;masks;randall;williams;prepared;smart;remember;services;briefing;counties;guidance
covid19;0;38;58;38;24;28;20;16;22;16;24;18;22;28;12;6;8;18;12;10;14;12;20;6;28;16;14;2;8;2;14;8;10;6;16;30;2;14;6;6;8;2;18;24;8;12;4;12;4;26;20;14;2;4;16;12;4;6;8;6;30;14;4;14;14;2;18;2;8;6;16;8;4;6;24;10;14;4;4;6;22;12;8;2;2;8;2;0;2;6;2;22;22;8;4;2;6;20;6;0
testing;0;0;38;32;14;26;22;16;12;28;22;18;18;2;12;2;2;42;16;2;16;20;18;2;16;20;24;14;8;2;2;22;22;0;10;8;2;8;2;6;6;0;4;6;4;16;2;32;2;2;2;10;0;2;12;18;2;4;2;2;2;2;6;6;12;0;2;0;14;2;2;0;2;28;2;14;12;6;0;2;0;10;0;4;4;20;12;0;0;0;0;0;0;4;0;0;0;4;14;4
missouri;0;0;0;22;34;18;14;24;10;14;20;24;16;10;18;6;18;12;8;16;6;12;22;14;8;14;8;10;4;6;12;6;2;10;14;10;8;6;6;6;6;0;14;8;2;8;2;10;6;8;10;10;2;8;14;10;6;12;4;4;4;2;2;2;8;8;14;4;8;6;4;2;8;4;4;6;4;4;8;16;2;8;2;4;6;8;2;2;4;10;4;2;2;4;6;6;2;4;4;0
recovery;0;0;0;0;14;38;12;28;14;56;54;8;24;14;24;8;16;10;12;22;6;6;16;6;6;22;4;2;18;26;4;14;2;0;2;10;24;28;12;10;10;10;0;12;10;6;2;10;6;4;0;4;4;8;14;0;2;0;2;10;10;4;8;0;2;2;0;4;6;6;4;6;8;4;10;10;4;12;2;4;6;6;0;2;10;10;8;4;0;4;4;6;6;8;6;0;4;6;0;6
state;0;0;0;0;0;20;8;22;14;12;6;48;4;0;4;4;14;6;6;16;10;2;10;16;0;8;6;6;16;10;2;4;2;2;12;0;10;10;8;4;0;6;0;0;2;12;0;4;8;4;0;0;10;0;6;2;6;4;4;2;0;10;2;10;4;4;0;0;4;2;4;4;8;2;0;4;4;2;8;4;0;2;4;4;8;2;4;4;8;2;4;0;0;6;4;4;4;2;2;0
continue;0;0;0;0;0;0;10;12;4;20;14;14;2;4;10;20;4;12;10;6;8;12;6;10;0;6;10;0;2;6;10;8;2;4;2;0;4;4;14;4;8;2;6;6;4;8;8;8;2;8;4;6;0;24;10;6;2;2;4;8;0;8;2;6;4;0;0;8;6;14;0;2;2;4;2;14;6;4;2;6;0;4;2;2;6;2;8;8;0;4;0;0;0;6;12;2;2;0;0;6
care;0;0;0;0;0;0;0;10;46;12;8;8;6;4;8;0;6;2;6;2;4;12;2;0;4;6;2;2;8;0;2;12;10;2;4;2;0;6;0;14;8;4;12;4;4;0;0;4;6;0;6;4;2;0;4;2;2;4;6;16;0;2;14;4;4;6;0;2;0;4;2;4;4;0;2;4;0;2;0;2;0;0;2;0;0;2;10;0;0;0;4;0;0;2;0;2;2;2;0;6
missourians;0;0;0;0;0;0;0;0;12;4;2;12;6;0;22;4;20;6;2;2;6;6;16;22;0;12;4;0;22;6;2;4;0;2;8;0;6;6;10;0;10;6;0;2;2;0;0;2;4;0;2;2;10;6;8;0;4;6;10;0;0;4;2;4;0;6;2;8;8;2;4;0;8;2;2;10;0;0;0;4;0;2;2;4;4;2;6;2;8;0;0;0;0;2;10;2;2;0;0;0
health;0;0;0;0;0;0;0;0;0;10;14;8;6;0;4;6;10;0;0;10;2;4;4;0;2;4;4;4;12;4;4;10;2;0;6;0;4;8;2;12;8;26;8;0;18;0;6;0;8;0;6;4;16;0;4;2;6;4;6;16;0;2;12;2;2;2;0;0;0;0;2;8;2;0;0;2;0;2;0;0;0;0;2;2;2;0;2;2;4;0;2;0;0;2;0;0;2;0;0;8
plan;0;0;0;0;0;0;0;0;0;0;42;4;10;8;4;0;10;16;10;16;2;0;4;2;0;4;6;0;8;16;2;8;2;2;0;6;16;6;0;6;2;6;0;6;8;8;0;10;2;0;0;2;4;0;2;0;0;2;2;8;4;0;6;2;0;0;0;2;8;8;2;0;10;8;2;4;0;8;2;6;0;4;0;0;10;12;6;0;0;4;2;0;0;2;2;0;2;4;2;6
#showmestrong;0;0;0;0;0;0;0;0;0;0;0;6;14;2;4;0;8;6;12;14;6;0;6;2;8;2;2;0;14;18;0;14;0;2;4;6;16;4;6;10;2;8;2;2;8;4;0;6;0;0;0;0;4;2;6;2;2;0;0;6;6;0;6;2;0;0;0;2;6;6;0;0;8;0;2;4;4;8;2;0;0;4;0;0;10;6;2;2;0;6;6;0;0;2;2;0;0;2;0;6
