;new;great;united;states;president;trump;york;people;democrats;man;love;news;money;job;vote;big;lot;working;making;monday;american;help;night;state;court;secret;wonderful;year;take;republican;clinton;federal;days;sent;thank;law;florida;supporting;fact;city;important;nothing;fake;world;post;million;parts;hillary;best;another;group;enforcement;house;fbi;massive;government;obama;santa;afghanistan;second;bad;thing;ready;weeks;center;thought;real;thursday;community;2;released;country;supreme;health;signed;white;iran;super;could;list;senators;cannot;donald;russian;national;administration;tremendous;pipeline;james;part;financial;washington;worse;movie;proud;political;join;5th;congress;bay
new;0;4;2;2;6;4;18;4;0;2;4;0;0;2;2;6;2;0;2;4;0;4;4;2;2;2;0;2;2;0;0;0;2;0;4;0;2;0;0;2;0;0;2;2;2;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;2;2;0;4;4;0;2;0;2;0;2;4;0;4;0;0;0;2;2;2;0;0;4;0;0;0;2;0;2
great;0;0;2;2;6;8;2;8;4;4;4;4;0;8;2;0;2;2;0;0;4;2;2;4;2;0;2;0;0;2;0;0;0;0;2;0;2;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;2;0;2;0;2;2;0;0;2;2;2;0;0;0;0;0;2;0;0;0;2;0;2;4;0;0;0;0;0;0;0;0;0;0;0;2;0
united;0;0;0;22;10;2;0;0;2;2;0;0;0;2;0;2;0;2;0;2;0;2;0;4;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;2;2;0;2;2;0;2;2;0;2;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0
states;0;0;0;0;10;2;0;0;2;2;0;0;0;2;2;2;0;2;0;0;0;2;0;4;0;0;0;0;0;0;0;2;0;2;2;2;2;2;0;0;2;2;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;2;2;0;2;2;0;2;2;0;2;0;0;0;2;0;0;4;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0
president;0;0;0;0;0;12;4;2;0;0;2;0;0;6;2;2;0;2;2;2;2;0;2;2;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;2;2;0;0;4;0;4;0;4;2;0;2;0;2;0;2;0;0;0;6;0;2;4;2;4;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;2;0;2;0;0;2;0
trump;0;0;0;0;0;0;4;0;4;0;0;0;2;4;0;2;0;2;4;0;0;0;0;0;2;0;0;2;0;4;2;0;0;0;0;0;2;0;2;0;0;4;0;0;6;4;0;2;0;0;0;0;4;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;2;4;2;4;0;0;0;0;0;0;4;0;0;2;2;0;2;0;2;2;0;2;0;0;0;2;0;0
york;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;2;0;2;4;0;0;4;2;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;2;4;0;0;0;0;0;0;4;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;2
people;0;0;0;0;0;0;0;0;0;0;4;4;0;2;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;2;2;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
democrats;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;4;0;2;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
