;president;great;trump;new;states;united;people;news;national;government;media;house;world;proud;american;big;support;help;win;federal;london;york;country;americans;story;prolife;working;administration;campaign;quickly;history;best;young;removed;congress;clinton;morning;article;santa;following;treated;game;times;hit;killed;war;fully;opened;party;decision;fact;moderatorcomment;security;justice;secret;nfl;reserve;democrats;majority;population;north;truth;china;fed;state;left;announced;end;hillary;place;senator;spicy;white;major;email;announce;become;2017;browser;police;nations;together;previous;lives;obama;press;amazing;group;center;women;liberal;attack;deal;incredible;building;fake;nation;republican;head;went
president;0;4;10;2;8;8;0;4;0;0;6;2;2;4;4;0;0;2;0;0;2;0;4;4;2;0;4;0;2;2;4;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;2;0;0;0;0;0;4;0;0;0;0
great;0;0;4;2;4;4;2;0;4;0;0;4;4;8;2;2;0;0;4;2;0;0;8;0;2;0;0;0;2;2;6;2;2;0;0;0;0;0;2;0;0;2;0;4;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;2;0;0;0;2;0;2;0;2;6;2;0;2;0;0;2;0;0;0;0;2;2;0
trump;0;0;0;4;6;6;2;4;0;2;6;6;6;0;0;0;0;0;2;2;0;0;2;2;0;0;4;4;2;2;0;2;0;0;2;4;2;0;0;0;2;0;0;4;0;2;0;0;0;0;2;0;0;0;2;0;0;4;0;2;0;0;2;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;4;2;0;0;0
new;0;0;0;0;0;0;2;0;2;2;2;0;4;0;2;0;0;2;0;2;0;10;0;0;2;2;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;0;8;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2
states;0;0;0;0;0;22;4;2;2;2;2;4;0;0;0;0;2;0;2;2;0;0;2;0;2;0;0;0;2;0;4;2;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;2;0;2
united;0;0;0;0;0;0;2;2;2;2;2;4;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;2;2;4;2;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;2;4;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;4;0;2
people;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;4;0;0;4;0;2;2;4;2;0;2;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;2
news;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;4;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0
