;great;people;states;united;president;american;trump;government;new;state;obama;national;trumps;party;former;man;donald;good;administration;house;news;federal;team;security;group;big;question;white;post;court;police;important;republican;virginia;interest;senate;department;immigration;ready;raised;friend;enforcement;may;week;world;history;men;historic;city;michael;thing;kyle;republicans;fight;announce;friends;report;100;russian;called;hard;folks;site;deaths;job;flynn;texas;local;help;working;committed;jobs;story;hot;family;secretary;democrats;available;shows;weeks;communist;2017;america;lost;americans;attacks;prices;shut;amazing;pokémon;sent;daily;washington;fbi;china;million;investigation;customer;think;months
great;0;14;2;2;6;12;2;2;0;0;2;0;4;2;0;2;2;0;2;2;2;0;4;0;0;4;0;2;0;0;0;2;0;2;0;2;0;0;0;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;2;2;0;0;2;0;0;0;2;6;0;0;2;0;4;2;0;0;0;0;2;2;0;4;0;2;0;0;0;0;4;2;0;0;2;0;2;0;0;0
people;0;0;2;2;2;8;2;2;0;0;2;2;0;2;0;2;0;2;2;0;2;0;0;2;2;0;0;0;2;2;0;2;0;2;0;0;0;2;0;0;2;2;0;2;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;2;2;0;0;0;0;0;2;4;0;0;2;0;4;0;2;0;0;2;2;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0
states;0;0;0;26;6;4;4;0;0;4;0;2;0;2;0;0;2;0;0;0;0;0;4;0;0;4;0;0;2;2;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;2;2;0;0;2;0;2;2;0;2;0;0;2;0;0;0;2;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;2;2;0;6;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;2
united;0;0;0;0;6;4;4;0;0;4;0;2;0;2;0;0;2;0;0;0;0;0;4;0;0;4;0;0;2;2;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;2;2;0;0;2;0;2;2;0;2;0;0;2;0;0;0;2;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;2;2;0;6;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;2
president;0;0;0;0;0;4;8;2;2;0;2;2;8;2;0;0;4;0;0;2;0;4;4;0;2;2;0;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;2;2;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;4;0;2;2
american;0;0;0;0;0;0;4;0;0;0;2;2;2;0;0;0;2;0;4;0;2;0;0;2;0;2;0;0;0;2;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;4;2;0;0;0;0;0;0;0;0
trump;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;4;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;2;0;2;0
government;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;4;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;4;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;2;0;0
new;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;0;2;2;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;2;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;2;2;0;2;4;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
