;united;states;president;trump;great;people;house;american;big;russia;military;federal;party;obama;state;national;media;campaign;administration;department;democrats;bill;russian;country;government;republicans;justice;good;massive;new;republican;information;act;think;able;reserve;election;senate;texas;proud;report;congress;best;tax;voted;north;iran;help;korea;governor;michael;thank;former;americans;fbi;court;order;senator;support;committee;call;released;radical;symbol;democratic;city;working;democrat;nice;nations;financial;investigating;response;violated;place;win;stole;ahead;trumps;violence;vote;calling;may;action;interest;force;completely;south;year;debate;situation;says;economy;families;man;night;white;dead;hacking;stand
united;0;26;6;2;0;0;2;0;0;4;4;0;0;4;2;0;0;0;2;4;0;0;8;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;4;4;2;4;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;2;0;2;0;2;0;0;2;2;4;0;0;2;0;2;0;0;2;2;0;2;0;4;2;0;0;2;2;0;0;0;2;0;2;2
states;0;0;6;2;0;0;2;0;0;2;4;0;0;4;2;0;0;0;2;4;0;0;8;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;4;4;2;4;2;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;2;2;2;0;0;2;0;2;0;0;2;2;2;2;0;4;2;0;0;2;2;0;0;0;2;0;2;2
president;0;0;0;12;2;6;4;4;4;4;4;0;0;6;0;2;4;0;4;0;2;2;4;6;2;2;2;2;2;0;0;0;0;4;2;0;0;0;0;0;0;4;0;4;0;0;0;4;0;0;6;0;2;0;2;2;4;0;0;2;4;2;0;0;0;0;4;2;2;2;0;2;0;2;0;0;2;0;4;0;2;0;0;2;0;2;2;0;0;2;0;0;0;0;0;2;4;0;0;0
trump;0;0;0;0;0;2;2;0;2;6;4;2;0;0;0;0;4;4;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;4;2;0;0;0;0;0;2;2;4;0;0;0;0;0;0;2;0;2;0;4;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;2;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0
great;0;0;0;0;0;4;6;2;2;0;0;2;0;0;0;2;2;0;0;0;2;0;0;2;0;4;0;0;0;2;2;0;0;0;4;2;2;4;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2
people;0;0;0;0;0;0;2;6;6;0;2;0;0;0;2;0;2;2;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;4;4;0;2;0;2;2;0;0;0;0;2;2;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2
house;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;4;0;2;0;2;4;0;2;0;0;2;0;0;0;2;0;2;4;0;0;0;4;0;2;2;0;0;0;0;0;0;0;2;0;2;0;0;2;0;4;0;2;2;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0
american;0;0;0;0;0;0;0;0;6;0;0;0;4;0;2;2;0;4;2;2;0;2;0;4;0;2;2;4;2;0;6;0;2;2;0;0;2;0;0;8;0;0;0;0;2;0;0;0;0;2;2;2;0;2;0;2;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
big;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;2;0;0;0;2;0;2;0;2;4;2;0;2;0;0;2;0;0;2;0;0;0;2;0;2;0;4;0;0;0;0;0;2;2;0;0;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
russia;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
