;state;indiana;#nextlevel;#insots;@fiatchrysler_na;great;hoosiers;indianas;people;across;honored;join;help;proud;family;@indianadoc;work;leader;continue;workforce;21;#evaeducationday;22;incredible;penske;success;statehouse;important;example;@wfyi;12;future;start;person;another;live;hoosier;strong;economy;honor;partners;thank;top;service;unit;sunday;opportunity;crisis;focused;trade;team;2020;grateful;drug;retirement;love;bus;best;ive;congratulate;together;challenges;theres;health;public;anyone;life;especially;friends;school;address;priority;celebrate;stronger;rural;legacy;officials;opportunities;babies;providing;spent;elected;pursue;@idhs;decades;martin;training;states;andretti;watch;tonight;kor;ahead;continuing;committed;lives;enter;moving;career;joining
state;0;6;6;6;2;4;2;4;4;8;2;0;2;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;6;0;2;2;2;2;2;0;0;2;2;0;2;2;4;2;2;4;0;0;2;0;2;0;2;0;2;2;0;0;2;0;0;4;0;0;2;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0
indiana;0;0;8;8;8;4;4;6;2;4;2;2;2;4;2;0;2;2;2;4;2;2;0;0;2;0;4;2;2;0;4;6;2;2;4;2;2;2;2;2;2;4;0;2;0;0;4;0;2;2;2;2;2;0;0;0;0;2;0;2;0;0;2;2;2;0;2;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;4;0;0;0;2;2;0;0;0;2;2;0;4;2;0;4;2;2
#nextlevel;0;0;0;26;22;2;4;0;2;0;0;0;0;0;2;6;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;2;0;0;0;2;2
#insots;0;0;0;0;22;2;4;0;2;0;0;0;0;0;2;6;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;2;0;0;0;2;2
@fiatchrysler_na;0;0;0;0;0;2;4;0;2;0;0;0;0;0;2;6;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;2
great;0;0;0;0;0;0;0;2;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;4;0;0;2;0;0;2;2;2;0;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2
hoosiers;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;2;0;2;2;2;2;2;0;2;2;0;2;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;4;2;2;2;2
indianas;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;4;0;2;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;2;0;2;0;2;2;0;0;0;2;0;0;0;0;4;2;2;0;0;2;0;2;0;2;0;4;4;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;2;2;0
people;0;0;0;0;0;0;0;0;0;2;0;2;4;2;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;0;2;0;0;0;0;2;2;2;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0
across;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0
honored;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;2;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2
join;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;2;0;0;2;0;0;4;0;0;4;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;2;2;0;0;0;4;0;0;0;0;4;4;2;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;4;0;2;0
proud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;2;2;0;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
family;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2
@indianadoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;2;4;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0
leader;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0
workforce;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;2;2;0
21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2
#evaeducationday;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0
22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0
incredible;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0
penske;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
