;ca;tune;new;health;state;live;#covid19;people;california;healthcare;help;trump;hands;thank;homelessness;housing;work;families;firstinthenation;million;#casots;crisis;record;school;climate;home;change;making;billion;take;wall;vote;@realdonaldtrump;address;lose;issues;lives;job;system;country;moment;build;major;services;put;together;working;listen;social;meet;stay;coronavirus;1;real;save;public;ban;#stayhomesavelives;created;great;yes;emergency;months;still;spread;prescription;medical;grateful;hospital;update;low;communities;laws;contact;violence;growth;unemployment;sick;ways;protect;file;companies;los;whats;values;info;homeless;affordable;start;grocery;children;increase;gun;end;lets;food;close;order;cant;simply
homelessness;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;8;6;0;0;2;0;0;0;4;0;0;0;4;6;0;0;0;2;4;0;2;0;2;4;2;0;2;0;0;0;0;0;4;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;4;0;2;4;0;0;0;2;0;0;0;0;0;2;6;0
housing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0;0;2;0;2;0;0;4;0;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;4;0;0;2;2;0;0;2;2;0;2;2;2
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;2;4;4;2;0;2;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;4;0;0;0;0;0;2;0;2;6;0;0;0;0;4;0;0;2;4;0;0;0;0;0;0;0;2;0;0
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;4;2;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;4;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;0;0;0;0;2;0;0;0;2
firstinthenation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;2;2;0;4;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0
#casots;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;6;2;0;0;2;2;0;0;0;0;0;0;4;0
crisis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;4;0;0;0;2;8;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
record;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;8;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;6;0;0;0;0;0;0;0;6;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0
school;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0
