;#tnsots;tennessee;state;@tnpromise;tennesseans;health;address;great;communities;support;teachers;tonight;taking;proud;students;special;regional;life;steps;work;safe;year;join;care;access;increase;capitol;efforts;nations;justice;deliver;investment;counties;single;challenges;rural;farm;tomorrow;best;across;growth;volunteer;leaders;thanks;funding;bold;working;live;important;@realdonaldtrump;celebrate;new;register;update;west;government;dollars;k12;headed;tennessees;amendment;economic;community;healthy;morning;share;johnson;afford;clear;governors;happy;provide;taxpayer;nation;mental;broadband;announcing;value;east;delivering;@thelanecollege;strides;requires;honor;increased;tennesseanwere;@etsu;innovative;reform;literacy;solving;future;jackson;school;city;issue;enjoyed;proposed;tennessean;priority
#tnsots;0;16;6;26;6;6;10;6;6;4;10;8;8;0;6;2;6;4;6;2;2;8;2;4;4;0;0;2;0;2;4;4;4;6;4;2;2;4;4;2;0;2;0;2;6;6;0;4;4;0;2;2;2;0;2;4;4;4;2;0;0;2;0;2;0;2;0;4;2;2;0;4;4;4;2;0;4;0;0;4;4;2;4;0;4;4;0;4;2;2;4;2;4;2;0;4;0;4;2;4
tennessee;0;0;12;10;2;2;6;4;2;6;6;10;2;2;4;6;6;2;0;2;0;2;6;0;2;4;4;0;0;2;6;6;4;2;0;4;0;4;2;4;4;2;2;4;0;0;2;0;4;2;4;0;4;0;4;0;2;4;4;0;2;4;2;2;2;4;4;0;0;0;0;0;2;4;2;2;4;4;4;2;4;4;0;0;0;0;4;0;2;0;0;2;4;2;4;0;2;2;2;2
state;0;0;0;6;6;0;4;4;0;6;0;4;0;6;0;4;2;2;0;6;2;2;2;0;0;4;6;2;4;0;2;2;0;0;2;0;2;2;0;4;6;4;4;4;2;0;4;0;0;2;2;0;2;2;2;2;2;0;2;2;0;2;2;4;4;2;4;0;0;2;0;0;2;0;0;2;2;2;4;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;4;0;2;2;2;0
@tnpromise;0;0;0;0;6;6;2;2;6;4;8;4;8;0;6;0;0;4;6;0;2;8;0;4;4;0;0;2;0;2;0;2;4;6;4;2;0;0;4;2;0;2;0;0;6;6;0;2;2;0;2;2;0;0;0;4;4;2;0;0;0;2;0;2;0;0;0;4;2;2;0;4;4;4;2;0;4;0;0;2;0;2;4;0;4;4;0;4;2;2;4;0;0;2;0;4;0;4;2;4
tennesseans;0;0;0;0;0;4;0;0;2;2;0;0;6;2;0;2;0;0;6;0;4;0;0;4;4;0;2;2;2;0;0;0;0;4;4;0;0;0;0;2;0;0;2;0;6;4;2;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;2;2;2;0;0;4;2;0;0;4;0;0;0;0;0;2;0;0;0;0;4;2;4;4;0;4;0;0;4;0;0;0;0;4;0;2;0;0
health;0;0;0;0;0;0;0;0;0;2;2;0;4;0;2;0;0;0;4;0;0;2;0;4;4;0;0;0;0;0;0;0;2;4;4;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;2;2;0;0;0;0;2;0;0;4;0;4;4;0;4;0;0;4;0;0;0;0;4;0;0;0;0
address;0;0;0;0;0;0;0;6;0;0;0;2;0;0;0;2;6;2;0;0;0;2;4;0;0;0;0;0;0;0;6;0;0;0;0;0;2;4;0;0;0;0;0;2;0;0;0;2;0;0;0;0;4;0;2;0;0;0;4;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;2;0;0;0;0;2;4;0;2;0;0;0;0;0
great;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;4;2;0;0;0;2;2;0;2;2;0;0;2;0;2;0;0;0;2;0;2;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0
communities;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;2;0;4;2;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;4
support;0;0;0;0;0;0;0;0;0;0;4;0;2;2;4;2;0;0;2;2;0;4;0;0;0;0;2;2;2;0;0;2;2;0;0;0;0;0;2;0;4;4;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0
teachers;0;0;0;0;0;0;0;0;0;0;0;4;2;0;6;0;0;0;2;2;0;4;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;4;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0
tonight;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;2;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;4;0;0;2;0;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;4;2;0;0;0;0;0;2;2;0;0;4;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0;0;0
taking;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;8;0;2;2;0;4;4;0;0;2;0;0;0;2;2;4;4;2;0;0;2;0;0;0;0;0;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;4;2;2;0;4;0;0;0;0;0;0;0;0;0;2;4;0;4;4;0;4;0;0;4;0;0;2;0;4;0;0;0;2
proud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;2;0;6;0;0;0;0;0;2;0;0;0;0;0;2;2;4;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0
students;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0
special;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;2;2;0;4;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;2;2;0;2;0;2;0;0;0
regional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;4;0;0;0;0;0;2;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;0
life;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
