kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_all,freq_all
@vogueindia,12,#americanidol,73,#americanidol,206,#americanidol,22,#daisies,17,live,5,#americanidol,312
jan,11,@americanidol,9,love,24,10,5,#americanidol,11,#cantcancelpride,4,love,35
link,7,season,8,@lukebryanonline,19,#shoesdaytuesday,5,live,9,lgbtq,4,@lukebryanonline,30
bio,7,@lukebryanonline,8,@lionelrichie,15,@baby2baby,4,tune,8,u,3,tonight,25
2020story,6,think,8,performance,13,impacted,4,new,7,shoe,3,new,24
2020,5,@abcnetwork,7,#hollywoodweek,12,providing,4,pt,6,people,3,performance,24
year,4,talent,6,think,11,tonight,4,tonight,6,deep,2,think,23
#shoesdaytuesday,3,3,6,tonight,11,children,4,performance,6,hope,2,@lionelrichie,22
new,3,yes,5,new,10,items,4,u,5,tonight,2,#shoesdaytuesday,19
season,2,cant,5,someone,9,@kpcollections,4,et,5,students,2,live,19
ur,2,@,5,best,8,covid19,4,watch,5,#shoesdaytuesday,2,#daisies,18
walk,2,show,5,makes,8,assist,4,@,5,summer,2,@kpcollections,18
screamt,2,next,5,put,8,top,4,may,5,@kpcollections,2,@abcnetwork,17
wonder,2,ready,4,good,7,efforts,4,@abcnetwork,4,10,2,tune,17
grateful,2,believe,4,voice,7,essential,4,music,4,handbag,2,@americanidol,17
@kpcollections,2,#shoesdaytuesday,4,believe,7,families,4,covid19,4,date,2,u,16
light,2,ok,4,incredible,7,forget,4,week,4,dance,2,cant,16
shoot,2,love,4,hope,7,home,3,finale,4,love,2,hope,16
surprises,1,ive,4,show,6,vote,3,favorite,4,pride,2,@,15
crystals,1,big,4,song,6,purchase,3,video,4,aka,2,next,15
mumbai,1,episode,4,took,6,journey,3,forget,4,movement,2,believe,14
use,1,tune,4,next,6,continue,3,daisies,4,sale,2,people,14
tissues,1,@lionelrichie,4,sometimes,6,hope,3,2,3,bipoc,2,season,14
livid,1,hollywood,4,grandma,6,leaving,3,essential,3,empowering,2,forget,13
nice,1,@kpcollections,4,cant,6,et,3,tv,3,et,2,best,13
reflects,1,thank,4,seen,6,definitely,3,think,3,cancel,2,good,13
brighter,1,#douglaskiker,3,music,6,donated,3,facebook,3,take,2,@vogueindia,12
coming,1,coast,3,anyone,6,love,3,roll,3,june,2,#hollywoodweek,12
ways,1,resort,3,heart,6,students,2,whole,3,efforts,2,show,12
@abcnetwork,1,sunday,3,wait,5,house,2,party,3,songs,2,ive,11
gratitude,1,aulani,3,real,5,value,2,grand,3,@pointfoundation,2,week,11
head,1,87c,3,something,5,artist,2,hours,3,ur,2,3,11
@gregswalesart,1,song,3,proud,5,gonna,2,#spacelaunchlive,3,watching,2,voice,11
confidence,1,n,3,u,5,performance,2,transported,3,9pm,2,jan,11
sense,1,night,3,coming,5,future,2,7,3,join,2,thank,11
ears,1,watching,3,great,5,feel,2,efforts,3,proud,2,song,11
eyes,1,fun,3,thank,5,little,2,10,3,ya,2,pt,11
incredibly,1,people,3,looks,5,guys,2,hope,3,@iheartradios,2,someone,11
@cynthialovely,1,seen,3,contestants,5,live,2,set,3,cant,2,87c,11
foot,1,lets,3,@cojustsam,5,@lionelrichie,2,@kpcollections,3,july,2,10,11
16th,1,voice,3,hollywood,5,facebook,2,happy,3,save,2,incredible,10
story,1,left,3,seeing,5,contestants,2,launch,3,young,1,seen,10
actually,1,premiere,3,people,5,hair,2,zoom,3,try,1,top,10
#protectyourenergy2020,1,anyone,3,might,4,@,2,@directrelief,3,friday,1,coming,10
spiritualdid,1,give,3,sorry,4,kitty,2,items,3,towards,1,proud,10
@barbandstar,1,dad,3,omg,4,girl,2,top,3,able,1,yes,10
opening,1,leave,3,@americanidol,4,tune,2,vote,3,online,1,anyone,10
designs,1,mean,3,87c,4,says,2,join,2,#dearclassof2020,1,et,10
sweet,1,good,3,yall,4,next,2,icymi,2,#daisies,1,favorite,10
crown,1,@ryanseacrest,3,@itsrobtaylor,4,87c,2,love,2,night,1,music,10
working,1,talk,3,ready,4,@mrbobbybones,2,summer,2,fav,1,night,10
alone,1,cheerleaders,3,stay,4,ive,2,ps,2,weedsand,1,may,10
effect,1,performance,3,still,4,@dillonjofficial,2,wipe,2,@beapplive,1,ready,9
built,1,eyes,3,ive,4,cant,2,finger,2,learned,1,coast,9
different,1,hinny,3,n,4,earned,2,mask,2,speaking,1,heart,9
#fbf,1,still,3,continue,4,seeing,2,health,2,incredibly,1,covid19,9
tables,1,place,2,happy,4,gotta,2,big,2,powerful,1,hollywood,9
stars,1,judge,2,thinking,4,hawaii,2,magic,2,service,1,year,9
vogue,1,gonna,2,singing,4,shes,2,sometimes,2,reflecting,1,happy,9
saw,1,week,2,extra,4,20,2,@baby2baby,2,listening,1,took,9
putting,1,worry,2,@faithbecnel,4,world,2,build,2,@iheartradio,1,sometimes,9
3,1,aint,2,theres,4,choose,2,billion,2,25th,1,episode,9
trailer,1,chat,2,world,4,@abcnetwork,2,proceeds,2,icymi,1,makes,9
recycled,1,@cynthialovely,2,@sophiawackerman,4,@lukebryanonline,2,disney,2,life,1,put,9
