;people;states;united;new;president;great;trump;american;house;state;national;white;country;obama;news;man;big;government;democrats;federal;administration;campaign;york;thank;court;security;world;republican;media;trying;party;bill;former;love;history;working;help;radical;team;best;job;may;left;donald;city;congress;released;russia;information;article;work;senate;year;death;take;week;north;washington;department;presidential;senator;killed;america;deal;americans;post;times;economy;2016;huge;justice;attack;republicans;supreme;young;another;important;second;police;vote;support;fbi;fight;wants;thing;nfl;number;texas;saturday;general;says;part;director;reserve;social;fake;million;act;forward;continue
people;0;42;34;28;16;32;18;50;6;24;8;6;14;10;8;0;14;16;8;4;12;4;6;4;6;12;8;4;12;6;4;6;4;2;12;12;4;6;4;2;12;6;8;2;4;6;2;0;8;6;4;4;6;8;2;0;6;8;4;4;4;8;4;6;4;0;4;4;4;4;2;0;6;4;8;4;10;6;2;6;0;2;8;6;4;0;12;2;0;4;4;8;2;0;2;4;16;6;0;8
states;0;0;158;16;28;20;18;12;16;12;10;12;8;6;2;6;6;12;2;6;12;4;2;4;12;8;6;8;2;10;4;4;6;2;0;12;8;2;0;2;10;6;2;6;2;2;4;8;2;0;2;6;6;6;4;16;8;10;0;8;2;6;14;6;8;2;2;4;2;2;0;4;2;8;4;4;8;4;2;4;4;0;8;6;4;0;4;4;2;4;2;2;4;0;2;0;12;0;2;4
united;0;0;0;14;32;16;20;12;12;8;8;12;6;4;2;6;2;12;0;2;10;4;2;4;8;6;6;4;2;8;2;2;6;0;2;12;8;2;0;0;8;6;2;8;2;2;4;8;2;0;2;6;4;6;4;16;6;10;0;8;2;4;12;6;8;2;2;4;2;2;0;6;0;6;2;4;4;2;2;2;4;0;8;6;4;0;2;4;2;6;2;2;4;0;2;0;12;0;2;4
new;0;0;0;0;16;16;18;10;6;16;6;8;8;8;14;4;16;0;6;4;6;6;56;4;2;4;4;6;2;4;4;8;8;6;2;10;4;0;8;0;4;2;0;6;10;4;8;0;2;2;6;2;2;4;4;2;4;8;2;4;2;0;8;2;6;10;18;4;2;10;0;0;6;2;0;6;4;4;0;6;4;0;6;8;4;4;8;0;0;0;8;2;4;2;0;2;0;6;4;4
president;0;0;0;0;0;18;74;24;20;8;4;14;14;26;8;16;0;2;10;12;12;10;6;8;8;6;2;8;2;0;4;0;16;2;6;6;4;8;4;2;6;4;8;18;2;10;8;8;4;4;10;10;8;4;4;2;4;6;4;4;2;4;4;0;2;6;6;2;6;2;2;10;6;6;2;4;6;6;0;2;0;6;4;2;0;0;0;2;6;6;2;2;4;2;4;4;2;6;2;2
great;0;0;0;0;0;0;16;30;14;20;4;12;24;2;12;6;18;0;6;2;0;4;8;8;0;6;0;8;4;2;4;10;0;8;6;2;10;6;6;8;20;2;6;6;4;4;2;2;2;2;8;8;4;2;4;6;4;0;2;0;12;0;6;10;2;2;6;6;0;6;2;0;4;0;4;4;4;2;0;4;8;0;10;4;4;2;2;0;2;6;0;4;2;2;2;0;2;0;2;2
trump;0;0;0;0;0;0;0;10;10;2;4;6;10;8;10;10;8;4;18;8;20;32;6;0;6;8;0;10;4;2;6;2;10;0;6;4;4;6;10;4;4;6;6;38;0;4;4;16;2;2;6;6;2;2;2;4;6;8;4;8;4;8;6;6;0;6;8;2;10;2;6;6;4;4;4;4;0;4;2;6;2;10;0;2;2;0;4;0;6;4;2;2;4;2;4;4;2;4;0;0
american;0;0;0;0;0;0;0;0;12;0;2;6;8;14;2;0;4;6;10;6;12;2;2;4;6;4;4;4;4;0;2;8;2;0;12;4;2;6;4;0;6;4;6;4;4;6;6;0;4;4;6;2;2;2;2;2;4;4;0;0;6;2;0;2;0;0;2;0;4;2;4;2;2;2;0;0;8;0;0;0;0;2;4;0;2;0;8;2;0;2;0;2;4;0;2;2;4;4;4;6
house;0;0;0;0;0;0;0;0;0;2;4;62;8;8;12;4;6;4;10;0;4;10;2;8;2;4;0;6;6;2;2;14;8;2;2;0;2;6;2;0;2;6;10;0;2;0;4;6;6;2;6;12;0;0;6;4;2;2;2;2;4;2;2;2;0;2;2;2;0;0;2;2;0;2;0;0;2;4;0;4;2;4;4;2;2;0;2;0;2;4;2;0;0;0;6;4;0;2;0;0
state;0;0;0;0;0;0;0;0;0;0;14;0;8;6;0;8;6;6;0;4;4;0;10;2;4;10;0;6;0;0;6;2;6;2;4;4;6;0;2;2;4;2;0;0;2;4;2;0;2;4;2;4;2;4;6;4;6;4;8;2;2;2;2;6;2;0;2;2;0;2;4;2;0;2;2;2;4;2;4;4;2;0;4;4;0;0;2;2;4;0;4;4;0;0;0;0;2;2;0;0
