;covid19;north;todays;ct;watch;330;dakota;press;briefing;testing;nd;stay;live;state;health;continue;spread;cases;join;slow;care;grateful;dakotas;protect;dakotans;positive;citizens;update;lives;work;@nddoh;home;#ndsmartrestart;public;fargo;capacity;begins;new;response;important;help;@ndnationalguard;#ndsmart;honor;guidelines;facilities;communities;grand;safety;local;forks;working;together;rate;businesses;healthy;thanks;contact;tracing;confirmed;begin;nds;responsibility;restart;federal;workers;community;states;team;connected;emergency;surge;executive;service;education;approach;learn;save;targeted;tests;actions;coronavirus;forward;smart;efforts;order;ensure;plan;great;@potus;national;officer;share;discuss;fight;pandemic;leaders;use;events;hospital
covid19;0;40;78;74;62;64;22;54;56;30;28;8;40;22;20;24;32;28;28;24;20;10;12;8;10;20;6;22;10;12;20;8;16;6;6;16;18;12;18;10;6;8;10;2;10;6;6;8;0;4;8;10;8;8;6;4;8;8;8;10;14;6;2;4;10;8;2;8;8;4;4;10;6;0;0;6;4;6;4;6;4;2;4;2;6;6;6;10;2;10;2;0;6;10;10;10;4;4;6;8
north;0;0;16;12;14;14;58;8;10;4;8;10;14;10;16;16;16;10;8;16;20;16;30;14;30;10;14;2;4;10;0;12;4;4;2;2;0;8;4;8;8;4;6;8;4;6;6;6;6;4;6;6;8;4;4;6;8;4;4;6;0;4;4;8;4;10;2;8;4;4;6;2;6;4;8;6;4;2;4;4;8;4;2;8;6;6;4;6;8;0;4;0;0;8;6;4;4;2;0;2
todays;0;0;0;66;64;56;8;52;54;4;2;0;34;6;4;2;2;2;22;2;2;0;6;0;2;0;0;22;0;0;12;0;2;2;4;0;20;0;2;2;0;2;0;0;2;2;0;2;0;2;2;0;2;0;0;0;6;2;2;0;14;2;0;2;0;2;2;0;2;0;0;0;2;4;0;0;0;0;0;2;0;0;0;2;2;2;0;2;0;0;2;0;0;4;2;0;2;0;0;0
ct;0;0;0;0;62;62;10;48;50;2;4;0;36;4;0;0;0;2;26;0;0;0;2;0;0;2;0;22;0;0;8;0;2;0;4;0;20;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;12;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;6;0;2;2;0;0;0
watch;0;0;0;0;0;50;12;44;46;2;2;0;38;6;0;0;0;0;14;0;0;2;2;0;0;0;0;18;0;0;8;0;2;0;2;0;18;2;2;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;4;4;0;14;2;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;4;0;0;2;0;0;0;0;0;6;0;0;2;0;0;0
330;0;0;0;0;0;0;10;40;42;2;2;0;36;2;0;0;0;2;20;0;0;0;4;0;0;2;0;20;0;0;4;0;0;0;2;0;16;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;2;2;10;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;4;0;0;2;0;0;0
dakota;0;0;0;0;0;0;0;4;6;4;6;8;8;8;2;6;8;8;6;8;6;10;2;8;6;6;12;2;2;4;0;8;2;4;0;2;0;2;2;4;6;2;2;0;2;4;0;0;2;4;0;6;4;2;2;4;4;4;4;4;0;0;4;8;2;2;0;4;2;2;4;2;0;2;6;2;2;0;4;2;6;0;0;8;6;0;4;6;2;0;2;0;0;6;0;2;4;2;0;2
press;0;0;0;0;0;0;0;0;58;2;0;0;20;4;0;0;0;2;16;0;0;0;4;0;0;2;0;0;0;0;6;0;0;0;4;0;12;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;2;2;12;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0
briefing;0;0;0;0;0;0;0;0;0;2;2;0;22;2;0;0;0;2;18;0;0;0;4;0;0;2;0;0;0;0;6;0;0;0;2;0;12;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;2;2;12;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;4;0;0;2;0;0;0
testing;0;0;0;0;0;0;0;0;0;0;14;6;4;16;8;10;12;12;0;8;2;4;0;6;0;10;0;0;8;6;12;6;8;8;2;10;2;6;6;2;0;6;6;0;4;2;4;6;0;6;6;6;2;6;0;6;4;12;12;4;2;0;2;4;0;0;0;2;4;6;0;0;0;0;0;2;2;6;6;4;0;0;0;4;0;0;0;6;0;0;0;0;0;0;0;0;2;2;6;4
