;trump;president;great;united;states;new;people;house;american;news;state;world;man;government;court;white;obama;national;media;federal;bill;party;senate;big;country;working;job;department;republican;good;washington;administration;democrats;donald;thank;russia;best;law;york;police;campaign;think;supreme;fbi;fake;may;committee;presidential;left;2016;justice;post;thing;america;nothing;trying;care;another;democrat;million;women;security;act;history;proud;part;city;killed;looking;nation;following;called;americans;article;shooting;russian;men;bad;year;former;love;conference;john;election;win;game;released;possible;announce;citizens;thousands;nfl;reserve;intelligence;order;vote;north;military;second;signed
trump;0;88;16;20;22;16;14;20;10;24;10;6;6;2;6;14;14;8;10;4;4;12;6;4;10;8;10;6;12;4;20;20;14;46;4;28;4;12;8;2;28;4;4;16;16;4;12;12;4;16;4;12;4;2;4;8;2;2;6;2;4;6;2;10;2;8;0;2;0;2;4;6;6;2;2;12;4;4;0;12;0;0;6;14;8;4;6;12;0;0;6;0;2;10;8;2;4;2;2;8
president;0;0;26;34;34;10;18;20;14;14;6;10;14;6;12;8;18;12;4;6;10;6;8;10;8;4;16;6;6;6;12;6;4;14;2;14;8;12;4;2;10;2;8;8;6;2;8;2;0;8;8;8;8;6;6;4;2;2;2;6;4;8;4;6;8;4;0;4;0;6;4;10;6;2;2;8;4;4;4;12;6;6;10;6;2;6;0;10;0;4;2;0;2;8;8;2;2;4;2;12
great;0;0;0;12;10;16;4;8;14;6;16;6;4;0;4;8;6;2;2;2;2;0;2;8;16;8;24;0;0;14;6;6;0;2;12;2;8;0;2;2;4;8;4;0;2;2;0;2;0;0;0;0;8;6;2;2;4;6;0;2;4;6;6;0;10;0;0;0;4;6;0;0;6;2;2;2;4;0;2;0;12;4;4;0;4;4;2;6;4;4;2;2;2;2;2;0;2;8;6;6
united;0;0;0;0;142;16;12;8;12;10;10;14;2;14;8;4;2;0;2;10;4;2;0;2;4;6;6;2;0;4;4;8;0;6;2;4;0;0;6;0;2;2;6;2;2;0;0;2;4;2;2;2;0;6;2;0;2;2;2;6;2;4;2;10;2;0;2;2;0;10;2;2;6;2;4;8;2;2;4;4;8;4;4;4;0;0;0;4;2;4;4;0;2;0;0;0;4;2;0;2
states;0;0;0;0;0;20;12;10;14;10;12;14;2;12;6;4;2;0;2;8;6;4;4;4;6;6;6;2;0;4;4;10;0;6;4;4;0;2;8;0;2;2;4;0;2;0;2;2;6;2;2;2;0;6;2;0;2;2;6;6;2;2;2;12;2;0;2;2;0;10;2;4;6;2;4;8;2;2;4;2;8;4;2;2;4;0;0;2;2;2;4;0;0;0;0;0;4;2;0;2
new;0;0;0;0;0;0;4;0;2;8;10;6;4;8;6;0;6;2;6;8;2;4;0;4;2;8;2;4;10;2;8;8;0;8;4;2;8;4;36;4;6;4;4;2;4;2;2;8;2;6;4;4;6;4;2;0;0;2;4;0;2;6;2;6;6;2;10;0;2;2;2;6;10;0;0;0;2;6;2;4;4;0;2;2;6;0;4;0;6;0;4;4;2;0;0;2;4;4;4;4
people;0;0;0;0;0;0;0;0;32;6;2;12;4;4;2;0;6;6;8;8;2;2;8;8;2;6;6;4;2;2;2;6;4;4;2;2;0;2;2;4;0;10;2;0;6;2;4;4;4;2;4;2;2;4;6;10;2;4;4;8;0;8;2;2;0;2;2;8;6;6;0;0;0;2;6;4;0;4;0;6;2;0;0;0;4;2;0;0;0;0;2;0;8;2;2;2;2;0;0;2
house;0;0;0;0;0;0;0;0;4;4;4;0;2;16;4;52;4;4;4;2;8;4;10;4;4;4;4;2;6;0;6;2;6;4;4;2;4;4;0;0;0;2;4;2;2;2;10;0;2;2;4;2;6;2;2;2;2;2;2;2;0;2;2;2;2;0;0;0;0;0;2;2;4;4;0;4;2;0;2;0;2;10;2;0;2;0;8;2;4;2;2;0;0;6;4;4;2;2;0;2
american;0;0;0;0;0;0;0;0;0;4;2;4;6;2;2;6;6;2;6;4;2;2;2;4;2;4;6;6;0;2;2;4;2;2;8;2;2;2;2;0;0;2;2;4;4;2;2;4;0;0;6;2;2;8;2;4;0;4;2;0;0;4;0;6;2;2;2;2;2;2;2;2;0;0;0;0;0;2;4;2;4;2;0;2;6;0;0;0;4;4;2;2;2;0;0;0;0;0;0;6
news;0;0;0;0;0;0;0;0;0;0;6;6;4;0;0;4;4;4;30;2;4;6;0;10;0;6;2;4;6;8;2;4;10;10;2;6;2;2;4;2;6;2;0;6;38;2;0;2;8;0;6;0;0;0;0;10;0;4;6;0;0;2;0;8;0;0;0;2;6;2;0;0;2;0;0;0;0;4;0;6;0;6;2;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;2
