;#alpolitics;#togetheral;#covid19;state;alabama;al;thank;alabamians;@alpublichealth;health;new;help;order;great;people;visit;work;proud;support;continue;take;members;learn;year;working;als;efforts;important;states;please;across;#aledchat;pandemic;@potus;news;dr;full;social;workforce;care;#yes4amendment1;economic;local;provide;3;#saferathome;#coronavirus;encourage;ive;stay;distancing;businesses;students;resources;march;alabamas;team;2020;spread;economy;folks;appreciate;live;program;education;fellow;harris;family;public;governor;forward;home;citizens;@alabamaachieves;taking;crisis;assistance;call;service;act;community;honor;remember;#strongstartstrongfinish;still;best;lets;good;information;funding;#2020census;office;watch;april;join;@madeinal;leadership;everyone;safe;unemployment
#alpolitics;0;104;136;110;102;68;54;50;62;32;38;44;28;38;34;30;34;30;30;20;28;32;26;22;30;28;36;32;30;26;28;36;22;26;36;28;30;14;26;20;36;24;26;28;30;8;30;10;10;22;12;20;12;26;32;26;12;20;16;20;12;18;26;18;26;12;24;12;18;22;20;12;12;12;12;18;14;8;14;20;14;8;12;10;12;14;18;12;24;22;12;20;26;10;14;22;18;16;12;16
#togetheral;0;0;134;42;48;34;44;66;72;42;18;32;56;24;34;34;16;12;20;28;22;10;18;4;10;10;14;8;16;18;14;4;12;2;16;24;2;30;0;22;0;8;16;16;10;36;0;12;8;18;28;20;0;12;2;4;8;4;18;14;18;12;18;4;0;18;24;4;8;2;8;16;4;6;12;20;12;8;4;4;8;0;10;0;14;0;4;14;8;2;2;6;16;14;6;4;2;10;16;10
#covid19;0;0;0;30;28;38;38;58;58;22;16;28;14;20;12;28;16;6;12;16;14;8;12;4;8;18;28;12;20;20;12;0;26;10;20;22;4;14;6;12;0;4;16;22;8;14;14;12;6;18;12;10;2;22;4;6;8;2;26;6;14;12;24;2;0;18;22;4;12;2;6;8;6;6;10;22;12;14;0;4;8;0;8;0;8;4;4;2;18;0;0;6;20;6;2;6;4;4;8;4
state;0;0;0;0;50;18;16;20;14;16;16;16;10;20;16;6;22;24;10;10;6;4;12;14;16;12;8;12;10;4;24;10;12;10;10;4;12;0;6;6;6;12;12;10;6;4;8;8;12;8;0;6;6;6;6;6;6;10;4;12;6;12;4;4;8;6;2;2;4;10;8;0;6;10;6;4;8;2;2;10;4;8;4;4;4;10;0;6;4;6;4;4;2;8;4;6;6;2;6;0
alabama;0;0;0;0;0;8;28;10;8;14;10;12;10;14;32;14;14;26;10;8;10;18;10;10;10;4;8;6;10;8;16;12;10;8;10;4;8;4;12;10;6;6;4;0;8;4;8;4;10;6;4;6;6;4;8;2;4;8;2;4;4;12;6;10;8;6;4;4;6;4;6;2;6;8;6;8;2;6;10;4;6;10;8;6;4;6;4;8;4;12;8;4;2;12;4;4;16;4;8;8
al;0;0;0;0;0;0;28;20;10;10;8;18;2;12;10;12;10;14;14;10;8;6;6;12;2;10;8;6;18;2;12;6;10;8;2;0;6;2;6;2;4;16;2;4;12;2;6;14;12;0;2;6;2;6;4;0;0;4;4;6;2;2;0;4;6;4;0;2;6;2;14;2;8;8;6;8;6;4;4;16;6;4;0;6;2;4;6;0;0;8;4;10;0;4;4;6;2;2;0;0
thank;0;0;0;0;0;0;0;22;4;12;2;10;2;14;12;8;4;2;16;8;2;8;0;4;4;4;12;2;2;0;0;4;4;16;4;0;0;0;4;6;2;4;2;2;0;2;4;8;4;0;0;2;4;4;0;0;4;0;2;2;0;6;0;2;4;8;0;0;6;6;6;2;4;4;6;4;2;0;4;4;6;4;2;2;0;4;4;4;2;4;0;0;2;2;0;6;10;2;2;0
alabamians;0;0;0;0;0;0;0;0;16;10;14;22;12;6;14;18;4;2;10;12;8;2;2;2;4;4;4;2;2;8;4;2;6;2;0;0;4;10;4;6;0;4;8;12;6;10;6;16;4;6;8;4;0;6;2;0;8;0;4;0;6;8;4;0;0;22;0;4;0;0;4;2;0;4;6;2;6;2;2;4;0;0;4;4;6;2;2;4;4;4;2;2;2;0;0;4;6;0;4;4
@alpublichealth;0;0;0;0;0;0;0;0;0;18;6;10;26;6;12;14;4;4;4;6;8;4;8;0;4;4;18;6;12;18;4;0;4;4;14;24;4;6;0;6;0;0;12;10;2;16;16;0;2;6;6;4;0;12;0;4;4;0;6;2;6;8;18;2;0;2;24;2;2;0;0;6;4;8;0;2;2;8;0;0;0;0;4;0;0;4;0;2;12;0;0;4;18;4;2;0;0;2;2;0
health;0;0;0;0;0;0;0;0;0;0;6;12;12;6;16;8;2;2;6;6;8;0;0;0;0;2;4;0;4;8;10;0;8;0;0;2;4;6;0;36;0;2;0;2;6;4;6;2;6;2;6;4;4;4;0;0;2;0;2;2;2;2;0;2;0;4;2;2;8;2;0;2;4;4;4;8;2;4;2;0;4;0;6;2;4;8;4;2;4;4;2;4;0;2;2;0;0;2;6;0
