;great;trump;new;president;people;united;states;house;news;government;federal;state;national;american;white;working;administration;country;media;obama;democrats;left;proud;campaign;congress;man;big;york;senate;fake;republican;fbi;story;donald;best;history;party;world;americans;thank;washington;former;million;security;help;bill;election;presidential;support;may;win;clinton;law;city;court;killed;young;year;announce;deal;times;article;police;released;team;friday;report;job;think;night;trying;china;post;reserve;hillary;war;democratic;important;information;complete;committee;family;department;book;press;voted;hard;number;another;nations;transcript;strong;2016;life;love;republicans;saying;coming;radical;investigation
great;0;14;20;18;30;22;24;12;12;6;8;18;12;22;14;10;4;20;4;4;2;6;14;8;8;8;6;4;6;4;6;2;4;8;10;8;4;10;2;16;8;8;0;0;4;2;2;4;0;2;4;2;0;2;2;2;4;0;6;12;6;2;2;4;10;2;4;14;4;8;2;6;2;2;2;0;0;2;2;8;2;4;2;6;12;2;6;6;6;6;2;6;4;0;8;4;0;2;2;0
trump;0;0;24;82;4;22;20;30;16;14;16;6;8;4;18;20;30;6;14;8;14;6;4;30;6;0;2;4;10;18;10;16;6;34;2;4;10;10;6;4;6;8;4;6;6;8;14;12;8;6;6;8;4;2;4;6;0;4;2;6;4;2;2;12;2;8;8;2;0;4;6;12;0;0;6;4;6;0;8;6;10;4;2;2;4;8;6;0;4;0;6;6;12;2;0;2;6;2;2;12
new;0;0;0;16;16;4;6;10;10;10;8;8;12;6;10;2;6;2;8;4;8;2;4;6;8;0;4;44;10;4;2;8;8;6;2;4;6;6;10;8;6;4;6;4;6;6;8;2;4;4;2;2;0;8;0;0;4;0;8;2;24;2;0;4;2;8;10;2;4;2;6;0;4;2;2;2;4;0;2;2;2;0;0;12;2;6;2;2;0;0;4;2;2;4;2;6;0;0;0;4
president;0;0;0;0;2;24;24;26;12;4;10;2;6;10;20;14;6;6;8;10;12;8;10;8;4;2;4;6;8;12;10;6;6;20;4;14;6;6;4;2;4;12;4;6;6;6;8;6;4;4;2;0;4;4;2;6;0;4;6;6;6;0;0;6;4;4;2;2;2;2;2;4;4;0;2;6;6;2;2;4;6;4;2;2;6;6;4;4;2;2;4;4;8;2;0;2;4;0;4;8
people;0;0;0;0;0;20;24;4;12;10;10;8;4;26;4;8;2;8;6;2;4;8;2;0;6;4;0;6;4;4;2;6;4;0;4;2;0;4;10;8;8;2;8;6;2;4;4;2;4;6;2;0;0;4;4;6;4;4;0;4;4;2;0;0;0;2;0;6;2;0;0;2;0;0;0;2;0;8;0;6;0;0;0;0;6;8;2;10;2;2;2;4;2;2;6;2;4;0;0;2
united;0;0;0;0;0;0;122;8;6;14;4;6;8;10;2;2;8;12;2;6;8;8;2;4;2;6;4;0;8;2;6;2;2;4;2;10;6;4;0;2;0;6;10;6;6;4;2;2;8;6;4;0;8;0;6;6;4;2;2;6;0;0;0;8;2;2;2;2;0;0;6;8;0;2;0;4;4;8;2;2;0;0;2;2;0;2;4;2;4;10;4;4;2;6;2;2;0;4;8;0
states;0;0;0;0;0;0;0;8;8;16;12;6;8;10;2;2;8;12;2;6;6;6;4;4;0;4;4;0;8;2;4;2;2;2;4;8;4;4;0;2;0;6;10;6;4;6;2;2;10;4;4;0;8;0;4;6;2;2;4;6;0;0;0;6;2;2;2;2;0;0;6;8;0;2;0;4;4;6;2;0;0;0;2;2;0;6;4;2;4;8;2;6;2;4;2;2;0;2;6;0
house;0;0;0;0;0;0;0;0;2;10;6;4;6;8;62;8;6;0;2;8;14;4;8;8;6;2;2;4;14;2;6;2;2;8;0;0;2;4;8;6;8;4;0;2;0;14;2;4;2;2;0;4;0;0;0;0;0;2;6;2;4;0;2;4;0;8;6;4;0;6;2;0;2;0;2;2;4;2;2;2;6;4;6;0;14;10;2;4;4;0;4;0;4;2;0;4;0;2;0;2
news;0;0;0;0;0;0;0;0;0;0;4;4;2;6;2;4;4;2;22;0;6;4;0;6;2;4;6;2;6;38;0;6;12;0;2;4;0;0;4;4;0;4;0;0;0;2;4;0;2;0;2;2;4;0;0;0;2;2;0;0;0;0;0;2;6;0;2;2;6;0;10;0;0;2;4;0;4;2;4;0;2;2;0;2;0;2;2;0;2;0;0;0;0;0;0;2;2;0;0;0
government;0;0;0;0;0;0;0;0;0;0;24;2;4;0;4;6;0;0;2;0;4;2;2;4;2;2;0;4;6;0;4;4;0;6;0;2;0;0;6;2;0;2;6;6;2;4;4;0;6;4;0;0;2;0;4;0;0;0;4;0;2;0;4;0;0;4;4;2;2;2;0;0;0;0;0;2;0;8;4;0;2;0;2;0;4;4;8;2;0;4;0;0;2;2;0;0;0;0;2;0
federal;0;0;0;0;0;0;0;0;0;0;0;6;0;2;4;4;4;0;0;2;4;2;2;4;2;2;0;6;0;0;2;4;0;6;0;2;0;2;6;4;0;4;6;0;2;6;2;4;4;0;2;2;6;6;6;0;0;2;4;2;2;0;2;0;0;4;0;0;4;2;0;4;0;26;2;0;2;4;0;0;0;0;0;0;4;4;2;0;0;2;0;6;0;2;0;0;0;0;0;2
state;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;4;4;4;2;0;2;2;2;2;2;0;4;4;2;0;6;2;2;6;4;2;2;2;2;4;12;4;0;2;2;0;2;2;0;2;12;2;4;4;4;4;0;2;2;0;2;0;4;6;0;2;0;0;8;0;0;0;0;12;2;0;2;2;2;6;2;12;0;0;4;2;2;2;2;2;2;0;0;4;2;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;4;2;0;2;2;2;0;2;0;4;2;2;4;0;0;8;8;4;4;4;2;0;4;2;4;4;10;2;28;0;0;2;0;0;6;2;6;0;0;0;0;0;0;0;0;6;2;0;2;4;2;0;2;4;6;4;0;0;0;6;0;4;0;0;4;8;2;2;2;0;2;6;0;0;0;4;2;2;0;2;0;0;0;2;4
american;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;4;2;2;0;0;2;4;0;6;4;0;2;4;2;0;4;2;0;2;6;0;8;2;4;6;0;4;2;4;6;6;2;0;4;2;0;0;0;2;4;0;2;0;2;2;0;0;0;2;2;0;2;2;2;0;0;4;0;0;2;0;6;0;0;0;4;0;6;2;0;2;0;0;0;4;0;2;4;4;2;2;0;0;0
