;great;president;trump;people;new;states;national;united;house;news;american;democrats;administration;white;senate;party;love;republican;china;best;government;act;country;working;federal;fbi;man;job;hard;obama;fake;help;2018;using;bill;order;court;supreme;campaign;york;donald;republicans;washington;power;announce;media;history;world;law;presidential;death;bad;cut;good;story;senator;important;guard;committee;trying;work;congress;asked;justice;agenda;criminal;saying;may;military;billion;election;radical;left;investigation;year;high;taking;says;department;think;political;looking;press;killed;city;family;head;police;possible;public;thousands;amazing;executive;week;win;another;thank;million;decision;following
great;0;2;6;20;8;0;0;0;6;6;16;6;2;4;4;6;10;4;0;2;2;2;6;4;0;0;4;14;8;0;0;4;4;0;6;0;0;0;0;6;0;2;2;0;2;2;0;2;2;0;0;0;2;4;4;6;0;0;2;2;4;0;0;0;6;0;4;0;6;2;0;4;2;0;4;0;0;0;2;0;0;2;2;0;0;2;0;0;2;0;0;8;0;0;4;0;2;0;0;0
president;0;0;28;14;4;8;8;8;14;10;10;8;2;18;4;0;0;2;2;2;2;0;4;0;0;4;2;2;0;4;8;2;0;4;4;2;4;4;4;2;2;4;6;2;4;8;6;0;2;2;2;0;0;0;4;0;4;2;2;4;0;6;8;8;2;0;6;0;2;0;0;4;4;6;0;0;2;2;2;4;4;0;2;0;4;0;0;0;2;2;2;0;2;2;0;2;0;0;0;2
trump;0;0;0;8;6;10;8;8;12;4;6;6;14;8;4;4;0;4;2;0;0;2;0;0;0;6;4;2;0;6;2;6;0;0;2;4;6;4;8;4;16;2;6;2;0;6;4;4;0;8;0;2;6;2;4;0;2;2;4;0;2;0;4;2;0;4;0;2;2;0;8;2;4;8;0;0;2;2;0;2;0;4;4;0;0;0;0;0;0;2;2;0;4;0;4;2;0;0;2;4
people;0;0;0;0;4;10;2;8;2;2;20;8;4;2;4;2;6;0;2;2;2;6;6;8;4;0;2;4;4;0;0;4;2;2;2;2;4;4;0;2;0;2;0;2;2;4;2;2;4;0;4;0;0;2;2;2;2;0;2;0;2;0;0;2;2;2;6;4;2;0;2;4;4;0;2;0;2;2;0;2;0;0;2;4;0;2;2;0;2;4;4;2;0;2;4;0;0;0;0;4
new;0;0;0;0;0;8;2;8;2;6;4;4;2;4;2;2;2;2;6;2;0;0;4;2;4;2;2;4;2;2;0;0;0;0;2;2;0;0;2;20;0;0;0;2;2;0;0;2;0;0;4;4;2;0;2;0;0;2;0;2;0;0;0;6;0;0;2;0;0;0;0;2;4;4;0;0;2;2;4;2;2;0;2;0;2;2;0;0;2;0;2;2;0;4;0;0;2;4;2;0
states;0;0;0;0;0;0;4;42;2;4;4;4;8;2;4;0;0;0;6;0;6;0;2;4;4;0;0;0;0;2;2;0;2;0;4;2;6;8;2;2;4;0;0;0;0;0;0;4;4;6;2;4;0;0;4;0;4;0;0;2;0;0;0;0;0;0;0;2;0;0;2;4;6;0;2;0;2;2;0;0;0;0;0;2;0;2;2;0;0;4;0;0;2;0;2;2;0;2;2;4
national;0;0;0;0;0;0;0;0;6;0;4;0;0;4;2;2;0;4;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;4;0;0;2;0;2;2;0;0;4;2;0;0;0;0;0;0;10;6;0;0;0;4;0;0;0;0;2;2;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;2;2;4
united;0;0;0;0;0;0;0;0;2;4;2;4;8;2;2;0;0;2;8;0;2;0;2;2;0;0;0;0;0;2;2;0;2;2;4;2;6;8;0;2;2;0;0;0;0;0;0;2;4;2;2;2;0;0;4;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;2;4;6;0;0;0;2;2;0;0;0;0;0;2;0;2;2;0;0;4;0;0;2;0;0;2;0;2;2;2
house;0;0;0;0;0;0;0;0;0;4;4;4;2;28;6;0;0;0;0;0;0;2;2;0;0;4;0;2;2;0;0;2;2;0;0;2;0;0;0;0;0;4;6;2;2;0;2;0;2;0;0;0;4;2;0;2;0;2;2;0;2;0;6;0;0;0;0;2;0;0;2;4;2;2;0;0;0;0;0;0;2;0;8;0;0;0;0;0;0;0;2;0;4;0;0;0;2;0;0;0
news;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;2;2;4;0;0;2;0;0;2;0;2;0;2;0;0;16;0;2;0;2;4;2;2;4;2;0;2;2;0;2;8;2;0;0;4;0;0;0;2;2;2;2;0;0;0;0;2;0;4;0;0;0;0;0;2;2;2;2;0;2;0;2;0;0;0;0;0;2;0;2;2;0;2;2;0;0;2;2;2;0;0;0;0;0;2
