;live;watch;@govlarryhogan;maryland;coronavirus;@govlarryhogans;update;nursing;recovery;governors;tune;homes;announces;moving;covid19;announcement;country;together;strike;pandemic;states;continue;roadmap;teams;hogan;relief;nations;help;strong;leaders;road;democrats;businesses;protect;best;facebook;lead;@baltimoresun;desperately;behalf;try;responding;#happybirthday;honors;officials;target;wishing;services;recoverywatch;something;immediate;voice;gottlieb;funding;available;announced;baltimore;hope;confront;critical;economic;global;senate;fiscal;introducing;across;bipartisan;@boydkrutherford;state;approximately;#lightitblue;essential;urgent;@npr;provide;people;urge;american;@fox5dc;county;twitter;300;marylands;meals;push;outbreaks;youtube;distributed;lt;unafraid;response;republicans;@wjz;#marylandstrong;stronger;emerges;1230;federal;captioning;beldon
live;0;12;2;2;0;8;6;0;2;0;6;0;0;0;4;4;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2;0
watch;0;0;0;0;0;8;6;0;2;0;4;0;0;0;4;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
@govlarryhogan;0;0;0;6;4;0;0;4;2;2;0;4;2;0;0;0;0;0;2;0;2;0;2;2;0;2;2;0;2;2;2;0;0;0;0;2;0;2;0;2;2;2;0;2;2;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;2;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;2
maryland;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;2
coronavirus;0;0;0;0;0;0;0;6;0;2;0;6;4;0;0;0;0;0;4;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
@govlarryhogans;0;0;0;0;0;0;6;0;2;0;4;0;0;0;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
update;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
nursing;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0;4;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
recovery;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;2;2;2;2;0;0;2;2;2;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
governors;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;4;2;0;0;0;4;4;2;0;2;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;2;2;2;2;0;2;0;2;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0
tune;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
