kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_all,freq_all
donald,67,donald,52,trump,83,trump,73,trump,74,president,62,trump,398
trump,65,trump,50,donald,67,president,50,donald,57,trump,53,donald,335
president,42,president,50,president,66,donald,46,crisis,53,donald,46,president,317
country,25,country,39,campaign,41,covid19,45,president,47,nation,39,nation,180
nation,23,help,37,american,39,crisis,43,people,33,cant,29,people,174
take,22,nation,31,together,37,people,42,american,30,american,27,country,165
people,21,gun,29,crisis,36,together,35,covid19,24,work,22,american,165
care,19,head,26,thank,35,nation,31,nation,24,together,21,crisis,153
trumps,18,#demdebate,26,people,35,health,31,health,23,country,20,together,137
america,17,nevada,26,country,34,workers,28,country,22,people,19,health,133
climate,15,american,26,coronavirus,34,american,28,everyone,17,care,18,help,118
white,15,new,25,take,32,country,25,help,16,americans,18,take,118
american,15,white,24,nation,32,folks,23,administration,16,away,17,cant,109
together,14,people,24,health,30,tune,22,ensure,16,health,16,care,107
house,14,house,23,help,24,front,20,together,16,trumps,15,campaign,104
iran,14,cant,23,care,23,help,20,cant,16,take,14,covid19,93
soul,14,south,22,response,21,take,20,workers,15,real,13,white,87
#demdebate,13,vote,22,moment,20,campaign,20,america,14,job,13,americans,85
ive,13,health,21,house,19,hall,19,take,14,covid19,13,house,82
work,13,iowa,21,live,19,town,19,americans,14,promise,13,work,81
workers,12,carolina,21,white,19,needs,18,trumps,13,america,12,folks,78
everyone,12,big,20,workers,17,care,18,economic,13,fight,12,america,76
world,12,campaign,19,beat,17,pandemic,17,single,13,wont,12,workers,76
cant,12,care,19,vote,17,families,16,middle,13,help,11,ensure,70
lets,12,hampshire,18,americans,16,join,16,testing,12,action,11,everyone,70
iowa,12,ive,18,win,16,lines,16,lead,12,hard,11,thank,69
health,12,soul,17,folks,16,thank,15,failed,11,racism,11,trumps,69
give,12,end,17,chip,15,et,15,public,11,systemic,10,world,63
could,12,take,16,families,15,work,15,vote,11,justice,10,fight,62
administration,12,caucus,16,ensure,15,cant,15,truth,10,equality,10,tune,61
fight,11,folks,16,times,15,americans,14,lives,10,protect,10,soul,59
ensure,11,chip,16,tune,15,action,13,campaign,10,lives,10,new,58
pay,11,americans,15,watch,15,immediately,13,world,10,white,10,vote,57
end,11,together,14,#demdebate,14,working,13,pandemic,10,another,10,across,57
help,10,days,14,world,14,economic,13,care,10,ensure,10,lives,56
four,10,beat,14,cant,14,times,13,november,10,history,10,administration,55
days,10,win,14,defeat,13,hosting,12,times,10,leadership,10,ive,55
crisis,10,america,14,public,13,world,12,folks,10,stand,10,#demdebate,53
campaign,10,@nra,13,lives,13,hope,12,house,10,lead,9,gun,52
deserve,10,lets,13,leadership,13,across,12,millions,10,pain,9,end,52
war,10,violence,13,big,12,america,12,white,10,moment,9,clear,51
